Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3758390744,0,18.441,9.478,30.379,21.43,20.826,28.707,1694.21,0.832,395.238,20.87,14.264,5.57,0,1,0,0,0,6262.952,1.692,0,114.599,19.968,194.592,20.253,200.514,21.095,-0.881,18.883,200.965,21.057,2.169,1765.972,23.884,20.756,22.233,-22.029,9.831,22.824,1.729,0,0,0.021,-2.078,0.968,18.452,20.572,0.014,0.016,21.874,22.198,22.319,22.436,22.683,22.765,21.707,21.94,21.874,22.38,22.662,22.636,21.417,21.71,21.546,22.139,21.289,0,0
3758390746,0.032566667,18.451,9.48,30.379,21.401,20.824,28.707,1664.472,0.863,395.247,20.868,14.264,5.478,0,1,0,0,0,6260.724,1.701,0,114.894,19.966,194.623,20.268,200.562,21.103,-0.874,18.899,200.986,21.061,2.156,1765.558,23.888,20.78,22.241,-22.029,9.811,22.832,1.729,0,0,0.021,-2.089,0.966,18.482,20.582,0.014,0.016,21.867,22.186,22.303,22.438,22.685,22.776,21.7,21.936,21.87,22.372,22.652,22.637,21.399,21.694,21.54,22.147,21.291,0,0
3758390748,0.061833334,18.456,9.414,30.379,21.414,20.837,28.708,1675.317,0.829,395.232,20.874,14.265,5.389,0,1,0,0,0,6273.841,1.709,0,115.251,19.988,194.611,20.282,200.591,21.108,-0.865,18.894,200.969,21.058,2.158,1765.617,23.847,20.721,22.241,-22.029,9.789,22.823,1.715,0,0,0.021,-2.054,0.942,18.499,20.595,0.014,0.016,21.871,22.202,22.315,22.43,22.69,22.766,21.709,21.93,21.86,22.367,22.651,22.646,21.415,21.712,21.55,22.14,21.273,0,0
3758390750,0.08743333,18.448,9.424,30.379,21.416,20.83,28.708,1682.105,0.841,395.27,20.872,14.264,5.441,0,1,0,0,0,6286.484,1.701,0,115.925,19.977,194.734,20.295,200.606,21.111,-0.855,18.88,200.906,21.047,2.162,1765.704,23.864,20.776,22.242,-22.029,9.807,22.81,1.699,0,0,0.022,-2.048,0.951,18.523,20.583,0.014,0.016,21.884,22.197,22.325,22.437,22.698,22.771,21.697,21.935,21.865,22.376,22.64,22.642,21.412,21.716,21.558,22.134,21.277,0,0
3758390751,0.117599996,18.455,9.421,30.379,21.438,20.808,28.707,1685.825,0.849,395.231,20.875,14.263,5.503,0,1,0,0,0,6274.752,1.688,0,115.718,19.973,194.674,20.284,200.567,21.104,-0.859,18.888,201.01,21.065,2.17,1765.906,23.85,20.703,22.252,-22.029,9.764,22.809,1.705,0,0,0.021,-2.061,0.937,18.477,20.543,0.014,0.016,21.875,22.194,22.312,22.447,22.695,22.781,21.708,21.956,21.879,22.39,22.672,22.634,21.4,21.712,21.542,22.146,21.28,0,0
3758390753,0.148866661,18.469,9.424,30.379,21.42,20.832,28.708,1657.982,0.853,395.221,20.876,14.264,5.376,0,1,0,0,0,6254.188,1.693,0,115.069,19.967,194.652,20.285,200.531,21.098,-0.852,18.925,200.87,21.041,2.11,1765.212,23.873,20.767,22.238,-22.029,9.764,22.805,1.707,0,0,0.021,-2.083,0.959,18.479,20.585,0.014,0.016,21.867,22.195,22.322,22.434,22.692,22.774,21.708,21.939,21.878,22.377,22.661,22.635,21.417,21.708,21.539,22.141,21.287,0,0
3758390755,0.178083332,18.459,9.47,30.379,21.4,20.837,28.708,1653.157,0.822,395.228,20.868,14.263,5.38,0,1,0,0,0,6262.022,1.706,0,114.956,19.982,194.617,20.267,200.495,21.092,-0.863,18.901,200.94,21.053,2.146,1765.34,23.883,20.802,22.227,-22.03,9.767,22.821,1.73,0,0,0.021,-2.054,0.971,18.484,20.601,0.014,0.016,21.872,22.194,22.314,22.446,22.696,22.773,21.715,21.938,21.876,22.387,22.664,22.632,21.41,21.694,21.539,22.146,21.282,0,0
3758390757,0.209533334,18.455,9.4,30.379,21.411,20.848,28.709,1673.072,0.816,395.205,20.855,14.263,5.464,0,1,0,0,0,6282.657,1.696,0,114.582,19.98,194.702,20.298,200.533,21.098,-0.839,18.884,201.014,21.065,2.176,1765.996,23.848,20.741,22.246,-22.029,9.803,22.82,1.722,0,0,0.021,-2.062,0.94,18.477,20.612,0.014,0.016,21.887,22.196,22.314,22.449,22.706,22.777,21.709,21.937,21.881,22.397,22.664,22.643,21.41,21.705,21.542,22.148,21.293,0,0
3758390758,0.232933331,18.459,9.415,30.379,21.381,20.836,28.708,1672.93,0.839,395.222,20.849,14.265,5.4,0,1,0,0,0,6266.199,1.688,0,115.074,19.963,194.693,20.291,200.55,21.101,-0.849,18.902,200.907,21.047,2.139,1765.521,23.847,20.789,22.25,-22.029,9.783,22.836,1.735,0,0,0.021,-2.081,0.937,18.467,20.607,0.014,0.016,21.864,22.187,22.3,22.44,22.689,22.784,21.716,21.923,21.876,22.385,22.652,22.627,21.394,21.692,21.54,22.15,21.287,0,0
3758390760,0.264900001,18.449,9.458,30.379,21.427,20.821,28.708,1647.65,0.805,395.261,20.878,14.263,5.404,0,1,0,0,0,6265.624,1.696,0,115.341,19.981,194.595,20.269,200.625,21.114,-0.884,18.887,200.925,21.051,2.158,1766.537,23.868,20.719,22.244,-22.029,9.783,22.823,1.709,0,0,0.021,-2.063,0.953,18.477,20.565,0.014,0.016,21.878,22.191,22.317,22.439,22.689,22.768,21.697,21.922,21.867,22.377,22.661,22.625,21.396,21.705,21.538,22.15,21.278,0,0
3758390762,0.296883329,18.461,9.417,30.379,21.431,20.836,28.708,1676.772,0.81,395.205,20.88,14.264,5.363,0,1,0,0,0,6267.217,1.691,0,114.931,19.979,194.694,20.269,200.592,21.108,-0.878,18.902,201.004,21.064,2.156,1766.036,23.889,20.667,22.263,-22.029,9.782,22.832,1.724,0,0,0.021,-2.042,0.954,18.479,20.586,0.014,0.016,21.865,22.176,22.31,22.449,22.693,22.775,21.711,21.942,21.874,22.387,22.664,22.622,21.399,21.695,21.526,22.152,21.281,0,0
3758390764,0.325850002,18.475,9.432,30.379,21.406,20.831,28.708,1673.001,0.843,395.249,20.86,14.263,5.297,0,1,0,0,0,6258.454,1.685,0,115.233,19.976,194.688,20.308,200.596,21.109,-0.84,18.898,200.92,21.05,2.146,1765.528,23.849,20.725,22.251,-22.029,9.795,22.819,1.711,0,0,0.021,-2.069,0.938,18.479,20.589,0.014,0.016,21.874,22.192,22.305,22.453,22.7,22.784,21.719,21.949,21.887,22.4,22.673,22.631,21.402,21.701,21.528,22.15,21.272,0,0
3758390765,0.351933328,18.452,9.449,30.496,21.406,20.825,28.707,1650.869,0.839,395.222,20.914,14.264,5.32,0,1,0,0,0,6249.134,1.7,0,115.08,19.974,194.667,20.264,200.638,21.116,-0.891,18.881,200.983,21.06,2.173,1763.043,23.863,20.734,22.253,-22.029,9.834,22.824,1.708,0,0,0.021,-2.086,0.943,18.444,20.581,0.014,0.016,21.862,22.175,22.311,22.444,22.703,22.775,21.711,21.944,21.875,22.391,22.663,22.63,21.404,21.687,21.527,22.144,21.289,0,0
3758390767,0.383183328,18.467,9.454,30.379,21.405,20.847,28.708,1641.704,0.814,395.236,20.876,14.264,5.368,0,1,0,0,0,6273.777,1.716,0,114.607,19.969,194.654,20.291,200.567,21.104,-0.851,18.909,200.894,21.045,2.131,1764.201,23.857,20.771,22.252,-22.029,9.781,22.832,1.728,0,0,0.021,-2.048,0.94,18.49,20.612,0.014,0.016,21.865,22.181,22.309,22.439,22.684,22.765,21.699,21.921,21.849,22.372,22.65,22.636,21.402,21.702,21.53,22.152,21.283,0,0
3758390769,0.413033334,18.474,9.424,30.495,21.398,20.828,28.708,1636.557,0.804,395.245,20.86,14.263,5.344,0,1,0,0,0,6299.045,1.721,0,115.153,19.973,194.628,20.282,200.59,21.108,-0.864,18.915,201.039,21.07,2.149,1765.256,23.868,20.794,22.247,-22.029,9.794,22.814,1.706,0,0,0.021,-2.042,0.95,18.446,20.588,0.014,0.016,21.88,22.2,22.321,22.442,22.697,22.782,21.707,21.936,21.866,22.375,22.65,22.651,21.425,21.715,21.534,22.153,21.28,0,0
3758390771,0.444449997,18.469,9.409,30.379,21.426,20.845,28.708,1660.434,0.798,395.222,20.871,14.264,5.307,0,1,0,0,0,6305.948,1.704,0,115.414,19.979,194.649,20.271,200.544,21.1,-0.868,18.942,200.922,21.05,2.102,1765.841,23.873,20.781,22.267,-22.029,9.829,22.832,1.732,0,0,0.02,-2.046,0.942,18.458,20.602,0.014,0.016,21.879,22.186,22.315,22.442,22.695,22.774,21.699,21.939,21.872,22.38,22.645,22.644,21.407,21.705,21.541,22.157,21.299,0,0
3758390773,0.470116663,18.448,9.406,30.496,21.403,20.809,28.708,1698.998,0.824,395.228,20.863,14.266,5.373,0,1,0,0,0,6279.539,1.699,0,115.461,19.957,194.683,20.278,200.6,21.109,-0.87,18.907,200.944,21.054,2.14,1766.888,23.859,20.752,22.267,-22.03,9.784,22.842,1.733,0,0,0.021,-2.015,0.934,18.517,20.559,0.014,0.016,21.88,22.2,22.323,22.456,22.699,22.77,21.713,21.943,21.875,22.381,22.661,22.638,21.409,21.707,21.536,22.167,21.278,0,0
3758390774,0.499483331,18.47,9.416,30.379,21.429,20.825,28.708,1685.048,0.869,395.298,20.851,14.264,5.364,0,1,0,0,0,6269.954,1.696,0,115.991,19.973,194.557,20.284,200.503,21.093,-0.848,18.894,200.918,21.05,2.15,1766.982,23.88,20.776,22.248,-22.029,9.776,22.829,1.736,0,0,0.021,-2.096,0.958,18.474,20.571,0.014,0.016,21.877,22.202,22.319,22.456,22.701,22.791,21.719,21.948,21.88,22.384,22.661,22.641,21.403,21.716,21.527,22.151,21.29,0,0
3758390776,0.525799998,18.459,9.424,30.379,21.404,20.836,28.708,1665.543,0.852,395.254,20.887,14.264,5.4,0,1,0,0,0,6267.378,1.7,0,115.216,19.966,194.646,20.281,200.597,21.109,-0.867,18.907,201,21.063,2.151,1767.28,23.88,20.716,22.252,-22.029,9.817,22.84,1.731,0,0,0.021,-2.083,0.955,18.49,20.598,0.014,0.016,21.889,22.203,22.324,22.448,22.692,22.782,21.721,21.946,21.88,22.388,22.677,22.648,21.404,21.711,21.542,22.163,21.289,0,0
3758390778,0.557183329,18.48,9.445,30.379,21.403,20.846,28.707,1658.391,0.83,395.253,20.887,14.264,5.414,0,1,0,0,0,6272.454,1.71,0,115.357,19.958,194.609,20.296,200.575,21.105,-0.848,18.902,200.955,21.056,2.148,1766.245,23.83,20.698,22.244,-22.03,9.789,22.837,1.732,0,0,0.021,-2.059,0.931,18.496,20.612,0.014,0.016,21.887,22.192,22.329,22.452,22.699,22.778,21.729,21.939,21.873,22.383,22.663,22.643,21.413,21.71,21.552,22.157,21.288,0,0
3758390779,0.586083333,18.485,9.422,30.379,21.427,20.82,28.707,1685.627,0.822,395.238,20.872,14.263,5.426,0,1,0,0,0,6288.833,1.709,0,115.479,19.974,194.563,20.282,200.593,21.108,-0.865,18.896,200.982,21.06,2.158,1764.213,23.865,20.724,22.244,-22.029,9.797,22.823,1.714,0,0,0.021,-2.047,0.95,18.456,20.565,0.014,0.016,21.886,22.207,22.344,22.453,22.695,22.777,21.72,21.945,21.875,22.384,22.672,22.646,21.415,21.716,21.552,22.159,21.296,0,0
3758390781,0.617249997,18.461,9.394,30.38,21.433,20.815,28.708,1662.34,0.853,395.222,20.868,14.264,5.398,0,1,0,0,0,6287.7,1.695,0,114.506,19.991,194.654,20.269,200.591,21.108,-0.877,18.91,201.036,21.069,2.153,1765.902,23.881,20.8,22.265,-22.029,9.797,22.826,1.719,0,0,0.02,-2.067,0.948,18.482,20.555,0.014,0.016,21.88,22.196,22.326,22.451,22.709,22.785,21.72,21.942,21.884,22.39,22.66,22.642,21.41,21.712,21.541,22.16,21.306,0,0
3758390783,0.642750001,18.46,9.434,30.378,21.433,20.834,28.708,1645.422,0.827,395.246,20.834,14.264,5.436,0,1,0,0,0,6265.938,1.694,0,114.831,19.974,194.756,20.293,200.678,21.123,-0.869,18.873,200.981,21.06,2.181,1767.281,23.881,20.768,22.275,-22.029,9.775,22.84,1.717,0,0,0.021,-2.042,0.943,18.508,20.583,0.014,0.016,21.881,22.189,22.31,22.455,22.693,22.78,21.723,21.939,21.872,22.387,22.664,22.636,21.399,21.701,21.538,22.157,21.299,0,0
3758390784,0.669016663,18.454,9.399,30.379,21.417,20.839,28.707,1635.586,0.808,395.239,20.877,14.263,5.455,0,1,0,0,0,6264.172,1.724,0,114.52,19.972,194.654,20.264,200.621,21.113,-0.888,18.908,200.964,21.057,2.143,1764.393,23.854,20.786,22.242,-22.03,9.781,22.82,1.707,0,0,0.02,-2.034,0.945,18.496,20.596,0.014,0.016,21.888,22.189,22.32,22.462,22.7,22.783,21.723,21.952,21.882,22.397,22.672,22.639,21.414,21.711,21.55,22.154,21.279,0,0
3758390786,0.692716662,18.468,9.407,30.379,21.407,20.817,28.707,1635.538,0.797,395.223,20.864,14.264,5.451,0,1,0,0,0,6312.917,1.699,0,114.966,19.97,194.642,20.282,200.69,21.125,-0.882,18.875,201.087,21.078,2.197,1765.473,23.863,20.774,22.249,-22.029,9.78,22.819,1.694,0,0,0.021,-2.024,0.946,18.45,20.569,0.014,0.016,21.891,22.199,22.325,22.457,22.7,22.783,21.724,21.949,21.889,22.396,22.655,22.639,21.417,21.714,21.55,22.154,21.297,0,0
3758390787,0.717300002,18.453,9.411,30.378,21.399,20.829,28.707,1687.524,0.843,395.231,20.886,14.264,5.441,0,1,0,0,0,6312.727,1.683,0,114.671,19.982,194.631,20.282,200.571,21.104,-0.861,18.92,200.99,21.062,2.136,1765.775,23.87,20.722,22.29,-22.029,9.797,22.841,1.736,0,0,0.02,-2.029,0.927,18.468,20.589,0.014,0.016,21.894,22.213,22.333,22.449,22.7,22.787,21.72,21.952,21.879,22.399,22.672,22.659,21.417,21.72,21.566,22.161,21.3,0,0
3758390789,0.748949997,18.467,9.456,30.496,21.425,20.833,28.708,1695.163,0.855,395.23,20.877,14.264,5.444,0,1,0,0,0,6245.798,1.703,0,114.543,19.981,194.701,20.281,200.607,21.111,-0.868,18.898,201.011,21.065,2.161,1766.549,23.847,20.772,22.274,-22.029,9.782,22.834,1.723,0,0,0.021,-2.115,0.923,18.429,20.584,0.014,0.016,21.89,22.213,22.34,22.474,22.719,22.8,21.729,21.968,21.891,22.41,22.683,22.663,21.425,21.736,21.562,22.159,21.29,0,0
3758390791,0.774533327,18.46,9.41,30.379,21.403,20.825,28.708,1656.66,0.864,395.238,20.856,14.263,5.448,0,1,0,0,0,6278.011,1.711,0,113.485,19.974,194.699,20.272,200.597,21.109,-0.876,18.907,200.822,21.033,2.121,1766.457,23.888,20.774,22.255,-22.029,9.774,22.821,1.712,0,0,0.02,-2.093,0.958,18.476,20.582,0.014,0.016,21.889,22.209,22.335,22.452,22.692,22.776,21.71,21.938,21.872,22.398,22.669,22.644,21.412,21.713,21.551,22.153,21.29,0,0
3758390792,0.799699998,18.453,9.421,30.379,21.399,20.846,28.708,1672.111,0.82,395.205,20.865,14.264,5.599,0,1,0,0,0,6290.894,1.704,0,115.268,19.968,194.657,20.271,200.584,21.107,-0.875,18.897,200.936,21.052,2.149,1767.801,23.867,20.746,22.259,-22.029,9.743,22.827,1.72,0,0,0.021,-2.045,0.944,18.513,20.613,0.014,0.016,21.89,22.208,22.335,22.462,22.707,22.785,21.735,21.958,21.898,22.407,22.68,22.653,21.427,21.729,21.565,22.15,21.288,0,0
3758390794,0.828149994,18.47,9.424,30.496,21.423,20.83,28.707,1643.853,0.838,395.237,20.868,14.264,5.506,0,1,0,0,0,6279.938,1.68,0,114.981,19.988,194.62,20.278,200.619,21.113,-0.873,18.901,200.882,21.043,2.136,1767.7,23.845,20.725,22.272,-22.03,9.764,22.838,1.726,0,0,0.021,-2.048,0.924,18.507,20.581,0.014,0.016,21.887,22.201,22.322,22.46,22.705,22.785,21.722,21.946,21.89,22.408,22.678,22.648,21.418,21.727,21.557,22.157,21.292,0,0
3758390796,0.859416668,18.444,9.377,30.379,21.431,20.825,28.707,1670.122,0.806,395.237,20.858,14.264,5.518,0,1,0,0,0,6242.203,1.696,0,114.481,19.957,194.739,20.286,200.663,21.12,-0.873,18.893,200.883,21.043,2.144,1766.991,23.853,20.736,22.271,-22.03,9.756,22.824,1.704,0,0,0.021,-2.017,0.929,18.504,20.57,0.014,0.016,21.897,22.216,22.333,22.464,22.707,22.782,21.723,21.949,21.887,22.398,22.663,22.65,21.418,21.729,21.568,22.156,21.294,0,0
3758390798,0.888983329,18.447,9.391,30.377,21.43,20.817,28.708,1672.658,0.835,395.237,20.869,14.264,5.505,0,1,0,0,0,6266.474,1.701,0,114.003,19.983,194.559,20.279,200.586,21.107,-0.867,18.9,201.009,21.065,2.159,1766.088,23.88,20.762,22.269,-22.029,9.818,22.823,1.716,0,0,0.021,-2.057,0.945,18.476,20.559,0.014,0.016,21.895,22.202,22.331,22.457,22.708,22.793,21.73,21.956,21.895,22.412,22.667,22.656,21.415,21.724,21.557,22.153,21.291,0,0
3758390799,0.918466663,18.467,9.415,30.379,21.43,20.793,28.708,1653.206,0.838,395.231,20.86,14.264,5.493,0,1,0,0,0,6275.028,1.696,0,115.037,19.974,194.706,20.285,200.613,21.112,-0.866,18.909,200.962,21.057,2.142,1766.057,23.888,20.747,22.248,-22.03,9.792,22.83,1.718,0,0,0.021,-2.064,0.962,18.422,20.524,0.014,0.016,21.879,22.192,22.316,22.47,22.717,22.793,21.737,21.966,21.895,22.402,22.68,22.636,21.408,21.714,21.545,22.153,21.288,0,0
3758390801,0.9454,18.469,9.458,30.378,21.421,20.812,28.708,1659.868,0.816,395.253,20.879,14.264,5.589,0,1,0,0,0,6267.644,1.702,0,114.735,19.976,194.658,20.277,200.549,21.101,-0.863,18.897,200.996,21.063,2.16,1765.897,23.898,20.754,22.27,-22.03,9.814,22.817,1.717,0,0,0.021,-2.035,0.955,18.46,20.555,0.014,0.016,21.879,22.197,22.32,22.465,22.705,22.791,21.727,21.955,21.878,22.398,22.66,22.642,21.419,21.72,21.554,22.149,21.287,0,0
3758390803,0.978533332,18.473,9.42,30.379,21.423,20.806,28.708,1669.118,0.824,395.247,20.9,14.264,5.624,0,1,0,0,0,6275.875,1.706,0,114.631,19.969,194.665,20.287,200.594,21.108,-0.86,18.911,200.937,21.053,2.136,1766.966,23.864,20.759,22.27,-22.029,9.78,22.83,1.722,0,0,0.021,-2.059,0.935,18.421,20.546,0.014,0.016,21.896,22.216,22.33,22.455,22.692,22.78,21.71,21.946,21.88,22.388,22.659,22.652,21.428,21.724,21.554,22.155,21.298,0,0
3758390805,1.005216662,18.471,9.444,30.379,21.406,20.828,28.709,1675.545,0.834,395.236,20.853,14.265,5.609,0,1,0,0,0,6283.577,1.687,0,114.437,19.971,194.627,20.291,200.551,21.101,-0.849,18.907,200.879,21.043,2.129,1765.871,23.908,20.738,22.269,-22.029,9.763,22.834,1.733,0,0,0.021,-2.072,0.961,18.455,20.586,0.014,0.016,21.892,22.215,22.337,22.464,22.705,22.789,21.731,21.957,21.884,22.397,22.681,22.643,21.42,21.732,21.564,22.16,21.292,0,0
3758390806,1.035083334,18.471,9.435,30.496,21.424,20.814,28.706,1680.45,0.842,395.269,20.876,14.264,5.659,0,1,0,0,0,6251.434,1.695,0,114.969,19.969,194.638,20.27,200.656,21.119,-0.888,18.882,200.935,21.053,2.165,1766.738,23.882,20.738,22.253,-22.03,9.816,22.833,1.714,0,0,0.021,-2.078,0.955,18.435,20.557,0.014,0.016,21.885,22.204,22.322,22.458,22.698,22.795,21.734,21.966,21.899,22.41,22.674,22.645,21.415,21.727,21.56,22.163,21.294,0,0
3758390808,1.066416661,18.46,9.44,30.379,21.416,20.832,28.709,1657.621,0.847,395.232,20.9,14.264,5.626,0,1,0,0,0,6265.661,1.705,0,114.888,19.973,194.623,20.261,200.579,21.106,-0.883,18.917,200.925,21.051,2.127,1765.586,23.897,20.676,22.266,-22.029,9.818,22.833,1.727,0,0,0.02,-2.094,0.957,18.452,20.586,0.014,0.016,21.895,22.215,22.333,22.451,22.698,22.775,21.712,21.942,21.875,22.387,22.661,22.643,21.419,21.726,21.57,22.157,21.289,0,0
3758390810,1.090416662,18.449,9.417,30.379,21.411,20.826,28.708,1676.946,0.821,395.247,20.871,14.264,5.641,0,1,0,0,0,6280.431,1.695,0,115.373,19.966,194.648,20.286,200.59,21.108,-0.86,18.903,200.977,21.059,2.15,1765.58,23.869,20.842,22.267,-22.029,9.786,22.833,1.726,0,0,0.021,-2.069,0.94,18.442,20.58,0.014,0.016,21.882,22.199,22.323,22.454,22.696,22.784,21.717,21.948,21.885,22.391,22.667,22.637,21.421,21.707,21.543,22.161,21.288,0,0
3758390811,1.11638333,18.486,9.421,30.496,21.418,20.829,28.708,1660.149,0.843,395.237,20.867,14.264,5.631,0,1,0,0,0,6265.574,1.701,0,113.938,19.978,194.612,20.27,200.586,21.107,-0.876,18.873,200.927,21.051,2.172,1765.756,23.876,20.811,22.283,-22.029,9.754,22.819,1.712,0,0,0.021,-2.067,0.935,18.476,20.582,0.014,0.016,21.885,22.209,22.326,22.451,22.702,22.792,21.724,21.946,21.885,22.403,22.679,22.645,21.428,21.723,21.56,22.156,21.287,0,0
3758390813,1.147449994,18.458,9.38,30.496,21.396,20.833,28.709,1637.367,0.824,395.231,20.917,14.265,5.652,0,1,0,0,0,6275.614,1.694,0,115.198,19.973,194.676,20.279,200.583,21.107,-0.867,18.904,200.928,21.051,2.141,1765.638,23.884,20.779,22.262,-22.029,9.813,22.833,1.727,0,0,0.021,-2.086,0.951,18.425,20.596,0.014,0.016,21.882,22.199,22.33,22.465,22.696,22.792,21.728,21.946,21.889,22.395,22.664,22.642,21.419,21.734,21.562,22.154,21.281,0,0
3758390815,1.178366661,18.469,9.388,30.495,21.428,20.807,28.707,1653.43,0.799,395.267,20.892,14.264,5.656,0,1,0,0,0,6263.603,1.703,0,115.284,19.965,194.651,20.268,200.597,21.109,-0.88,18.893,200.969,21.058,2.159,1766.479,23.882,20.813,22.273,-22.029,9.793,22.821,1.712,0,0,0.021,-2.011,0.944,18.46,20.545,0.014,0.016,21.879,22.208,22.326,22.448,22.713,22.784,21.723,21.959,21.876,22.387,22.663,22.639,21.416,21.721,21.559,22.153,21.293,0,0
