Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3759418743,0,25.847,12.724,19.125,11.352,13.914,19.3,775.556,1.121,397.61,22.894,14.35,4.491,0,0,0,0,0,5502.4,1.382,0,144.872,8.329,135.229,10.091,130.718,7.431,2.63,24.63,252.489,29.126,4.49,2.512,23.471,16.093,23.39,-3.525,0,9.117,1.687,1,0,2.157,#NAME?,0,0.548,Inf,0.004,Inf,10.58,9.178,9.267,9.642,9.273,9.182,10.688,9.925,10.091,9.588,9.038,9.077,9.557,8.65,8.75,9.469,11.84,0,0
3759418745,0.040883334,25.859,12.727,19.125,11.355,13.88,19.301,743.66,1.082,397.594,22.905,14.35,4.458,0,0,0,0,0,5530.964,1.391,0,144.565,8.325,135.172,10.127,130.802,7.45,2.646,24.634,252.331,29.103,4.463,2.512,23.48,16.093,23.412,-3.525,0,9.111,1.662,1,0,2.153,#NAME?,0,0.54,Inf,0.004,Inf,10.586,9.176,9.268,9.625,9.276,9.175,10.689,9.903,10.089,9.574,9.036,9.079,9.547,8.65,8.749,9.469,11.835,0,0
3759418748,0.081766661,25.897,12.721,19.126,11.352,13.87,19.184,787.997,0.986,397.594,22.904,14.349,4.516,0,0,0,0,0,5547.672,1.378,0,145.728,8.315,135.152,10.182,130.606,7.405,2.746,24.64,252.414,29.115,4.469,2.512,23.484,16.093,23.415,-3.525,0,9.098,1.693,1,0,2.171,#NAME?,0,0.466,Inf,0.004,Inf,10.587,9.179,9.277,9.619,9.267,9.167,10.686,9.905,10.082,9.571,9.031,9.088,9.559,8.657,8.763,9.464,11.827,0,0
3759418751,0.128799995,25.874,12.71,19.124,11.346,13.895,19.3,773.302,1.121,397.586,22.92,14.349,4.534,0,0,0,0,0,5524.569,1.387,0,145.479,8.304,135.107,10.272,130.564,7.395,2.846,24.626,252.581,29.14,4.507,2.512,23.489,16.093,23.433,-3.525,0,9.09,1.695,1,0,2.169,#NAME?,0,0.462,Inf,0.004,Inf,10.602,9.186,9.28,9.618,9.262,9.167,10.687,9.89,10.079,9.575,9.028,9.093,9.553,8.66,8.763,9.452,11.823,0,0
3759418753,0.169383335,25.872,12.68,19.126,11.352,13.887,19.3,783.298,1.075,397.586,22.885,14.349,4.425,0,0,0,0,0,5540.584,1.375,0,145.795,8.294,135.06,10.36,130.649,7.415,2.914,24.606,252.589,29.141,4.528,2.512,23.481,16.093,23.424,-3.525,0,9.072,1.658,1,0,2.175,#NAME?,0,0.357,Inf,0.004,Inf,10.592,9.175,9.275,9.619,9.266,9.162,10.682,9.897,10.077,9.584,9.028,9.081,9.538,8.65,8.746,9.448,11.825,0,0
3759418755,0.210483329,25.863,12.675,19.126,11.319,13.894,19.301,778.654,1.106,397.586,22.924,14.349,4.484,0,0,0,0,0,5519.878,1.382,0,145.67,8.277,135.015,10.435,130.584,7.4,3.004,24.636,252.523,29.131,4.489,2.512,23.501,16.093,23.393,-3.525,0,9.074,1.674,1,0,2.174,#NAME?,0,0.353,Inf,0.004,Inf,10.594,9.181,9.273,9.62,9.275,9.174,10.685,9.921,10.076,9.582,9.027,9.083,9.533,8.663,8.756,9.447,11.822,0,0
3759418758,0.256699999,25.885,12.679,19.126,11.321,13.887,19.184,778.008,1.092,397.586,22.907,14.349,4.507,0,0,0,0,0,5530.581,1.383,0,145.503,8.27,134.939,10.511,130.469,7.373,3.106,24.625,252.618,29.145,4.514,2.512,23.509,16.093,23.397,-3.525,0,9.055,1.682,1,0,2.173,#NAME?,0,0.335,Inf,0.004,Inf,10.596,9.179,9.277,9.616,9.264,9.155,10.685,9.906,10.067,9.571,9.024,9.081,9.553,8.65,8.753,9.438,11.831,0,0
3759418761,0.297266666,25.872,12.712,19.126,11.307,13.889,19.301,757.178,1.09,397.586,22.9,14.349,4.575,0,0,0,0,0,5533.274,1.37,0,145.473,8.264,134.909,10.594,130.467,7.373,3.19,24.618,252.533,29.133,4.509,2.512,23.497,16.093,23.421,-3.525,0,9.053,1.68,1,0,2.174,#NAME?,0,0.471,Inf,0.004,Inf,10.582,9.17,9.281,9.604,9.25,9.156,10.678,9.897,10.076,9.564,9.01,9.074,9.548,8.641,8.739,9.442,11.82,0,0
3759418763,0.343633334,25.874,12.71,19.125,11.3,13.868,19.299,749.972,1.026,397.586,22.917,14.349,4.389,0,0,0,0,0,5510.604,1.359,0,146.009,8.268,134.879,10.667,130.455,7.37,3.265,24.612,252.663,29.151,4.533,2.512,23.494,16.093,23.408,-3.525,0,9.037,1.667,1,0,2.183,#NAME?,0,0.46,Inf,0.004,Inf,10.572,9.163,9.277,9.607,9.261,9.152,10.668,9.908,10.082,9.563,9.012,9.068,9.533,8.636,8.74,9.432,11.822,0,0
3759418766,0.383583331,25.902,12.684,19.125,11.324,13.873,19.301,772.549,1.005,397.578,22.914,14.35,4.445,0,0,0,0,0,5490.186,1.354,0,145.487,8.246,134.899,10.738,130.384,7.354,3.352,24.618,252.635,29.147,4.523,2.512,23.5,16.093,23.427,-3.525,0,9.027,1.673,1,0,2.176,#NAME?,0,0.33,Inf,0.004,Inf,10.585,9.156,9.283,9.588,9.24,9.134,10.654,9.901,10.085,9.565,8.998,9.059,9.533,8.63,8.727,9.428,11.809,0,0
3759418769,0.429349995,25.889,12.697,19.124,11.285,13.882,19.3,748.974,1.073,397.594,22.907,14.35,4.433,0,0,0,0,0,5481.038,1.38,0,145.207,8.241,134.8,10.795,130.479,7.376,3.388,24.628,252.614,29.144,4.51,2.512,23.504,16.093,23.42,-3.525,0,9.022,1.646,1,0,2.172,#NAME?,0,0.393,Inf,0.004,Inf,10.56,9.139,9.254,9.591,9.229,9.123,10.658,9.877,10.12,9.555,8.99,9.058,9.537,8.617,8.726,9.429,11.807,0,0
3759418771,0.475016665,25.88,12.683,19.126,11.314,13.881,19.299,744.15,1.002,397.61,22.923,14.35,4.406,0,0,0,0,0,5527.274,1.367,0,145.517,8.233,134.776,10.846,130.247,7.323,3.491,24.622,252.67,29.152,4.524,2.512,23.488,16.093,23.417,-3.525,0,9,1.677,1,0,2.178,#NAME?,0,0.358,Inf,0.004,Inf,10.573,9.142,9.262,9.577,9.227,9.13,10.653,9.887,10.142,9.547,8.984,9.046,9.535,8.621,8.715,9.417,11.806,0,0
3759418774,0.515216668,25.879,12.674,19.126,11.293,13.905,19.301,764.737,0.988,397.594,22.886,14.349,4.326,0,0,0,0,0,5504.639,1.382,0,145.775,8.233,134.741,10.881,130.331,7.342,3.508,24.622,252.466,29.123,4.495,2.512,23.506,16.093,23.418,-3.525,0,9,1.659,1,0,2.182,#NAME?,0,0.326,Inf,0.004,Inf,10.56,9.13,9.26,9.574,9.217,9.113,10.657,9.892,10.182,9.531,8.971,9.038,9.528,8.6,8.702,9.416,11.789,0,0
3759418776,0.5557,25.894,12.696,19.125,11.302,13.871,19.3,759.806,1.049,397.57,22.917,14.348,4.536,0,0,0,0,0,5531.931,1.38,0,144.989,8.218,134.742,10.953,130.23,7.319,3.603,24.649,252.57,29.138,4.482,2.512,23.507,16.093,23.426,-3.525,0,8.984,1.665,1,0,2.171,#NAME?,0,0.383,Inf,0.004,Inf,10.555,9.114,9.233,9.564,9.208,9.099,10.648,9.874,10.191,9.528,8.963,9.015,9.516,8.579,8.685,9.406,11.79,0,0
3759418779,0.597966663,25.866,12.697,19.125,11.292,13.863,19.184,773.999,1.034,397.562,22.907,14.35,4.444,0,0,0,0,0,5528.196,1.379,0,144.953,8.213,134.676,10.992,130.328,7.341,3.619,24.628,252.573,29.138,4.504,2.512,23.501,16.093,23.418,-3.525,0,8.985,1.644,1,0,2.171,#NAME?,0,0.425,Inf,0.004,Inf,10.533,9.116,9.25,9.55,9.187,9.091,10.644,9.876,10.209,9.519,8.946,9.012,9.518,8.581,8.684,9.411,11.793,0,0
3759418781,0.636899996,25.872,12.719,19.126,11.291,13.882,19.3,763.656,1.078,397.594,22.926,14.35,4.469,0,0,0,0,0,5526.053,1.361,0,145.274,8.198,134.655,11.029,130.262,7.326,3.671,24.65,252.488,29.126,4.47,2.512,23.505,16.093,23.417,-3.525,0,8.983,1.657,1,0,2.176,#NAME?,0,0.494,Inf,0.004,Inf,10.533,9.103,9.228,9.561,9.193,9.09,10.65,9.903,10.262,9.512,8.947,8.989,9.502,8.566,8.673,9.396,11.797,0,0
