Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3759430489,0,27.938,13.484,17.136,12.599,6.969,17.094,780.379,0.997,398.045,24.054,14.366,5.299,0,0,0,0,0,5586.691,1.411,0,147.055,9.439,140.305,15.278,136.281,8.687,6.555,25.414,259.608,30.147,4.726,2.376,25.76,16.335,25.704,-3.733,0,10.246,1.559,1,0,2.231,1.759,0,0.31,0.666,0.004,0.004,12.942,10.505,10.55,10.768,10.399,10.292,12.284,12.009,13.068,10.697,10.11,10.166,10.714,9.721,9.83,10.933,13.125,2040,857
3759430491,0.029700001,27.926,13.468,17.134,12.603,6.979,17.094,767.107,1.091,398.061,24.067,14.366,5.404,0,0,0,0,0,5597.703,1.415,0,147.065,9.441,140.188,15.26,136.358,8.705,6.521,25.4,259.668,30.155,4.749,1.366,25.75,16.386,25.723,-3.752,0,10.236,1.531,1,0,2.231,1.825,0,0.268,0.69,0.004,0.004,12.944,10.51,10.546,10.757,10.395,10.284,12.253,12.007,13.072,10.7,10.111,10.172,10.706,9.724,9.831,10.924,13.131,2040,857
3759430493,0.053250003,27.953,13.483,17.135,12.591,6.962,17.093,767.084,1.051,398.061,24.063,14.367,5.44,0,0,0,0,0,5603.995,1.413,0,147.096,9.447,140.199,15.26,136.411,8.717,6.508,25.406,259.668,30.155,4.743,1.998,25.754,16.363,25.708,-3.734,0,10.244,1.528,1,0,2.231,1.802,0,0.282,0.656,0.004,0.004,12.959,10.508,10.557,10.788,10.407,10.281,12.251,12.023,13.042,10.705,10.119,10.183,10.738,9.74,9.84,10.928,13.124,2040,857
3759430494,0.08141667,27.972,13.461,17.136,12.588,6.981,17.095,767.633,1.035,398.085,24.074,14.366,5.445,0,0,0,0,0,5603.803,1.408,0,147.427,9.447,140.224,15.237,136.404,8.715,6.487,25.419,259.849,30.181,4.756,2.375,25.77,16.375,25.715,-3.726,0,10.249,1.534,1,0,2.236,1.79,0,0.178,0.715,0.004,0.004,12.947,10.515,10.551,10.779,10.394,10.279,12.247,11.987,13.041,10.696,10.107,10.182,10.725,9.741,9.837,10.929,13.126,2040,857
3759430496,0.111283334,27.942,13.512,17.136,12.599,6.959,17.092,766.371,1.052,398.061,24.072,14.366,5.431,0,0,0,0,0,5590.994,1.419,0,147.433,9.439,140.223,15.22,136.334,8.699,6.485,25.427,259.782,30.171,4.738,2.114,25.764,16.346,25.722,-3.738,0,10.246,1.547,1,0,2.236,1.813,0,0.403,0.639,0.004,0.004,12.944,10.502,10.545,10.774,10.397,10.276,12.25,12.003,13.069,10.698,10.098,10.172,10.732,9.728,9.839,10.924,13.121,2040,857
3759430498,0.142766666,27.93,13.52,17.016,12.572,6.984,17.094,786.34,1.048,398.045,24.041,14.366,5.223,0,0,0,0,0,5611.318,1.411,0,147.524,9.465,140.19,15.254,136.429,8.72,6.499,25.427,259.815,30.176,4.743,2.221,25.74,16.363,25.715,-3.718,0,10.239,1.519,1,0,2.237,1.807,0,0.45,0.745,0.004,0.004,12.931,10.498,10.546,10.766,10.392,10.274,12.26,11.983,13.032,10.695,10.097,10.179,10.726,9.726,9.828,10.926,13.123,2040,857
3759430500,0.178283334,27.936,13.473,17.134,12.581,6.982,17.095,803.498,1.11,398.045,24.064,14.366,5.203,0,0,0,0,0,5597.418,1.393,0,147.347,9.453,140.306,15.25,136.353,8.703,6.512,25.435,259.787,30.172,4.731,2.508,25.742,16.359,25.72,-3.728,0,10.24,1.536,1,0,2.235,1.839,0,0.273,0.728,0.004,0.004,12.926,10.501,10.543,10.769,10.391,10.278,12.251,11.967,13.036,10.7,10.112,10.176,10.716,9.737,9.838,10.922,13.138,2040,857
3759430502,0.206916666,27.961,13.463,17.134,12.583,6.969,17.095,772.26,1.164,398.045,24.076,14.366,5.164,0,0,0,0,0,5565.925,1.422,0,147.522,9.458,140.251,15.217,136.267,8.684,6.498,25.425,259.964,30.197,4.766,1.894,25.761,16.326,25.74,-3.732,0,10.253,1.569,1,0,2.237,1.879,0,0.2,0.69,0.004,0.004,12.937,10.5,10.537,10.776,10.396,10.284,12.246,11.957,13.05,10.696,10.113,10.171,10.706,9.737,9.824,10.937,13.132,2040,857
3759430504,0.238350002,27.95,13.504,17.134,12.577,6.959,17.094,783.765,1.066,398.037,24.069,14.367,5.137,0,0,0,0,0,5616.518,1.412,0,147.196,9.458,140.277,15.228,136.44,8.723,6.47,25.453,259.966,30.197,4.738,1.367,25.758,16.344,25.705,-3.728,0,10.243,1.521,1,0,2.231,1.822,0,0.364,0.667,0.004,0.004,12.93,10.491,10.535,10.773,10.385,10.276,12.249,11.943,13.029,10.706,10.121,10.156,10.708,9.713,9.809,10.934,13.125,2040,857
3759430505,0.267116666,27.951,13.468,17.135,12.589,6.972,17.094,779.43,1.102,398.069,24.049,14.366,5.45,0,0,0,0,0,5597.474,1.401,0,147.474,9.461,140.277,15.216,136.362,8.706,6.475,25.437,259.992,30.201,4.758,2.455,25.745,16.302,25.703,-3.722,0,10.242,1.536,1,0,2.236,1.834,0,0.232,0.69,0.004,0.004,12.934,10.524,10.543,10.778,10.399,10.28,12.248,11.976,13.049,10.71,10.121,10.173,10.718,9.733,9.838,10.931,13.119,2040,857
