Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3759245233,0,17.54,11.104,45.033,34.288,15.907,44.156,854.509,1.126,385.701,20.801,13.92,1.897,0,1,0,0,0,5548.816,1.713,0,1.917,23.017,213.08,20.397,203.253,21.501,-1.143,20.772,203.445,21.419,0.641,1763.957,40.8,22.223,36.568,-22.029,23.556,38.85,17.349,0,0,0,-1.615,2.477,5.832,1.348,0.006,0.004,36.485,37.507,37.775,37.969,38.584,38.713,35.921,36.64,36.499,37.843,38.605,38.537,35.03,36.154,35.705,37.228,34.161,0,0
3759245235,0.03701667,17.545,11.123,45.032,34.298,15.941,44.156,849.58,1.089,385.701,20.804,13.921,1.793,0,1,0,0,0,5588.188,1.7,0,1.831,23.018,213.084,20.414,203.353,21.518,-1.143,20.806,203.468,21.423,0.611,1763.005,40.769,22.202,36.561,-22.029,23.574,38.831,17.314,0,0,0,-1.599,2.462,5.871,1.461,0.006,0.004,36.493,37.529,37.783,37.964,38.587,38.704,35.901,36.628,36.484,37.837,38.595,38.549,35.039,36.163,35.718,37.226,34.129,0,0
3759245237,0.064000003,17.516,11.117,45.032,34.268,15.949,44.157,866.674,1.075,385.725,20.799,13.921,1.854,0,1,0,0,0,5567.868,1.72,0,0.512,23.018,213.092,20.396,203.401,21.526,-1.169,20.765,203.545,21.436,0.665,1764.07,40.753,22.115,36.609,-22.029,23.539,38.821,17.295,0,1,0,-1.594,2.425,5.886,1.528,0.006,0.004,36.5,37.521,37.783,37.983,38.595,38.717,35.923,36.642,36.499,37.852,38.614,38.546,35.055,36.166,35.727,37.217,34.144,0,0
3759245239,0.101883332,17.56,11.115,45.032,34.288,15.913,44.156,849.505,1.126,385.709,20.797,13.92,1.892,0,1,0,0,0,5599.157,1.712,0,1.618,23.015,213.09,20.412,203.306,21.51,-1.137,20.769,203.411,21.413,0.638,1763.023,40.782,22.173,36.586,-22.029,23.584,38.826,17.316,0,0,0,-1.613,2.454,5.839,1.37,0.006,0.004,36.49,37.517,37.765,37.988,38.594,38.721,35.92,36.644,36.51,37.862,38.612,38.547,35.031,36.155,35.715,37.226,34.148,0,0
3759245241,0.132616671,17.511,11.103,45.032,34.282,15.921,44.157,857.211,1.075,385.701,20.82,13.92,1.884,0,1,0,0,0,5587.388,1.706,0,1.956,23.023,213.069,20.406,203.369,21.52,-1.154,20.845,203.448,21.419,0.569,1763.223,40.781,22.193,36.602,-22.029,23.556,38.831,17.311,0,0,0,-1.588,2.445,5.859,1.408,0.006,0.004,36.505,37.532,37.779,37.992,38.6,38.727,35.914,36.655,36.509,37.866,38.623,38.556,35.055,36.173,35.729,37.231,34.147,0,0
3759245243,0.163033334,17.513,11.096,45.031,34.28,15.911,44.156,848.809,1.097,385.678,20.818,13.92,1.846,0,1,0,0,0,5576.899,1.709,0,1.178,23.019,213.119,20.404,203.329,21.513,-1.149,20.768,203.432,21.417,0.643,1763.032,40.757,22.139,36.578,-22.029,23.566,38.827,17.314,0,1,0,-1.601,2.445,5.84,1.375,0.006,0.004,36.498,37.526,37.771,37.989,38.594,38.715,35.921,36.646,36.507,37.854,38.625,38.556,35.055,36.178,35.721,37.224,34.152,0,0
3759245245,0.198100003,17.527,11.095,45.032,34.254,15.919,44.157,855.064,1.073,385.685,20.779,13.919,1.83,0,1,0,0,0,5582.804,1.715,0,1.939,23.029,213.099,20.413,203.382,21.522,-1.149,20.778,203.461,21.421,0.638,1761.936,40.783,22.116,36.607,-22.028,23.6,38.831,17.309,0,0,0,-1.589,2.441,5.825,1.437,0.006,0.004,36.511,37.532,37.786,38.013,38.616,38.732,35.931,36.663,36.519,37.869,38.637,38.559,35.06,36.176,35.741,37.229,34.147,0,0
3759245247,0.228816668,17.535,11.078,45.032,34.29,15.894,44.157,844.209,1.091,385.662,20.774,13.92,1.826,0,1,0,0,0,5591.602,1.699,0,1.766,23.02,213.157,20.392,203.267,21.503,-1.15,20.754,203.549,21.436,0.676,1763.067,40.758,22.221,36.604,-22.029,23.608,38.825,17.322,0,0,0,-1.596,2.43,5.777,1.3,0.006,0.004,36.514,37.528,37.789,37.997,38.614,38.734,35.928,36.664,36.521,37.881,38.635,38.56,35.057,36.18,35.723,37.23,34.152,0,0
3759245249,0.264200004,17.552,11.126,45.033,34.3,15.954,44.156,879.54,1.059,385.693,20.817,13.919,1.859,0,1,0,0,0,5566.04,1.713,0,1.918,23.024,213.105,20.389,203.34,21.515,-1.166,20.745,203.504,21.429,0.678,1763.151,40.75,22.223,36.594,-22.029,23.618,38.826,17.311,0,0,0,-1.583,2.431,5.873,1.509,0.006,0.004,36.518,37.539,37.809,38.007,38.612,38.739,35.931,36.672,36.524,37.878,38.638,38.574,35.067,36.189,35.745,37.228,34.155,0,0
3759245251,0.301349998,17.543,11.123,45.032,34.282,15.914,44.156,852.544,1.164,385.654,20.797,13.918,1.854,0,1,0,0,0,5589.197,1.707,0,1.349,23.029,213.123,20.419,203.303,21.509,-1.129,20.77,203.53,21.433,0.657,1763.1,40.773,22.294,36.567,-22.028,23.664,38.839,17.33,0,1,0,-1.635,2.46,5.874,1.388,0.006,0.004,36.508,37.529,37.794,38.017,38.616,38.743,35.94,36.67,36.519,37.881,38.642,38.561,35.062,36.177,35.729,37.231,34.154,0,0
