Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3759247633,0,21.677,12.311,35.414,35.374,16.255,35.79,872.231,1.133,385.63,20.853,13.918,6.507,0,1,0,0,0,5573.023,1.704,0,6.529,25.462,228.457,20.68,204.078,21.639,-0.998,21.057,204.294,21.598,0.286,1763.907,40.903,22.388,37.483,-22.029,19.587,39.331,17.691,0,1,-0.001,-1.364,2.002,4.685,1.254,0.006,0.004,37.418,38.26,38.463,38.624,39.117,39.227,36.927,37.532,37.42,38.493,39.117,39.073,36.119,37.081,36.709,37.979,35.319,0,0
3759247635,0.036066667,21.657,12.299,35.414,35.365,16.239,35.906,858.32,1.14,385.646,20.841,13.918,6.532,0,1,0,0,0,5575.161,1.695,0,6.271,25.469,228.448,20.681,204.066,21.637,-0.996,21.08,204.125,21.578,0.247,1762.952,40.881,22.285,37.467,-22.028,19.508,39.332,17.694,0,1,-0.001,-1.365,1.997,4.676,1.206,0.006,0.004,37.424,38.253,38.462,38.627,39.112,39.216,36.929,37.526,37.415,38.487,39.103,39.069,36.122,37.085,36.719,37.97,35.318,0,0
3759247636,0.060183334,21.658,12.297,35.414,35.354,16.245,35.908,858.288,1.099,385.63,20.856,13.918,6.463,0,1,0,0,0,5560.182,1.701,0,6.481,25.481,228.494,20.739,204.023,21.63,-0.93,21.08,204.187,21.608,0.279,1763.045,40.897,22.29,37.463,-22.028,19.548,39.335,17.705,0,1,0,-1.346,2.009,4.668,1.241,0.006,0.004,37.418,38.245,38.469,38.618,39.109,39.216,36.923,37.525,37.404,38.487,39.113,39.071,36.128,37.074,36.715,37.977,35.319,0,0
3759247638,0.085316666,21.655,12.31,35.414,35.369,16.229,35.79,837.962,1.143,385.638,20.843,13.917,6.549,0,1,0,0,0,5560.036,1.706,0,6.613,25.482,228.568,20.691,204.129,21.648,-0.996,21.065,204.123,21.601,0.279,1762.326,40.899,22.335,37.456,-22.028,19.547,39.332,17.684,0,1,-0.001,-1.336,2.013,4.705,1.163,0.006,0.004,37.428,38.243,38.465,38.619,39.114,39.212,36.933,37.529,37.411,38.482,39.112,39.085,36.122,37.086,36.714,37.972,35.309,0,0
3759247640,0.114133334,21.665,12.28,35.414,35.389,16.213,35.789,861.321,1.04,385.614,20.841,13.92,6.522,0,1,0,0,0,5578.505,1.705,0,6.361,25.482,228.578,20.714,204.173,21.655,-0.981,21.066,204.104,21.593,0.294,1763.045,40.911,22.369,37.448,-22.028,19.595,39.319,17.663,0,1,0,-1.308,2.025,4.617,1.074,0.006,0.004,37.43,38.252,38.476,38.627,39.122,39.232,36.955,37.544,37.419,38.496,39.13,39.086,36.125,37.096,36.717,37.967,35.306,0,0
3759247642,0.144400001,21.675,12.349,35.414,35.368,16.259,35.79,869.857,1.108,385.678,20.871,13.919,6.676,0,1,0,0,0,5576.331,1.708,0,6.565,25.474,228.575,20.699,204.182,21.657,-0.997,21.078,204.154,21.588,0.27,1762.388,40.929,22.346,37.463,-22.028,19.572,39.314,17.657,0,1,-0.001,-1.339,2.027,4.786,1.275,0.006,0.004,37.421,38.238,38.463,38.618,39.113,39.23,36.949,37.536,37.416,38.502,39.13,39.07,36.125,37.091,36.698,37.961,35.325,0,0
3759247643,0.174733337,21.665,12.337,35.414,35.374,16.235,35.79,889.165,1.133,385.67,20.863,13.918,6.62,0,1,0,0,0,5581.021,1.703,0,6.72,25.477,228.521,20.716,204.175,21.656,-0.98,21.057,204.182,21.59,0.264,1762.735,40.885,22.381,37.483,-22.028,19.563,39.334,17.678,0,1,-0.001,-1.347,1.99,4.766,1.178,0.006,0.004,37.424,38.254,38.462,38.635,39.133,39.232,36.941,37.541,37.433,38.507,39.128,39.076,36.118,37.082,36.702,37.976,35.334,0,0
3759247645,0.198699999,21.661,12.292,35.339,35.388,16.244,35.79,870.452,1.192,385.646,20.856,13.916,6.53,0,1,0,0,0,5573.486,1.688,0,6.355,25.486,228.546,20.692,204.117,21.646,-0.994,21.046,204.249,21.606,0.267,1761.774,40.889,22.338,37.463,-22.029,19.551,39.335,17.689,0,1,-0.001,-1.395,2.003,4.655,1.197,0.006,0.004,37.407,38.258,38.463,38.644,39.139,39.234,36.964,37.541,37.431,38.508,39.141,39.077,36.112,37.089,36.699,37.984,35.323,0,0
3759247647,0.235883339,21.675,12.345,35.296,35.372,16.259,35.79,852.258,1.134,385.59,20.841,13.916,6.545,0,1,0,0,0,5549.862,1.694,0,6.672,25.499,228.605,20.716,204.09,21.641,-0.964,21.044,204.187,21.604,0.26,1761.831,40.891,22.335,37.479,-22.028,19.539,39.337,17.696,0,1,-0.001,-1.354,1.994,4.778,1.276,0.006,0.004,37.422,38.259,38.469,38.619,39.115,39.224,36.935,37.536,37.408,38.492,39.123,39.078,36.126,37.086,36.706,37.975,35.322,0,0
3759247649,0.272100004,21.695,12.294,35.414,35.395,16.242,35.791,851.452,1.081,385.59,20.875,13.917,6.589,0,1,0,0,0,5558.365,1.691,0,6.432,25.499,228.688,20.71,204.21,21.661,-0.991,21.07,204.085,21.599,0.262,1761.62,40.882,22.313,37.479,-22.029,19.554,39.325,17.664,0,1,-0.001,-1.336,1.989,4.623,1.179,0.006,0.004,37.425,38.249,38.465,38.63,39.12,39.224,36.948,37.541,37.417,38.496,39.125,39.081,36.117,37.094,36.7,37.974,35.321,0,0
3759247651,0.302016671,21.67,12.298,35.414,35.389,16.209,35.791,829.13,1.079,385.614,20.838,13.917,6.631,0,1,0,0,0,5553.709,1.711,0,6.231,25.479,228.688,20.705,204.134,21.649,-0.983,21.052,204.131,21.61,0.278,1762.039,40.911,22.326,37.488,-22.029,19.536,39.32,17.671,0,1,-0.001,-1.321,2.001,4.661,1.065,0.006,0.004,37.427,38.255,38.467,38.633,39.128,39.229,36.944,37.532,37.428,38.501,39.131,39.083,36.117,37.095,36.712,37.972,35.333,0,0
3759247653,0.331950005,21.667,12.298,35.414,35.403,16.227,35.79,878.818,1.015,385.606,20.848,13.916,6.526,0,1,0,0,0,5586.134,1.694,0,6.703,25.479,228.562,20.725,204.09,21.641,-0.955,21.061,204.144,21.597,0.241,1761.6,40.889,22.312,37.473,-22.027,19.561,39.331,17.689,0,1,-0.001,-1.293,1.997,4.663,1.116,0.006,0.004,37.414,38.246,38.46,38.616,39.122,39.227,36.919,37.53,37.417,38.493,39.132,39.081,36.107,37.082,36.698,37.98,35.333,0,0
3759247654,0.356783334,21.683,12.305,35.414,35.378,16.222,35.79,878.742,1.16,385.583,20.874,13.917,6.454,0,1,0,0,0,5559.119,1.693,0,6.609,25.498,228.558,20.708,204.154,21.652,-0.983,21.046,204.301,21.603,0.261,1762.945,40.911,22.302,37.462,-22.028,19.549,39.334,17.682,0,1,-0.001,-1.367,2.018,4.663,1.127,0.006,0.004,37.429,38.254,38.463,38.623,39.129,39.23,36.944,37.54,37.416,38.507,39.136,39.079,36.117,37.088,36.7,37.981,35.327,0,0
3759247656,0.381300004,21.669,12.297,35.414,35.39,16.227,35.79,860.236,1.104,385.614,20.869,13.917,6.356,0,1,0,0,0,5558.778,1.695,0,6.646,25.494,228.682,20.725,204.133,21.648,-0.962,21.058,204.239,21.594,0.273,1762.973,40.893,22.275,37.472,-22.028,19.549,39.335,17.687,0,1,-0.001,-1.371,2.001,4.657,1.129,0.006,0.004,37.413,38.237,38.451,38.628,39.13,39.24,36.933,37.538,37.419,38.503,39.132,39.069,36.105,37.087,36.693,37.983,35.312,0,0
3759247657,0.405266666,21.67,12.308,35.296,35.386,16.242,35.791,874.554,1.035,385.614,20.851,13.917,6.292,0,1,0,0,0,5557.068,1.703,0,6.3,25.494,228.655,20.72,204.137,21.649,-0.969,21.054,204.207,21.606,0.281,1763.002,40.9,22.307,37.475,-22.029,19.559,39.324,17.675,0,1,0,-1.344,2.003,4.686,1.19,0.006,0.004,37.405,38.241,38.463,38.623,39.115,39.23,36.927,37.532,37.409,38.49,39.119,39.064,36.11,37.074,36.695,37.983,35.332,0,0
3759247659,0.435683338,21.677,12.347,35.295,35.38,16.22,35.79,868.801,1.147,385.614,20.843,13.917,6.241,0,1,0,0,0,5573.693,1.692,0,6.347,25.513,228.658,20.722,204.099,21.643,-0.961,21.074,204.202,21.581,0.255,1762.276,40.913,22.304,37.471,-22.028,19.526,39.341,17.699,0,1,-0.001,-1.345,2.012,4.782,1.119,0.006,0.004,37.415,38.231,38.454,38.613,39.11,39.222,36.925,37.526,37.396,38.489,39.115,39.059,36.103,37.076,36.687,37.988,35.326,0,0
3759247661,0.465516671,21.688,12.342,35.296,35.401,16.237,35.791,875.087,1.13,385.598,20.837,13.917,6.156,0,1,0,0,0,5555.268,1.7,0,6.679,25.504,228.78,20.712,204.163,21.654,-0.981,21.074,204.214,21.594,0.246,1761.793,40.883,22.25,37.482,-22.028,19.563,39.339,17.686,0,1,-0.001,-1.344,1.988,4.756,1.152,0.006,0.004,37.419,38.249,38.463,38.632,39.125,39.237,36.939,37.533,37.426,38.509,39.134,39.076,36.118,37.085,36.697,37.983,35.317,0,0
3759247663,0.501350005,21.691,12.32,35.296,35.383,16.259,35.789,882.668,1.149,385.614,20.85,13.918,6.127,0,1,0,0,0,5569.165,1.686,0,6.343,25.501,228.723,20.707,204.132,21.648,-0.981,21.063,204.223,21.602,0.233,1762.935,40.872,22.323,37.486,-22.028,19.535,39.346,17.697,0,1,-0.001,-1.37,1.981,4.696,1.256,0.006,0.004,37.435,38.255,38.478,38.642,39.134,39.241,36.942,37.542,37.424,38.503,39.135,39.091,36.12,37.097,36.719,37.983,35.33,0,0
3759247665,0.537316672,21.702,12.306,35.296,35.384,16.218,35.79,847.106,1.172,385.638,20.864,13.917,6.036,0,1,0,0,0,5545.71,1.715,0,6.72,25.498,228.703,20.709,204.173,21.655,-0.986,21.054,204.177,21.591,0.244,1763.099,40.863,22.378,37.477,-22.028,19.539,39.348,17.693,0,1,-0.001,-1.371,1.981,4.648,1.102,0.006,0.004,37.412,38.252,38.465,38.637,39.127,39.242,36.931,37.534,37.42,38.504,39.137,39.073,36.108,37.09,36.692,37.987,35.312,0,0
3759247667,0.572783335,21.68,12.31,35.296,35.379,16.243,35.79,862.484,1.066,385.614,20.861,13.918,5.862,0,1,0,0,0,5592.651,1.675,0,6.674,25.518,228.683,20.71,204.163,21.654,-0.982,21.062,204.243,21.59,0.227,1762.596,40.894,22.374,37.503,-22.028,19.538,39.339,17.686,0,1,-0.001,-1.324,1.983,4.681,1.205,0.006,0.004,37.423,38.254,38.473,38.621,39.127,39.235,36.933,37.522,37.421,38.5,39.126,39.083,36.107,37.09,36.699,37.985,35.323,0,0
3759247670,0.613166666,21.682,12.311,35.296,35.371,16.223,35.79,876.384,1.111,385.622,20.839,13.918,5.832,0,1,0,0,0,5527.629,1.692,0,6.484,25.496,228.811,20.734,204.149,21.651,-0.957,21.062,204.12,21.593,0.222,1763.118,40.881,22.323,37.487,-22.028,19.569,39.334,17.682,0,1,-0.001,-1.34,1.985,4.68,1.138,0.006,0.004,37.42,38.25,38.46,38.623,39.127,39.229,36.929,37.536,37.415,38.496,39.121,39.07,36.112,37.089,36.704,37.988,35.328,0,0
3759247672,0.650083335,21.642,12.328,35.296,35.383,16.236,35.79,859.914,1.153,385.646,20.851,13.918,5.694,0,1,0,0,0,5555.513,1.669,0,6.724,25.504,228.666,20.726,204.139,21.65,-0.963,21.063,204.181,21.603,0.227,1763.417,40.885,22.276,37.5,-22.028,19.552,39.329,17.68,0,1,-0.001,-1.36,1.98,4.767,1.172,0.006,0.004,37.417,38.249,38.473,38.634,39.144,39.249,36.945,37.543,37.43,38.517,39.131,39.076,36.109,37.082,36.704,37.984,35.33,0,0
3759247674,0.686816669,21.693,12.319,35.296,35.406,16.231,35.79,836.628,1.103,385.622,20.847,13.92,5.698,0,1,0,0,0,5518.823,1.685,0,6.372,25.517,228.719,20.747,204.164,21.654,-0.946,21.051,204.22,21.592,0.232,1760.903,40.881,22.356,37.464,-22.028,19.509,39.325,17.671,0,1,-0.001,-1.336,1.997,4.691,1.119,0.006,0.004,37.41,38.247,38.482,38.643,39.143,39.236,36.948,37.539,37.424,38.511,39.134,39.085,36.116,37.095,36.703,37.99,35.337,0,0
3759247676,0.717283336,21.687,12.303,35.297,35.4,16.229,35.79,871.678,1.036,385.678,20.842,13.918,5.782,0,1,0,0,0,5544.035,1.692,0,6.737,25.521,228.805,20.712,204.113,21.646,-0.973,21.04,204.251,21.603,0.246,1761.794,40.874,22.252,37.476,-22.028,19.527,39.333,17.687,0,1,-0.001,-1.304,1.986,4.655,1.122,0.006,0.004,37.431,38.255,38.482,38.629,39.136,39.233,36.937,37.544,37.422,38.51,39.136,39.086,36.128,37.097,36.715,37.992,35.326,0,0
3759247678,0.746833332,21.69,12.308,35.296,35.391,16.221,35.79,871.417,1.139,385.63,20.874,13.919,5.669,0,1,0,0,0,5556.637,1.688,0,6.761,25.527,228.827,20.734,204.112,21.645,-0.95,21.035,204.186,21.594,0.212,1761.993,40.844,22.308,37.501,-22.028,19.526,39.324,17.679,0,1,-0.001,-1.354,1.954,4.665,1.101,0.006,0.004,37.434,38.264,38.49,38.625,39.126,39.232,36.928,37.539,37.417,38.504,39.124,39.103,36.116,37.111,36.727,37.984,35.328,0,0
3759247680,0.782483339,21.681,12.31,35.296,35.396,16.205,35.789,861.755,1.138,385.67,20.843,13.918,5.497,0,1,0,0,0,5548.445,1.677,0,6.662,25.543,228.866,20.738,204.156,21.653,-0.954,21.056,204.267,21.598,0.221,1760.816,40.875,22.316,37.511,-22.028,19.543,39.327,17.675,0,1,-0.001,-1.347,1.965,4.679,1.038,0.006,0.004,37.441,38.266,38.486,38.639,39.126,39.241,36.946,37.541,37.433,38.506,39.142,39.087,36.131,37.109,36.72,37.983,35.337,0,0
