Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,Compressor Speed (RPM),,Heat Balance (%)
3757873511,0,21.81,18.648,17.373,20.997,12.609,16.75,145.749,0.007,398.077,23.722,14.367,0,0,0,0,0,0,98.62,0.001,0,263.498,11.728,151.01,14.052,141.192,9.765,4.253,25.704,252.144,29.079,3.369,1768.51,29.801,21.984,23.304,-21.998,33.835,19.293,9.528,0,0,3.938,0.344,3.813,17.084,5.845,0.013,0.006,18.796,18.778,18.848,19.483,19.414,19.292,18.176,18.107,18.205,19.33,19.177,19.328,17.386,17.63,17.389,18.619,21.385,3437,1769,-3.225390272
3757873512,0.025233332,21.809,18.67,17.373,20.981,12.626,16.749,115.1,0.009,398.069,23.777,14.367,0,0,0,0,0,0,98.622,0.001,0,263.333,11.738,150.969,14.078,141.253,9.779,4.265,25.722,252.308,29.103,3.374,1767.484,29.808,21.926,23.342,-21.998,33.853,19.302,9.523,0,0,3.935,0.405,3.792,17.12,5.903,0.013,0.006,18.797,18.775,18.856,19.459,19.396,19.272,18.153,18.101,18.194,19.327,19.162,19.335,17.388,17.635,17.403,18.619,21.398,3437,1769,-3.701307105
3757873514,0.050783332,21.842,18.638,17.372,20.965,12.625,16.866,115.098,0.006,398.077,23.753,14.366,0,0,0,0,0,0,98.618,0.001,0,263.121,11.733,151.019,14.077,141.096,9.745,4.298,25.69,252.334,29.106,3.41,1768.396,29.821,21.865,23.306,-21.998,33.844,19.308,9.563,0,0,3.934,0.318,3.823,17.051,5.917,0.013,0.006,18.809,18.765,18.841,19.458,19.412,19.308,18.165,18.113,18.203,19.325,19.155,19.314,17.383,17.629,17.408,18.625,21.384,3437,1769,-2.861931159
3757873516,0.088466668,21.832,18.646,17.373,20.987,12.623,16.75,121.668,0.01,398.053,23.73,14.368,0,0,0,0,0,0,98.617,0.001,0,263.3,11.742,150.992,14.062,141.158,9.758,4.27,25.694,252.563,29.139,3.439,1768.08,29.8,21.928,23.291,-21.998,33.845,19.308,9.55,0,0,3.936,0.319,3.819,17.069,5.889,0.013,0.006,18.813,18.761,18.848,19.467,19.415,19.316,18.166,18.101,18.213,19.331,19.159,19.309,17.396,17.629,17.397,18.615,21.388,3437,1769,-3.017408124
3757873517,0.113166666,21.815,18.662,17.373,20.993,12.622,16.749,121.669,0.007,398.093,23.764,14.367,0,0,0,0,0,0,98.617,0.001,0,263.171,11.724,151.037,14.062,141.08,9.741,4.287,25.692,252.099,29.072,3.374,1767.934,29.816,21.894,23.331,-21.998,33.833,19.301,9.56,0,0,3.934,0.338,3.805,17.104,5.882,0.013,0.006,18.793,18.749,18.839,19.479,19.379,19.294,18.158,18.101,18.193,19.324,19.14,19.292,17.366,17.63,17.385,18.627,21.397,3437,1769,-3.333764052
3757873519,0.144433331,21.821,18.636,17.373,20.992,12.642,16.75,134.907,0.008,398.085,23.78,14.367,0,0,0,0,0,0,98.618,0.001,0,263.132,11.735,150.95,14.052,141.144,9.755,4.262,25.689,252.161,29.081,3.386,1768.14,29.829,21.811,23.305,-21.998,33.838,19.307,9.552,0,0,3.933,0.335,3.828,17.059,5.931,0.013,0.006,18.782,18.744,18.843,19.456,19.381,19.295,18.176,18.106,18.215,19.341,19.131,19.267,17.382,17.617,17.373,18.619,21.395,3437,1769,-2.705836877
3757873522,0.183233333,21.835,18.651,17.372,20.977,12.625,16.75,165.999,0.008,398.069,23.764,14.367,0,0,0,0,0,0,98.621,0.001,0,263.305,11.739,151.003,14.054,141.203,9.768,4.252,25.674,252.201,29.087,3.407,1769.352,29.848,21.843,23.302,-21.998,33.838,19.303,9.536,0,0,3.936,0.374,3.844,17.076,5.904,0.013,0.006,18.795,18.746,18.843,19.488,19.386,19.298,18.191,18.119,18.216,19.345,19.135,19.253,17.367,17.613,17.389,18.621,21.381,3437,1769,-2.36503856
3757873524,0.2227,21.852,18.639,17.371,20.989,12.606,16.75,138.716,0.012,398.085,23.758,14.367,0,0,0,0,0,0,98.616,0.001,0,263.188,11.738,151.022,14.048,141.195,9.766,4.247,25.686,252.342,29.108,3.415,1769.431,29.846,21.943,23.302,-21.998,33.84,19.292,9.525,0,0,3.934,0.46,3.843,17.047,5.846,0.013,0.006,18.806,18.742,18.847,19.463,19.367,19.3,18.175,18.092,18.223,19.325,19.132,19.241,17.374,17.62,17.38,18.623,21.381,3437,1769,-2.340234023
3757873526,0.260866666,21.811,18.664,17.372,20.958,12.612,16.75,142.264,0.008,398.077,23.756,14.366,0,0,0,0,0,0,98.62,0.001,0,263.373,11.756,151.016,14.044,141.277,9.784,4.226,25.689,252.631,29.149,3.455,1770.791,29.881,21.978,23.306,-21.997,33.843,19.279,9.495,0,0,3.936,0.386,3.863,17.109,5.891,0.013,0.006,18.817,18.763,18.879,19.472,19.367,19.293,18.178,18.126,18.243,19.337,19.135,19.24,17.389,17.623,17.404,18.611,21.387,3437,1769,-1.872034876
3757873528,0.293066669,21.819,18.668,17.372,20.991,12.638,16.748,97.884,0.009,398.053,23.749,14.368,0,0,0,0,0,0,98.617,0.001,0,263.18,11.758,151.106,14.015,141.358,9.801,4.18,25.669,252.326,29.105,3.43,1770.181,29.899,21.838,23.313,-21.997,33.845,19.29,9.489,0,0,3.933,0.395,3.869,17.111,5.923,0.013,0.006,18.792,18.763,18.865,19.473,19.367,19.314,18.198,18.129,18.247,19.339,19.147,19.239,17.384,17.626,17.396,18.612,21.386,3437,1769,-1.640604973
3757873530,0.325883333,21.811,18.653,17.373,20.977,12.63,16.866,150.793,0.004,398.093,23.732,14.366,0,0,0,0,0,0,98.618,0.001,0,263.319,11.764,151.117,14.033,141.284,9.786,4.213,25.659,252.346,29.108,3.443,1768.254,29.874,21.899,23.316,-21.998,33.888,19.283,9.497,0,0,3.936,0.271,3.848,17.091,5.917,0.013,0.006,18.801,18.764,18.841,19.473,19.378,19.316,18.19,18.12,18.236,19.325,19.142,19.273,17.393,17.623,17.416,18.611,21.394,3437,1769,-2.261048304
3757873532,0.365433335,21.829,18.645,17.373,20.992,12.646,16.865,119.713,0.01,398.045,23.743,14.367,0,0,0,0,0,0,98.623,0.001,0,263.133,11.731,151.142,14.016,141.304,9.79,4.193,25.682,252.492,29.129,3.441,1769.39,29.87,21.88,23.347,-21.998,33.872,19.29,9.5,0,0,3.932,0.416,3.83,17.069,5.941,0.013,0.006,18.798,18.747,18.832,19.485,19.382,19.302,18.188,18.121,18.236,19.34,19.15,19.276,17.396,17.618,17.417,18.616,21.399,3437,1769,-2.628188611
3757873535,0.401383336,21.849,18.66,17.373,20.981,12.64,16.75,140.972,0.006,398.069,23.772,14.367,0,0,0,0,0,0,98.623,0.001,0,263.37,11.74,150.984,14.025,141.148,9.756,4.235,25.68,252.324,29.105,3.418,1769.586,29.865,21.96,23.328,-21.999,33.888,19.313,9.557,0,0,3.936,0.331,3.838,17.083,5.937,0.013,0.006,18.796,18.747,18.85,19.496,19.403,19.323,18.189,18.135,18.243,19.357,19.156,19.278,17.394,17.601,17.405,18.623,21.39,3437,1769,-2.521224595
3757873537,0.434733335,21.803,18.675,17.372,20.993,12.626,16.75,112.971,0.009,398.085,23.736,14.368,0,0,0,0,0,0,98.617,0.001,0,263.539,11.726,151.026,14.056,141.124,9.751,4.271,25.679,252.43,29.12,3.435,1769.96,29.856,21.921,23.356,-21.998,33.855,19.311,9.56,0,0,3.94,0.392,3.818,17.132,5.889,0.013,0.006,18.798,18.759,18.849,19.48,19.358,19.289,18.178,18.12,18.226,19.335,19.156,19.282,17.387,17.61,17.403,18.625,21.393,3437,1769,-3.1451405
3757873539,0.472483333,21.831,18.66,17.373,20.991,12.615,16.75,136.295,0.006,398.093,23.743,14.367,0,0,0,0,0,0,98.618,0.001,0,263.285,11.749,150.96,14.084,141.271,9.783,4.267,25.692,252.491,29.129,3.431,1769.183,29.858,21.864,23.359,-21.998,33.856,19.291,9.508,0,0,3.936,0.314,3.816,17.093,5.864,0.013,0.006,18.814,18.779,18.87,19.479,19.365,19.324,18.187,18.12,18.232,19.344,19.15,19.293,17.407,17.619,17.419,18.618,21.381,3437,1769,-3.095975232
