Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3757871109,0,21.447,18.148,17.842,20.699,12.356,17.214,162.195,0.009,398.029,23.578,14.365,0,0,0,0,0,0,98.579,0.001,0,287.103,14.336,163.951,17.714,155.394,12.745,4.932,25.844,253.687,29.301,3.451,1769.851,34.877,22.317,27.661,-22.004,37.493,23.081,10.336,0,0,4.322,0.384,4.237,16.466,5.512,0.012,0.006,22.464,22.499,22.611,23.162,22.935,22.949,21.681,21.48,21.543,22.823,22.892,22.665,20.419,20.383,20.595,22.078,21.002,3428,1769
3757871111,0.031433336,21.443,18.154,17.841,20.679,12.364,17.212,134.404,0.012,398.013,23.579,14.365,0,0,0,0,0,0,98.581,0.001,0,287.25,14.338,163.933,17.715,155.293,12.724,4.954,25.858,253.86,29.326,3.462,1771.902,34.881,22.281,27.672,-22.003,37.469,23.092,10.368,0,0,4.324,0.426,4.237,16.477,5.553,0.012,0.006,22.467,22.514,22.625,23.161,22.927,22.941,21.675,21.486,21.547,22.827,22.892,22.671,20.432,20.399,20.594,22.082,20.982,3428,1769
3757871113,0.055633338,21.438,18.14,17.841,20.729,12.355,17.214,131.141,0.008,398.029,23.539,14.365,0,0,0,0,0,0,98.575,0.001,0,287.45,14.344,163.944,17.745,155.279,12.721,4.987,25.865,253.85,29.325,3.453,1770.611,34.868,22.246,27.676,-22.003,37.5,23.096,10.375,0,0,4.328,0.352,4.224,16.457,5.478,0.012,0.006,22.456,22.512,22.624,23.171,22.931,22.964,21.683,21.487,21.543,22.831,22.884,22.665,20.434,20.383,20.576,22.073,20.984,3428,1769
3757871114,0.085800004,21.461,18.135,17.84,20.683,12.367,17.214,128.618,0.008,398.021,23.547,14.366,0,0,0,0,0,0,98.585,0.001,0,287.352,14.331,163.972,17.767,155.286,12.723,5.007,25.858,253.851,29.325,3.461,1770.627,34.881,22.233,27.68,-22.003,37.495,23.096,10.374,0,0,4.327,0.343,4.229,16.437,5.555,0.012,0.006,22.469,22.522,22.626,23.17,22.932,22.936,21.677,21.478,21.538,22.827,22.887,22.683,20.431,20.398,20.582,22.077,20.994,3428,1769
3757871116,0.117366672,21.466,18.153,17.958,20.696,12.357,17.213,134.205,0.007,398.045,23.574,14.364,0,0,0,0,0,0,98.574,0.001,0,287.202,14.331,163.907,17.768,155.28,12.721,5.01,25.837,253.52,29.277,3.434,1770.374,34.874,22.241,27.69,-22.003,37.492,23.108,10.386,0,0,4.326,0.338,4.219,16.464,5.518,0.012,0.006,22.465,22.51,22.624,23.18,22.942,22.943,21.677,21.481,21.535,22.83,22.901,22.678,20.433,20.379,20.583,22.08,20.989,3428,1769
3757871118,0.148116668,21.437,18.13,17.84,20.698,12.333,17.214,135.561,0.008,397.982,23.578,14.365,0,0,0,0,0,0,98.584,0.001,0,287.497,14.299,163.907,17.803,155.229,12.711,5.055,25.838,253.808,29.318,3.474,1770.784,34.861,22.292,27.657,-22.003,37.476,23.107,10.396,0,0,4.331,0.352,4.232,16.442,5.456,0.012,0.006,22.466,22.513,22.614,23.157,22.942,22.95,21.675,21.49,21.543,22.826,22.914,22.668,20.421,20.389,20.585,22.088,20.977,3428,1769
3757871120,0.179483334,21.47,18.152,17.85,20.701,12.376,17.214,149.053,0.008,398.013,23.593,14.364,0,0,0,0,0,0,98.58,0.001,0,287.347,14.315,163.744,17.808,155.217,12.708,5.062,25.855,253.847,29.324,3.462,1770.55,34.881,22.252,27.685,-22.003,37.485,23.105,10.397,0,0,4.328,0.355,4.227,16.46,5.561,0.012,0.006,22.464,22.514,22.59,23.155,22.923,22.94,21.675,21.476,21.526,22.823,22.889,22.656,20.42,20.374,20.595,22.079,20.988,3428,1769
3757871122,0.21075,21.468,18.142,17.959,20.725,12.355,17.213,138.348,0.01,397.998,23.545,14.365,0,0,0,0,0,0,98.583,0.001,0,287.586,14.32,163.829,17.824,155.286,12.722,5.064,25.854,253.74,29.309,3.449,1770.803,34.89,22.295,27.684,-22.003,37.486,23.12,10.398,0,0,4.332,0.391,4.233,16.444,5.485,0.012,0.006,22.464,22.519,22.623,23.158,22.927,22.934,21.668,21.492,21.532,22.809,22.899,22.667,20.422,20.387,20.61,22.084,20.999,3428,1769
3757871124,0.241833337,21.475,18.121,17.841,20.696,12.343,17.213,146.047,0.008,398.021,23.558,14.365,0,0,0,0,0,0,98.584,0.001,0,287.316,14.323,163.85,17.835,155.166,12.698,5.1,25.86,253.942,29.338,3.471,1771.617,34.874,22.294,27.662,-22.004,37.486,23.148,10.45,0,0,4.329,0.362,4.238,16.407,5.483,0.012,0.006,22.456,22.51,22.634,23.169,22.918,22.943,21.678,21.51,21.532,22.824,22.918,22.653,20.431,20.364,20.589,22.085,20.993,3428,1769
3757871126,0.272666669,21.446,18.129,17.841,20.716,12.337,17.213,131.372,0.009,398.013,23.574,14.366,0,0,0,0,0,0,98.58,0.001,0,287.465,14.33,163.865,17.852,155.384,12.742,5.073,25.832,254.084,29.358,3.52,1770.048,34.867,22.269,27.701,-22.004,37.534,23.153,10.411,0,0,4.332,0.383,4.208,16.435,5.446,0.012,0.006,22.475,22.523,22.652,23.176,22.926,22.941,21.677,21.503,21.536,22.817,22.925,22.665,20.439,20.367,20.595,22.086,20.984,3428,1769
