Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,,Heat Balance (%)
3757868710,0,21.011,17.847,18.425,20.434,12.301,17.561,141.794,0.008,398.354,23.123,14.377,0,0,0,0,0,0,98.492,0.001,0,265.608,12.167,153.056,15.685,143.63,10.293,5.356,25.169,250.032,28.774,3.598,1054.836,34.828,21.362,23.667,-22.398,35.057,20.451,10.157,0,0,4.019,0.336,3.906,16.207,5.635,0.012,0.006,19.631,20.112,20.517,20.804,20.588,20.822,18.749,18.701,18.673,20.452,20.315,20.054,17.661,17.907,17.567,19.508,20.559,3428,1769,2.851735016
3757868711,0.02911667,21.003,17.845,18.426,20.413,12.285,17.562,154.598,0.009,398.354,23.135,14.377,0,0,0,0,0,0,98.494,0.001,0,265.215,12.168,153.087,15.665,143.811,10.332,5.298,25.177,249.724,28.729,3.546,1055.159,34.835,21.384,23.671,-22.389,35.07,20.45,10.118,0,0,4.011,0.355,3.908,16.208,5.617,0.012,0.006,19.636,20.118,20.523,20.808,20.59,20.826,18.771,18.735,18.687,20.444,20.323,20.05,17.652,17.905,17.555,19.508,20.566,3428,1769,2.601338553
3757868713,0.058899999,20.989,17.845,18.426,20.445,12.28,17.562,146.987,0.011,398.354,23.118,14.376,0,0,0,0,0,0,98.49,0.001,0,264.97,12.183,153.092,15.648,143.899,10.351,5.261,25.184,249.707,28.727,3.537,1054.752,34.842,21.359,23.655,-22.387,35.038,20.452,10.101,0,0,4.007,0.388,3.915,16.216,5.573,0.012,0.006,19.625,20.11,20.522,20.785,20.582,20.828,18.751,18.735,18.701,20.448,20.308,20.045,17.643,17.899,17.554,19.513,20.546,3428,1769,2.322645797
3757868715,0.093466663,20.999,17.857,18.426,20.435,12.3,17.562,151.251,0.01,398.338,23.141,14.377,0,0,0,0,0,0,98.498,0.001,0,265.187,12.163,153.17,15.676,143.737,10.316,5.325,25.179,249.752,28.733,3.548,1055.978,34.837,21.377,23.654,-22.393,35.04,20.459,10.143,0,0,4.011,0.368,3.918,16.229,5.633,0.012,0.006,19.622,20.095,20.529,20.77,20.578,20.824,18.74,18.748,18.699,20.434,20.298,20.05,17.646,17.91,17.542,19.507,20.555,3428,1769,2.345819145
3757868717,0.123283331,20.992,17.836,18.425,20.442,12.283,17.678,126.418,0.01,398.346,23.137,14.377,0,0,0,0,0,0,98.495,0.001,0,265.213,12.159,153.069,15.674,143.884,10.348,5.291,25.171,249.684,28.723,3.546,1055.035,34.818,21.401,23.666,-22.394,35.028,20.445,10.098,0,0,4.011,0.378,3.903,16.199,5.583,0.012,0.006,19.645,20.11,20.539,20.754,20.575,20.816,18.738,18.749,18.72,20.442,20.306,20.053,17.645,17.916,17.564,19.51,20.555,3428,1769,2.729340409
3757868719,0.147266666,20.994,17.833,18.426,20.453,12.287,17.678,126.42,0.007,398.346,23.133,14.378,0,0,0,0,0,0,98.498,0.001,0,265.153,12.162,153.049,15.637,143.79,10.327,5.275,25.185,249.816,28.743,3.551,1054.782,34.846,21.373,23.653,-22.396,35.021,20.434,10.107,0,0,4.009,0.316,3.917,16.192,5.581,0.012,0.006,19.647,20.119,20.542,20.751,20.572,20.813,18.741,18.752,18.714,20.442,20.279,20.062,17.656,17.912,17.571,19.506,20.545,3428,1769,2.321473631
3757868720,0.177500002,20.994,17.851,18.426,20.416,12.298,17.562,131.923,0.011,398.378,23.132,14.376,0,0,0,0,0,0,98.5,0.001,0,265.142,12.169,153.066,15.638,143.731,10.315,5.288,25.172,249.777,28.737,3.559,1054.756,34.837,21.361,23.641,-22.38,35.034,20.443,10.128,0,0,4.01,0.316,3.918,16.222,5.646,0.012,0.006,19.646,20.118,20.512,20.75,20.575,20.813,18.742,18.749,18.733,20.441,20.293,20.052,17.661,17.92,17.588,19.506,20.559,3428,1769,2.320887992
3757868722,0.206466667,20.994,17.832,18.426,20.431,12.3,17.562,144.712,0.008,398.322,23.132,14.377,0,0,0,0,0,0,98.495,0.001,0,265.154,12.163,153.1,15.651,143.866,10.343,5.272,25.192,249.723,28.729,3.531,1054.833,34.813,21.403,23.645,-22.391,35.033,20.45,10.106,0,0,4.009,0.329,3.908,16.191,5.636,0.012,0.006,19.657,20.122,20.537,20.741,20.569,20.819,18.73,18.731,18.719,20.431,20.286,20.063,17.668,17.925,17.591,19.512,20.551,3428,1769,2.551471517
3757868724,0.236266669,21.014,17.836,18.426,20.424,12.321,17.561,151.293,0.009,398.354,23.14,14.377,0,0,0,0,0,0,98.494,0.001,0,265.611,12.155,153.071,15.638,143.88,10.347,5.256,25.188,249.765,28.735,3.541,1054.861,34.829,21.356,23.649,-22.398,35.048,20.455,10.108,0,0,4.016,0.36,3.912,16.186,5.695,0.012,0.006,19.643,20.098,20.546,20.756,20.578,20.834,18.747,18.753,18.711,20.432,20.303,20.074,17.673,17.932,17.577,19.507,20.559,3428,1769,2.623612513
3757868726,0.265750003,21.009,17.849,18.426,20.44,12.317,17.676,161.716,0.01,398.346,23.125,14.377,0,0,0,0,0,0,98.493,0.001,0,265.152,12.177,153.031,15.65,143.734,10.315,5.3,25.193,249.719,28.728,3.53,1054.891,34.817,21.357,23.622,-22.401,35.067,20.455,10.14,0,0,4.01,0.377,3.918,16.211,5.668,0.012,0.006,19.632,20.081,20.522,20.738,20.547,20.802,18.74,18.722,18.685,20.413,20.287,20.089,17.656,17.913,17.574,19.5,20.557,3428,1769,2.320887992
3757868727,0.294766665,21.01,17.848,18.426,20.411,12.301,17.678,141.489,0.012,398.354,23.117,14.377,0,0,0,0,0,0,98.497,0.001,0,265.57,12.171,153.136,15.626,143.719,10.312,5.278,25.201,249.783,28.738,3.531,1054.687,34.821,21.317,23.631,-22.389,35.057,20.476,10.163,0,0,4.015,0.404,3.916,16.208,5.66,0.012,0.006,19.64,20.096,20.527,20.767,20.561,20.822,18.746,18.744,18.757,20.424,20.297,20.078,17.659,17.927,17.569,19.508,20.565,3428,1769,2.496532594
3757868729,0.324333334,21.018,17.861,18.426,20.445,12.284,17.562,154.346,0.009,398.362,23.159,14.377,0,0,0,0,0,0,98.49,0.001,0,265.179,12.18,153.111,15.627,143.745,10.318,5.273,25.188,249.973,28.765,3.571,1054.92,34.825,21.368,23.652,-22.419,34.998,20.48,10.162,0,0,4.01,0.356,3.91,16.225,5.58,0.012,0.006,19.644,20.117,20.535,20.753,20.567,20.824,18.761,18.755,18.749,20.416,20.296,20.071,17.647,17.917,17.572,19.506,20.56,3428,1769,2.525252525
3757868731,0.353933334,21.009,17.861,18.427,20.447,12.293,17.563,131.885,0.011,398.362,23.152,14.377,0,0,0,0,0,0,98.495,0.001,0,265.481,12.163,153.152,15.641,143.743,10.318,5.288,25.175,249.812,28.742,3.561,1054.723,34.841,21.36,23.637,-22.4,35.023,20.485,10.167,0,0,4.015,0.387,3.921,16.23,5.602,0.012,0.006,19.648,20.121,20.533,20.763,20.573,20.819,18.768,18.764,18.762,20.434,20.298,20.073,17.646,17.928,17.561,19.5,20.553,3428,1769,2.368951613
3757868733,0.38361667,21.021,17.837,18.426,20.413,12.308,17.562,139.93,0.008,398.346,23.111,14.378,0,0,0,0,0,0,98.498,0.001,0,265.45,12.168,153.071,15.621,143.886,10.348,5.238,25.178,249.873,28.751,3.567,1055.6,34.845,21.34,23.627,-22.392,35.018,20.469,10.121,0,0,4.013,0.329,3.929,16.185,5.674,0.012,0.006,19.655,20.101,20.536,20.755,20.546,20.804,18.747,18.782,18.759,20.408,20.305,20.064,17.654,17.929,17.56,19.496,20.564,3428,1769,2.115336187
3757868735,0.4137,21.017,17.843,18.426,20.434,12.307,17.563,128.83,0.009,398.378,23.105,14.377,0,0,0,0,0,0,98.487,0.001,0,265.126,12.171,153.094,15.639,143.823,10.335,5.269,25.177,249.705,28.727,3.544,1055.991,34.846,21.373,23.626,-22.39,35.016,20.486,10.151,0,0,4.009,0.349,3.931,16.197,5.649,0.012,0.006,19.656,20.114,20.525,20.766,20.55,20.816,18.751,18.778,18.767,20.406,20.291,20.048,17.662,17.935,17.584,19.502,20.559,3428,1769,1.964735516
3757868736,0.438250001,20.995,17.833,18.425,20.434,12.313,17.562,128.83,0.007,398.354,23.128,14.376,0,0,0,0,0,0,98.494,0.001,0,265.201,12.147,153.108,15.635,143.903,10.352,5.248,25.167,249.881,28.752,3.579,1055.93,34.846,21.385,23.615,-22.4,35.015,20.483,10.132,0,0,4.01,0.32,3.935,16.191,5.665,0.012,0.006,19.649,20.115,20.537,20.758,20.542,20.796,18.754,18.782,18.757,20.412,20.28,20.039,17.648,17.933,17.593,19.499,20.559,3428,1769,1.887979862
3757868738,0.473283331,21.018,17.836,18.426,20.43,12.291,17.562,134.556,0.008,398.314,23.113,14.377,0,0,0,0,0,0,98.494,0.001,0,265.404,12.16,152.994,15.618,143.82,10.334,5.249,25.18,249.723,28.729,3.543,1054.794,34.829,21.408,23.626,-22.404,34.972,20.489,10.156,0,0,4.013,0.322,3.92,16.184,5.615,0.012,0.006,19.644,20.107,20.532,20.759,20.534,20.798,18.741,18.771,18.767,20.409,20.289,20.056,17.645,17.935,17.606,19.505,20.563,3428,1769,2.344636329
3757868740,0.509333332,21.008,17.852,18.427,20.421,12.323,17.654,138.462,0.008,398.346,23.153,14.377,0,0,0,0,0,0,98.495,0.001,0,265.074,12.179,153.058,15.597,143.794,10.328,5.233,25.152,249.817,28.743,3.584,1054.118,34.822,21.37,23.655,-22.407,35.02,20.495,10.167,0,0,4.008,0.335,3.905,16.215,5.703,0.012,0.006,19.651,20.091,20.542,20.792,20.536,20.822,18.755,18.774,18.768,20.431,20.296,20.049,17.648,17.93,17.601,19.497,20.563,3428,1769,2.603311007
3757868742,0.538450003,21.008,17.845,18.425,20.442,12.279,17.561,154.925,0.008,398.354,23.125,14.376,0,0,0,0,0,0,98.493,0.001,0,265.141,12.166,153.149,15.59,143.908,10.353,5.202,25.175,249.704,28.726,3.545,1055.668,34.818,21.353,23.651,-22.39,35.019,20.487,10.134,0,0,4.008,0.347,3.911,16.205,5.573,0.012,0.006,19.652,20.081,20.527,20.788,20.549,20.817,18.752,18.758,18.745,20.431,20.301,20.034,17.643,17.921,17.603,19.499,20.556,3428,1769,2.449804268
3757868744,0.572983336,21.027,17.844,18.426,20.45,12.301,17.677,135.544,0.011,398.338,23.148,14.376,0,0,0,0,0,0,98.498,0.001,0,265.143,12.178,153.085,15.564,143.763,10.322,5.207,25.162,249.877,28.751,3.583,1054.752,34.825,21.397,23.639,-22.391,35.022,20.488,10.166,0,0,4.008,0.387,3.914,16.193,5.62,0.012,0.006,19.639,20.079,20.517,20.749,20.558,20.814,18.746,18.757,18.712,20.427,20.301,20.04,17.64,17.933,17.59,19.505,20.57,3428,1769,2.373138096
3757868746,0.602616668,21.025,17.845,18.426,20.432,12.294,17.678,131.351,0.008,398.322,23.136,14.376,0,0,0,0,0,0,98.502,0.001,0,265.104,12.168,153.145,15.592,143.8,10.329,5.227,25.181,249.807,28.741,3.554,1055.137,34.812,21.376,23.62,-22.386,34.999,20.492,10.162,0,0,4.008,0.339,3.918,16.196,5.62,0.012,0.006,19.654,20.084,20.516,20.772,20.569,20.809,18.745,18.759,18.716,20.435,20.322,20.054,17.65,17.932,17.608,19.501,20.56,3428,1769,2.271006813
3757868748,0.632499997,21.039,17.846,18.427,20.429,12.291,17.563,159.151,0.008,398.338,23.138,14.377,0,0,0,0,0,0,98.497,0.001,0,265.193,12.159,153.097,15.603,143.677,10.303,5.264,25.181,249.729,28.73,3.543,1052.512,34.826,21.354,23.615,-22.403,35.033,20.483,10.18,0,0,4.01,0.329,3.915,16.19,5.615,0.012,0.006,19.643,20.066,20.501,20.757,20.574,20.818,18.756,18.747,18.726,20.445,20.325,20.041,17.652,17.932,17.609,19.499,20.568,3428,1769,2.397476341
