Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3760729106,0,22.931,17.618,20.182,23.902,12.526,20.115,135.5,0.008,391.418,24.647,14.127,0,0,0,0,0,0,100.049,0.001,0,204.116,3.199,113.726,6.489,101.255,0.05,6.411,25.118,255.133,29.475,4.35,1783.73,17.126,19.581,12.193,-21.992,25.5,12.548,12.499,0,0,3.056,0.307,2.926,14.787,2.649,0.011,0.005,17.029,16.903,16.984,16.652,16.609,16.557,15.789,15.725,15.463,12.527,12.433,12.436,11.651,11.78,11.684,14.685,21.169,3725,2196
3760729108,0.033333333,22.934,17.59,20.182,23.9,12.546,20.115,129.346,0.008,391.434,24.663,14.126,0,0,0,0,0,0,100.043,0.001,0,204.074,3.2,113.714,6.479,101.14,0.018,6.433,25.13,255.208,29.486,4.349,1784.263,17.098,19.531,12.196,-21.992,25.5,12.554,12.536,0,0,3.055,0.301,2.908,14.736,2.711,0.011,0.005,17.033,16.91,16.997,16.651,16.605,16.542,15.785,15.702,15.451,12.516,12.419,12.459,11.648,11.812,11.711,14.689,21.177,3725,2196
3760729109,0.05,22.935,17.616,20.183,23.904,12.532,20.115,135.029,0.007,391.394,24.667,14.126,0,0,0,0,0,0,100.048,0.001,0,203.704,3.203,113.718,6.5,101.3,0.062,6.41,25.096,255.115,29.472,4.37,1783.506,17.109,19.512,12.173,-21.992,25.5,12.542,12.48,0,0,3.05,0.29,2.927,14.78,2.665,0.011,0.005,17.033,16.89,16.99,16.66,16.603,16.552,15.787,15.715,15.447,12.517,12.425,12.442,11.614,11.794,11.701,14.688,21.172,3725,2196
3760729111,0.083333333,22.932,17.593,20.182,23.944,12.508,20.115,139.034,0.008,391.41,24.669,14.128,0,0,0,0,0,0,100.047,0.001,0,203.914,3.193,113.732,6.478,101.213,0.038,6.411,25.103,255.054,29.463,4.354,1783.544,17.116,19.532,12.173,-21.992,25.5,12.536,12.498,0,0,3.053,0.302,2.932,14.742,2.544,0.011,0.005,17.033,16.891,16.987,16.651,16.595,16.543,15.778,15.718,15.462,12.51,12.433,12.443,11.606,11.785,11.708,14.688,21.181,3725,2196
3760729113,0.116666667,22.943,17.583,20.183,23.91,12.527,20.114,134.405,0.008,391.442,24.653,14.127,0,0,0,0,0,0,100.05,0.001,0,204.056,3.213,113.69,6.486,101.215,0.039,6.419,25.102,254.901,29.442,4.333,1783.308,17.116,19.534,12.173,-21.992,25.5,12.543,12.504,0,0,3.055,0.31,2.931,14.719,2.641,0.011,0.005,17.035,16.886,16.991,16.658,16.592,16.546,15.784,15.713,15.45,12.51,12.43,12.434,11.607,11.791,11.718,14.694,21.176,3725,2196
3760729115,0.15,22.938,17.618,20.181,23.909,12.539,20.115,135.152,0.008,391.426,24.639,14.127,0,0,0,0,0,0,100.046,0.001,0,204.011,3.205,113.77,6.45,101.287,0.058,6.363,25.107,254.92,29.444,4.331,1783.837,17.151,19.557,12.164,-21.991,25.5,12.553,12.495,0,0,3.054,0.301,2.958,14.783,2.679,0.011,0.005,17.042,16.91,17.003,16.662,16.607,16.553,15.793,15.723,15.466,12.52,12.438,12.459,11.637,11.799,11.751,14.695,21.177,3725,2196
3760729116,0.166666667,22.942,17.583,20.182,23.886,12.516,20.114,135.147,0.008,391.418,24.651,14.126,0,0,0,0,0,0,100.047,0.001,0,204,3.198,113.735,6.422,101.296,0.061,6.333,25.133,254.928,29.445,4.306,1784.828,17.095,19.561,12.154,-21.991,25.5,12.562,12.501,0,0,3.052,0.302,2.932,14.719,2.638,0.011,0.005,17.032,16.906,16.992,16.672,16.614,16.556,15.787,15.719,15.467,12.54,12.431,12.427,11.645,11.784,11.729,14.691,21.17,3725,2196
3760729119,0.216666667,22.939,17.608,20.182,23.911,12.501,20.115,136.528,0.008,391.41,24.634,14.128,0,0,0,0,0,0,100.042,0.001,0,203.923,3.193,113.709,6.433,101.177,0.028,6.376,25.096,254.855,29.435,4.333,1784.761,17.143,19.557,12.182,-21.991,25.5,12.557,12.529,0,0,3.053,0.304,2.944,14.764,2.561,0.011,0.005,17.048,16.898,16.992,16.657,16.585,16.536,15.775,15.712,15.439,12.501,12.404,12.448,11.655,11.79,11.721,14.691,21.175,3725,2196
3760729121,0.25,22.941,17.616,20.182,23.931,12.495,20.115,132.356,0.008,391.442,24.631,14.127,0,0,0,0,0,0,100.044,0.001,0,203.796,3.195,113.69,6.436,101.371,0.081,6.326,25.09,255.077,29.467,4.371,1784.138,17.142,19.554,12.188,-21.992,25.5,12.553,12.472,0,0,3.05,0.308,2.939,14.776,2.521,0.011,0.005,17.045,16.894,16.977,16.666,16.607,16.552,15.79,15.732,15.465,12.526,12.44,12.455,11.649,11.781,11.715,14.691,21.181,3725,2196
3760729123,0.283333333,22.962,17.603,20.182,23.911,12.533,20.115,136.244,0.007,391.426,24.658,14.127,0,0,0,0,0,0,100.05,0.001,0,204.173,3.206,113.697,6.436,101.33,0.07,6.337,25.115,255.011,29.457,4.336,1784.654,17.112,19.591,12.195,-21.992,25.5,12.56,12.49,0,0,3.055,0.296,2.918,14.742,2.658,0.011,0.005,17.032,16.896,16.987,16.664,16.597,16.544,15.796,15.722,15.453,12.515,12.402,12.472,11.658,11.792,11.725,14.694,21.172,3725,2196
