Time elapsed (s),Time elapsed(min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3760731821,0,23.376,17.704,19.479,24.21,12.679,19.303,136.816,0.008,391.608,24.909,14.134,0,0,0,0,0,0,100.069,0.001,0,195.506,2.097,109.374,4.615,96.635,-1.223,5.811,25.437,256.226,29.632,4.189,1784.785,15.007,19.561,10.316,-21.984,24,11.593,12.816,0,0,2.901,0.304,2.786,14.679,2.737,0.011,0.005,16.849,16.664,16.821,16.454,16.361,16.309,15.51,15.409,15.112,11.494,11.468,11.544,10.543,10.79,10.746,14.118,20.754,3725,2196
3760731822,0.016666667,23.376,17.688,19.48,24.196,12.665,19.187,133.181,0.008,391.624,24.926,14.134,0,0,0,0,0,0,100.064,0.001,0,195.751,2.094,109.379,4.603,96.519,-1.255,5.831,25.424,256.07,29.61,4.18,1783.905,15.02,19.479,10.337,-21.983,24,11.592,12.847,0,0,2.906,0.304,2.779,14.65,2.711,0.011,0.005,16.843,16.66,16.802,16.456,16.359,16.306,15.498,15.414,15.098,11.499,11.456,11.545,10.543,10.788,10.725,14.116,20.762,3725,2196
3760731825,0.066666667,23.371,17.71,19.479,24.2,12.655,19.186,125.509,0.008,391.608,24.935,14.136,0,0,0,0,0,0,100.062,0.001,0,195.55,2.085,109.364,4.628,96.463,-1.271,5.872,25.428,256.204,29.629,4.195,1785.417,15.007,19.477,10.315,-21.984,24,11.601,12.873,0,0,2.903,0.298,2.787,14.691,2.672,0.011,0.005,16.841,16.67,16.807,16.453,16.361,16.303,15.508,15.395,15.098,11.492,11.455,11.529,10.522,10.782,10.702,14.122,20.76,3725,2196
3760731826,0.083333333,23.371,17.7,19.48,24.22,12.673,19.187,131.844,0.007,391.663,24.929,14.135,0,0,0,0,0,0,100.056,0.001,0,195.606,2.081,109.331,4.643,96.581,-1.237,5.853,25.458,256.118,29.617,4.153,1784.757,15.004,19.482,10.327,-21.984,24,11.595,12.833,0,0,2.903,0.279,2.777,14.675,2.703,0.011,0.005,16.854,16.665,16.809,16.464,16.365,16.306,15.497,15.39,15.102,11.499,11.467,11.522,10.533,10.811,10.713,14.115,20.777,3725,2196
3760731829,0.133333333,23.361,17.721,19.48,24.209,12.681,19.187,130.227,0.007,391.648,24.946,14.134,0,0,0,0,0,0,100.061,0.001,0,195.48,2.088,109.312,4.683,96.618,-1.227,5.883,25.466,256.182,29.626,4.154,1784.203,14.995,19.516,10.333,-21.984,24,11.6,12.827,0,0,2.901,0.294,2.767,14.717,2.741,0.011,0.005,16.838,16.67,16.809,16.447,16.362,16.302,15.5,15.401,15.092,11.509,11.452,11.528,10.531,10.775,10.698,14.119,20.763,3725,2196
3760731830,0.15,23.36,17.709,19.48,24.188,12.688,19.302,129.994,0.007,391.624,24.911,14.135,0,0,0,0,0,0,100.062,0.001,0,195.884,2.083,109.339,4.657,96.553,-1.246,5.876,25.427,256.216,29.631,4.198,1783.686,15.01,19.5,10.305,-21.984,24,11.601,12.847,0,0,2.908,0.289,2.792,14.696,2.786,0.011,0.005,16.843,16.678,16.832,16.453,16.363,16.31,15.513,15.404,15.096,11.498,11.466,11.531,10.538,10.801,10.715,14.118,20.757,3725,2196
3760731832,0.183333333,23.394,17.717,19.48,24.185,12.69,19.303,127.303,0.007,391.655,24.907,14.134,0,0,0,0,0,0,100.056,0.001,0,195.806,2.092,109.321,4.678,96.445,-1.276,5.927,25.44,256.143,29.621,4.174,1783.493,14.995,19.521,10.322,-21.983,24,11.602,12.878,0,0,2.907,0.289,2.773,14.691,2.798,0.011,0.005,16.842,16.662,16.816,16.443,16.349,16.303,15.495,15.403,15.098,11.489,11.475,11.526,10.521,10.793,10.693,14.117,20.765,3725,2196
3760731835,0.233333333,23.388,17.706,19.48,24.221,12.675,19.186,130.865,0.007,391.608,24.906,14.136,0,0,0,0,0,0,100.062,0.001,0,195.599,2.079,109.356,4.679,96.439,-1.278,5.93,25.434,256.016,29.602,4.162,1782.379,14.988,19.509,10.296,-21.983,24,11.605,12.883,0,0,2.904,0.283,2.783,14.675,2.709,0.011,0.005,16.842,16.669,16.825,16.443,16.351,16.29,15.501,15.396,15.088,11.496,11.473,11.521,10.51,10.805,10.694,14.121,20.76,3725,2196
3760731836,0.25,23.38,17.725,19.48,24.222,12.685,19.185,130.032,0.007,391.671,24.921,14.135,0,0,0,0,0,0,100.058,0.001,0,195.662,2.092,109.309,4.698,96.524,-1.253,5.924,25.426,256.285,29.641,4.209,1782.328,14.978,19.536,10.324,-21.983,24,11.593,12.846,0,0,2.906,0.292,2.76,14.713,2.738,0.011,0.005,16.843,16.683,16.826,16.433,16.355,16.298,15.498,15.391,15.096,11.475,11.473,11.527,10.497,10.806,10.693,14.114,20.754,3725,2196
3760731838,0.283333333,23.372,17.723,19.479,24.217,12.686,19.186,131.395,0.007,391.648,24.89,14.134,0,0,0,0,0,0,100.062,0.001,0,195.904,2.077,109.357,4.718,96.527,-1.253,5.944,25.403,256.113,29.616,4.207,1784.498,14.98,19.553,10.325,-21.984,24,11.588,12.841,0,0,2.91,0.29,2.764,14.714,2.748,0.011,0.005,16.853,16.673,16.838,16.43,16.35,16.293,15.491,15.383,15.087,11.475,11.462,11.532,10.483,10.804,10.712,14.12,20.762,3725,2196
3760731840,0.316666667,23.388,17.711,19.479,24.243,12.648,19.302,132.127,0.007,391.616,24.882,14.136,0,0,0,0,0,0,100.065,0.001,0,195.646,2.082,109.297,4.705,96.508,-1.258,5.937,25.397,256.219,29.631,4.228,1783.549,14.984,19.482,10.318,-21.983,24,11.575,12.833,0,0,2.906,0.294,2.769,14.684,2.601,0.011,0.005,16.846,16.659,16.813,16.437,16.358,16.293,15.485,15.389,15.088,11.477,11.461,11.518,10.453,10.8,10.694,14.115,20.756,3725,2196
