Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,,Heat Balance (%)
3758482500,0,23.549,18.343,22.407,20.434,12.301,20.463,132.63,0.01,395.947,24.696,14.29,0,0,0,0,0,0,99.037,0.001,0,240.128,7.589,131.95,10.657,120.815,5.092,5.534,25.492,260.724,30.294,4.796,1777.678,23.816,20.855,18.02,-21.986,30.4,14.365,9.273,0,0,3.597,0.209,3.422,15.659,11.732,0.011,0.009,13.849,13.833,13.793,14.601,14.607,14.391,13.731,13.765,13.687,14.485,14.221,14.105,12.885,13.307,13.189,13.894,23.014,3723,2178,4.986465308
3758482502,0.030749997,23.548,18.363,22.408,20.413,12.285,20.463,157.688,0.008,395.947,24.677,14.291,0,0,0,0,0,0,99.036,0.001,0,240.218,7.59,131.944,10.64,120.945,5.123,5.485,25.479,260.71,30.292,4.807,1776.537,23.83,20.931,18.015,-21.985,30.4,14.358,9.234,0,0,3.598,0.182,3.431,15.693,11.695,0.012,0.009,13.856,13.838,13.798,14.594,14.611,14.397,13.739,13.76,13.679,14.476,14.208,14.12,12.88,13.296,13.189,13.891,23.01,3723,2178,4.75174278
3758482504,0.060499994,23.581,18.347,22.408,20.445,12.28,20.463,166.755,0.011,395.971,24.702,14.289,0,0,0,0,0,0,99.032,0.001,0,240.216,7.586,131.948,10.64,120.826,5.095,5.514,25.455,260.926,30.322,4.862,1777.439,23.835,20.903,18.039,-21.985,30.412,14.361,9.266,0,0,3.6,0.215,3.421,15.647,11.661,0.011,0.009,13.843,13.847,13.814,14.581,14.606,14.4,13.716,13.758,13.671,14.477,14.205,14.105,12.893,13.313,13.199,13.897,23.01,3723,2178,5.098988748
3758482506,0.090849996,23.573,18.35,22.409,20.435,12.3,20.462,132.389,0.012,395.915,24.708,14.289,0,0,0,0,0,0,99.044,0.001,0,240.259,7.575,131.93,10.635,120.814,5.091,5.511,25.468,260.714,30.292,4.818,1776.081,23.827,20.942,18.016,-21.986,30.423,14.357,9.265,0,0,3.6,0.228,3.427,15.657,11.669,0.011,0.009,13.837,13.855,13.811,14.593,14.607,14.413,13.735,13.762,13.677,14.484,14.19,14.104,12.881,13.296,13.175,13.888,23.024,3723,2178,4.923865092
3758482508,0.126966667,23.557,18.35,22.41,20.442,12.283,20.463,143.148,0.008,395.907,24.699,14.29,0,0,0,0,0,0,99.046,0.001,0,240.225,7.581,131.883,10.648,120.862,5.103,5.513,25.46,260.931,30.323,4.856,1776.94,23.816,20.962,18.029,-21.986,30.444,14.367,9.264,0,0,3.599,0.18,3.415,15.666,11.704,0.011,0.009,13.849,13.848,13.805,14.567,14.602,14.405,13.733,13.766,13.689,14.486,14.202,14.108,12.886,13.295,13.19,13.894,23.015,3723,2178,5.246649558
3758482510,0.162733332,23.568,18.383,22.409,20.453,12.287,20.463,166.836,0.009,395.955,24.697,14.29,0,0,0,0,0,0,99.039,0.001,0,240.595,7.576,131.91,10.643,120.891,5.111,5.5,25.452,260.92,30.321,4.863,1778.385,23.839,20.897,18.016,-21.985,30.403,14.376,9.265,0,0,3.605,0.198,3.439,15.716,11.651,0.012,0.009,13.849,13.857,13.81,14.565,14.579,14.413,13.75,13.765,13.685,14.489,14.208,14.104,12.894,13.305,13.208,13.895,23.015,3723,2178,4.713231119
3758482512,0.200816663,23.574,18.343,22.408,20.416,12.298,20.463,107.808,0.012,395.931,24.692,14.291,0,0,0,0,0,0,99.044,0.001,0,240.483,7.576,131.886,10.629,120.871,5.105,5.492,25.471,260.916,30.321,4.843,1777.351,23.842,20.928,18.001,-21.986,30.371,14.38,9.274,0,0,3.603,0.227,3.448,15.643,11.689,0.011,0.009,13.844,13.864,13.818,14.566,14.576,14.408,13.741,13.751,13.674,14.47,14.216,14.102,12.906,13.311,13.214,13.892,23.015,3723,2178,4.396539498
3758482514,0.225233332,23.572,18.361,22.408,20.431,12.3,20.462,124.43,0.005,395.963,24.675,14.289,0,0,0,0,0,0,99.034,0.001,0,240.605,7.589,131.885,10.644,120.915,5.116,5.496,25.458,260.936,30.324,4.86,1778.045,23.817,20.857,18.03,-21.985,30.378,14.393,9.276,0,0,3.605,0.148,3.417,15.676,11.678,0.012,0.009,13.841,13.865,13.821,14.559,14.571,14.396,13.757,13.758,13.682,14.485,14.216,14.11,12.888,13.303,13.195,13.891,23.016,3723,2178,5.354599829
3758482515,0.255199997,23.548,18.35,22.408,20.424,12.321,20.463,154.735,0.007,395.907,24.699,14.29,0,0,0,0,0,0,99.043,0.001,0,240.32,7.594,131.944,10.62,120.889,5.11,5.479,25.476,260.992,30.331,4.849,1777.466,23.828,20.886,18.006,-21.985,30.383,14.378,9.268,0,0,3.6,0.169,3.436,15.671,11.713,0.011,0.009,13.853,13.878,13.827,14.563,14.58,14.394,13.75,13.752,13.671,14.468,14.219,14.129,12.89,13.314,13.22,13.896,23.011,3723,2178,4.661739625
3758482517,0.286383327,23.579,18.345,22.409,20.44,12.317,20.463,137.378,0.01,395.931,24.695,14.291,0,0,0,0,0,0,99.043,0.001,0,240.368,7.566,131.966,10.62,120.834,5.096,5.492,25.441,260.984,30.33,4.883,1776.833,23.832,20.874,18.016,-21.985,30.38,14.369,9.272,0,0,3.602,0.21,3.431,15.644,11.707,0.011,0.009,13.865,13.858,13.828,14.562,14.589,14.407,13.748,13.746,13.661,14.472,14.232,14.12,12.894,13.312,13.211,13.888,23.015,3723,2178,4.862789706
3758482519,0.317333333,23.554,18.364,22.408,20.411,12.301,20.462,159.578,0.008,395.963,24.687,14.29,0,0,0,0,0,0,99.037,0.001,0,240.17,7.588,131.841,10.596,120.881,5.108,5.457,25.475,260.93,30.323,4.842,1777.362,23.831,20.868,18.024,-21.985,30.41,14.338,9.23,0,0,3.597,0.188,3.427,15.692,11.695,0.012,0.009,13.841,13.841,13.8,14.579,14.602,14.399,13.731,13.745,13.669,14.482,14.226,14.11,12.887,13.294,13.198,13.883,23.011,3723,2178,4.840546697
