Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,Compresssor speed (RPM),
3757865409,0,20.448,17.253,19.129,20.183,12.379,18.607,151.902,0.009,398.251,22.455,14.374,0,0,0,0,0,0,98.475,0.001,0,241.706,9.48,140.355,12.313,130.521,7.391,4.89,24.345,243.604,27.83,3.478,1059.61,29.862,20.745,19.771,-22.384,31.949,16.98,9.59,0,0,3.657,0.305,3.548,15.537,6.078,0.011,0.006,16.189,16.145,16.46,17.128,16.949,17.043,15.375,15.661,15.586,17.018,16.784,16.622,14.49,14.681,14.414,16.049,20.161,3412,1769
3757865411,0.030183331,20.442,17.252,19.129,20.202,12.398,18.607,131.156,0.01,398.267,22.456,14.373,0,0,0,0,0,0,98.472,0.001,0,241.786,9.496,140.371,12.336,130.619,7.413,4.89,24.331,243.549,27.822,3.485,1059.676,29.87,20.736,19.763,-22.383,31.979,17.007,9.594,0,0,3.659,0.329,3.555,15.539,6.105,0.011,0.006,16.206,16.167,16.417,17.154,16.958,17.051,15.38,15.687,15.593,17.028,16.777,16.628,14.494,14.686,14.433,16.053,20.161,3412,1769
3757865413,0.060616668,20.426,17.266,19.13,20.205,12.396,18.491,146.702,0.008,398.243,22.43,14.373,0,0,0,0,0,0,98.478,0.001,0,241.722,9.491,140.441,12.342,130.713,7.434,4.875,24.37,243.694,27.843,3.467,1059.027,29.866,20.715,19.738,-22.386,32.003,17.037,9.602,0,0,3.656,0.285,3.56,15.571,6.098,0.011,0.006,16.197,16.156,16.421,17.151,16.959,17.038,15.373,15.684,15.62,17.013,16.803,16.639,14.495,14.686,14.438,16.054,20.163,3412,1769
3757865414,0.092449999,20.436,17.275,19.246,20.166,12.441,18.491,131.523,0.01,398.243,22.458,14.374,0,0,0,0,0,0,98.477,0.001,0,241.529,9.505,140.419,12.339,130.763,7.446,4.86,24.368,243.74,27.85,3.476,1058.615,29.882,20.683,19.743,-22.386,32.002,17.05,9.604,0,0,3.653,0.317,3.562,15.58,6.245,0.011,0.006,16.194,16.166,16.398,17.144,16.982,17.048,15.377,15.691,15.62,17.019,16.821,16.654,14.487,14.686,14.437,16.046,20.157,3412,1769
3757865416,0.123000002,20.444,17.27,19.245,20.195,12.4,18.607,125.389,0.008,398.267,22.42,14.374,0,0,0,0,0,0,98.467,0.001,0,241.712,9.493,140.482,12.321,130.616,7.413,4.876,24.334,243.758,27.853,3.513,1058.517,29.832,20.739,19.744,-22.384,31.98,17.049,9.636,0,0,3.657,0.286,3.544,15.567,6.117,0.011,0.006,16.186,16.164,16.384,17.139,16.973,17.044,15.381,15.686,15.608,17.005,16.797,16.653,14.49,14.685,14.434,16.049,20.153,3412,1769
3757865419,0.160716669,20.412,17.282,19.13,20.199,12.413,18.607,162.997,0.007,398.259,22.454,14.374,0,0,0,0,0,0,98.475,0.001,0,241.715,9.486,140.427,12.336,130.713,7.435,4.869,24.34,243.698,27.844,3.497,1059.589,29.875,20.707,19.758,-22.381,31.987,17.007,9.572,0,0,3.657,0.273,3.558,15.606,6.146,0.011,0.006,16.197,16.164,16.372,17.145,16.967,17.05,15.378,15.701,15.632,17.022,16.8,16.629,14.501,14.707,14.431,16.043,20.154,3412,1769
3757865420,0.191500004,20.442,17.261,19.128,20.205,12.432,18.491,155.798,0.012,398.267,22.453,14.374,0,0,0,0,0,0,98.475,0.001,0,241.679,9.469,140.396,12.319,130.678,7.427,4.859,24.339,243.59,27.828,3.483,1060.614,29.875,20.643,19.74,-22.382,31.987,17.047,9.621,0,0,3.656,0.352,3.567,15.554,6.186,0.011,0.006,16.193,16.127,16.331,17.14,16.974,17.034,15.368,15.696,15.621,17.015,16.804,16.619,14.489,14.697,14.421,16.045,20.167,3412,1769
3757865422,0.222550003,20.447,17.273,19.129,20.174,12.418,18.49,134.893,0.011,398.275,22.454,14.375,0,0,0,0,0,0,98.473,0.001,0,241.766,9.503,140.316,12.301,130.711,7.434,4.834,24.344,243.599,27.829,3.479,1060.404,29.86,20.697,19.755,-22.379,31.986,17.076,9.641,0,0,3.657,0.338,3.556,15.571,6.181,0.011,0.006,16.181,16.134,16.356,17.142,16.998,17.043,15.374,15.714,15.62,17.022,16.832,16.627,14.487,14.703,14.426,16.058,20.15,3412,1769
3757865424,0.253616667,20.427,17.257,19.129,20.199,12.444,18.491,143.785,0.008,398.29,22.427,14.374,0,0,0,0,0,0,98.466,0.001,0,241.712,9.496,140.475,12.286,130.794,7.453,4.8,24.347,243.793,27.858,3.505,1059.785,29.845,20.716,19.75,-22.379,31.968,17.064,9.611,0,0,3.656,0.29,3.551,15.556,6.22,0.011,0.006,16.176,16.159,16.351,17.134,17.008,17.039,15.371,15.7,15.602,17.017,16.853,16.618,14.497,14.707,14.425,16.045,20.151,3412,1769
3757865426,0.284633334,20.447,17.273,19.13,20.196,12.423,18.605,134.503,0.009,398.275,22.462,14.374,0,0,0,0,0,0,98.472,0.001,0,241.516,9.494,140.443,12.285,130.613,7.412,4.84,24.373,243.647,27.836,3.457,1059.78,29.871,20.744,19.745,-22.38,31.984,17.054,9.642,0,0,3.652,0.312,3.562,15.571,6.174,0.011,0.006,16.172,16.163,16.368,17.125,16.991,17.024,15.359,15.686,15.605,17.003,16.812,16.605,14.499,14.704,14.402,16.046,20.158,3412,1769
3757865428,0.315833338,20.45,17.271,19.129,20.19,12.42,18.606,133.855,0.008,398.267,22.451,14.374,0,0,0,0,0,0,98.474,0.001,0,241.716,9.488,140.434,12.278,130.619,7.413,4.832,24.367,243.831,27.864,3.49,1060.747,29.861,20.784,19.755,-22.382,32.027,17.039,9.626,0,0,3.655,0.292,3.558,15.566,6.17,0.011,0.006,16.185,16.173,16.414,17.142,17.006,17.024,15.365,15.708,15.602,17.016,16.835,16.644,14.498,14.717,14.409,16.053,20.164,3412,1769
3757865430,0.353533332,20.431,17.28,19.13,20.179,12.445,18.606,141.635,0.008,398.267,22.456,14.374,0,0,0,0,0,0,98.473,0.001,0,241.413,9.498,140.405,12.258,130.664,7.423,4.801,24.374,243.633,27.834,3.454,1061.068,29.867,20.745,19.73,-22.378,32.021,17.064,9.641,0,0,3.65,0.289,3.57,15.592,6.243,0.011,0.006,16.175,16.181,16.408,17.132,17.031,17.046,15.36,15.707,15.6,17.008,16.861,16.657,14.497,14.715,14.419,16.061,20.154,3412,1769
3757865432,0.378816668,20.425,17.278,19.129,20.196,12.408,18.491,141.637,0.009,398.267,22.451,14.374,0,0,0,0,0,0,98.471,0.001,0,241.672,9.503,140.453,12.299,130.731,7.439,4.828,24.372,243.614,27.831,3.454,1060.768,29.854,20.653,19.75,-22.381,31.994,17.02,9.581,0,0,3.655,0.308,3.557,15.591,6.137,0.011,0.006,16.191,16.189,16.388,17.125,17.007,17.026,15.35,15.697,15.609,17.006,16.891,16.695,14.494,14.721,14.418,16.053,20.161,3412,1769
3757865434,0.414566668,20.437,17.275,19.13,20.172,12.423,18.497,135.841,0.01,398.259,22.467,14.373,0,0,0,0,0,0,98.473,0.001,0,241.752,9.481,140.476,12.311,130.545,7.396,4.882,24.366,243.642,27.836,3.463,1061.108,29.839,20.722,19.766,-22.38,32.006,17.036,9.639,0,0,3.657,0.307,3.547,15.579,6.197,0.011,0.006,16.166,16.178,16.355,17.118,17.024,17.05,15.344,15.696,15.613,17.009,16.904,16.645,14.478,14.712,14.401,16.054,20.154,3412,1769
3757865436,0.446100005,20.45,17.254,19.129,20.197,12.416,18.606,166.325,0.008,398.251,22.479,14.374,0,0,0,0,0,0,98.47,0.001,0,241.665,9.484,140.375,12.298,130.697,7.431,4.834,24.372,243.546,27.821,3.443,1060.719,29.858,20.665,19.766,-22.38,32.018,17.027,9.597,0,0,3.655,0.294,3.553,15.538,6.155,0.011,0.006,16.173,16.185,16.347,17.114,17,17.042,15.347,15.685,15.618,17,16.903,16.661,14.492,14.739,14.423,16.049,20.162,3412,1769
3757865438,0.483799998,20.45,17.294,19.246,20.188,12.416,18.598,142.044,0.012,398.275,22.436,14.373,0,0,0,0,0,0,98.473,0.001,0,241.723,9.499,140.388,12.33,130.686,7.429,4.868,24.362,243.805,27.86,3.491,1061.067,29.866,20.724,19.74,-22.381,32.023,17.066,9.638,0,0,3.657,0.363,3.566,15.603,6.165,0.011,0.006,16.184,16.175,16.347,17.119,16.971,17.03,15.334,15.7,15.608,17.002,16.861,16.678,14.503,14.736,14.394,16.057,20.159,3412,1769
3757865440,0.514166665,20.435,17.3,19.13,20.201,12.42,18.607,155.222,0.009,398.251,22.443,14.374,0,0,0,0,0,0,98.474,0.001,0,241.733,9.479,140.454,12.314,130.6,7.409,4.873,24.379,243.615,27.831,3.446,1061.061,29.855,20.72,19.763,-22.382,31.98,17.065,9.656,0,0,3.656,0.31,3.554,15.623,6.161,0.011,0.006,16.173,16.157,16.328,17.132,16.982,17.053,15.353,15.68,15.625,17.019,16.901,16.666,14.47,14.733,14.407,16.045,20.157,3412,1769
3757865442,0.546516665,20.455,17.279,19.129,20.18,12.412,18.491,150.591,0.011,398.259,22.446,14.374,0,0,0,0,0,0,98.476,0.001,0,241.828,9.489,140.364,12.366,130.745,7.442,4.891,24.361,243.763,27.853,3.486,1060.876,29.828,20.709,19.769,-22.38,31.969,17.056,9.614,0,0,3.659,0.338,3.542,15.577,6.161,0.011,0.006,16.18,16.167,16.368,17.137,16.973,17.052,15.358,15.693,15.609,17.015,16.93,16.715,14.502,14.747,14.423,16.04,20.166,3412,1769
3757865443,0.571000004,20.435,17.27,19.129,20.186,12.407,18.49,150.593,0.01,398.275,22.458,14.374,0,0,0,0,0,0,98.469,0.001,0,241.667,9.495,140.41,12.351,130.64,7.418,4.9,24.363,243.588,27.828,3.459,1060.022,29.858,20.709,19.758,-22.381,32.028,17.077,9.659,0,0,3.656,0.327,3.553,15.573,6.144,0.011,0.006,16.173,16.144,16.342,17.133,16.977,17.036,15.353,15.686,15.598,17.008,16.918,16.703,14.475,14.739,14.384,16.046,20.156,3412,1769
