Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,,Heat Balance min limit (%),Heat Balance (%),Heat balance max limit (%)
3758469599,0,22.64,19.035,23.697,20.936,15.838,22.9,138.202,0.008,396.881,23.799,14.324,0,0,0,0,0,0,98.838,0.001,0,196.076,17.194,178.994,24.488,181.878,17.826,6.62,25.69,262.689,30.575,4.879,1761.927,33.889,21.923,28.815,-21.994,27.162,24.194,6.369,0,0,3.007,0.208,2.965,17.287,12.771,0.013,0.009,24.962,25.124,25.206,24.827,25.146,25.111,24.443,24.627,24.523,23.967,24.015,23.989,23.237,23.355,23.361,24.399,21.935,2039,732,-5,1.406563965,5
3758469601,0.032050006,22.671,19.015,23.696,20.909,15.828,22.785,135.266,0.008,396.881,23.828,14.322,0,0,0,0,0,0,98.835,0.001,0,196.385,17.17,179.041,24.486,181.996,17.847,6.597,25.664,262.759,30.585,4.915,1763.178,33.889,21.756,28.815,-21.994,27.177,24.179,6.332,0,0,3.012,0.215,2.968,17.239,12.771,0.013,0.009,24.955,25.115,25.209,24.823,25.156,25.118,24.441,24.616,24.525,23.973,24.024,23.996,23.243,23.345,23.346,24.398,21.941,2039,732,-5,1.471571906,5
3758469603,0.062166667,22.669,19.038,23.698,20.948,15.83,22.901,131.958,0.008,396.826,23.799,14.323,0,0,0,0,0,0,98.836,0.001,0,195.928,17.192,178.909,24.48,182.128,17.871,6.567,25.656,262.639,30.568,4.906,1761.717,33.902,21.778,28.812,-21.994,27.176,24.192,6.321,0,0,3.005,0.212,2.975,17.276,12.75,0.013,0.009,24.969,25.116,25.217,24.816,25.149,25.121,24.441,24.618,24.512,23.958,24.02,24,23.251,23.365,23.363,24.402,21.954,2039,732,-5,1.003344482,5
3758469605,0.09835,22.663,19.02,23.697,20.914,15.825,22.902,134.31,0.008,396.849,23.808,14.322,0,0,0,0,0,0,98.841,0.001,0,196.05,17.187,179.03,24.514,182.017,17.851,6.621,25.658,262.82,30.593,4.929,1761.898,33.914,21.758,28.817,-21.992,27.208,24.202,6.351,0,0,3.008,0.206,2.98,17.25,12.762,0.013,0.009,24.97,25.128,25.212,24.827,25.168,25.13,24.445,24.622,24.525,23.964,24.024,24.007,23.25,23.361,23.354,24.409,21.955,2039,732,-5,0.935203741,5
3758469607,0.128550005,22.655,19.03,23.697,20.932,15.842,22.901,130.441,0.008,396.842,23.808,14.322,0,0,0,0,0,0,98.836,0.001,0,196.057,17.186,179.006,24.474,182.088,17.864,6.568,25.648,262.688,30.575,4.921,1763.208,33.91,21.755,28.842,-21.994,27.134,24.197,6.333,0,0,3.007,0.209,2.965,17.272,12.782,0.013,0.009,24.96,25.115,25.192,24.81,25.166,25.106,24.435,24.597,24.505,23.962,24.007,23.995,23.249,23.35,23.343,24.4,21.944,2039,732,-5,1.406563965,5
3758469609,0.16778334,22.644,19.039,23.696,20.93,15.842,22.901,133.795,0.007,396.826,23.788,14.322,0,0,0,0,0,0,98.841,0.001,0,196.44,17.184,179.001,24.48,181.943,17.837,6.601,25.664,262.659,30.571,4.901,1763.923,33.911,21.773,28.854,-21.994,27.133,24.202,6.364,0,0,3.013,0.204,2.959,17.291,12.783,0.013,0.009,24.962,25.121,25.195,24.824,25.195,25.141,24.467,24.628,24.526,23.978,24.037,23.991,23.249,23.355,23.344,24.404,21.955,2039,732,-5,1.808439384,5
3758469611,0.200283337,22.654,19.028,23.698,20.93,15.819,22.901,139.117,0.008,396.842,23.804,14.322,0,0,0,0,0,0,98.839,0.001,0,196.366,17.202,178.986,24.505,182.032,17.853,6.609,25.658,262.613,30.564,4.901,1762.683,33.908,21.822,28.822,-21.994,27.17,24.202,6.349,0,0,3.012,0.209,2.974,17.268,12.74,0.013,0.009,24.955,25.126,25.198,24.847,25.206,25.139,24.47,24.631,24.534,23.996,24.043,23.991,23.247,23.35,23.356,24.402,21.945,2039,732,-5,1.269629135,5
3758469613,0.231533337,22.679,19.02,23.697,20.925,15.816,22.9,129.472,0.008,396.818,23.773,14.323,0,0,0,0,0,0,98.842,0.001,0,195.955,17.181,179.088,24.493,182.104,17.866,6.585,25.679,262.812,30.592,4.907,1763.29,33.916,21.811,28.839,-21.993,27.152,24.195,6.328,0,0,3.005,0.217,2.97,17.242,12.738,0.013,0.009,24.959,25.117,25.183,24.83,25.183,25.128,24.441,24.621,24.524,23.975,24.034,24.001,23.249,23.347,23.344,24.395,21.948,2039,732,-5,1.171548117,5
3758469615,0.255633338,22.665,19.044,23.697,20.927,15.823,22.785,129.47,0.007,396.857,23.796,14.323,0,0,0,0,0,0,98.836,0.001,0,196.395,17.176,178.971,24.519,181.983,17.845,6.632,25.669,262.65,30.57,4.894,1763.217,33.911,21.792,28.831,-21.994,27.164,24.195,6.35,0,0,3.013,0.203,2.972,17.288,12.75,0.013,0.009,24.969,25.126,25.2,24.844,25.202,25.139,24.451,24.622,24.527,23.987,24.043,24.003,23.257,23.359,23.356,24.388,21.956,2039,732,-5,1.370091896,5
3758469617,0.285966674,22.67,19.027,23.697,20.927,15.825,22.785,132.804,0.008,396.865,23.787,14.323,0,0,0,0,0,0,98.835,0.001,0,196.256,17.182,178.946,24.499,181.959,17.84,6.616,25.638,262.714,30.579,4.934,1761.799,33.931,21.765,28.829,-21.993,27.149,24.188,6.348,0,0,3.011,0.202,2.982,17.258,12.753,0.013,0.009,24.965,25.12,25.181,24.83,25.185,25.137,24.45,24.608,24.521,23.978,24.028,23.992,23.251,23.342,23.34,24.401,21.961,2039,732,-5,0.967795762,5
