Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3760041056,0,25.84,11.86,13.157,17.723,8.248,12.918,1718.035,0.87,399.501,26.981,14.418,3.828,0,0,0,0,0,5611.743,1.351,0,281.409,12.181,153.045,15.335,141.87,9.923,5.376,27.722,278.83,32.806,5.078,841.032,26.847,16.148,20.677,-22.769,15.943,18.307,8.383,0,0,4.161,2.172,1.723,-2.511,-2.762,0.003,0.003,17.618,15.996,16.952,18.331,18.538,18.429,16.769,16.123,16.414,18.233,18.117,18.338,15.884,14.861,14.918,17.034,19.353,3725,0
3760041057,0.023316662,25.854,11.806,13.156,17.74,8.245,12.919,1718.112,0.93,399.502,26.972,14.418,3.821,0,0,0,0,0,5557.591,1.373,0,281.111,12.18,153.115,15.343,141.766,9.901,5.407,27.679,278.847,32.809,5.124,841.005,26.834,16.116,20.704,-22.768,15.98,18.295,8.394,0,0,4.158,2.203,1.711,-2.74,-2.799,0.003,0.003,17.583,15.974,16.949,18.335,18.56,18.457,16.781,16.133,16.406,18.25,18.142,18.314,15.881,14.851,14.901,17.037,19.372,3725,0
3760041059,0.058733328,25.826,11.845,13.155,17.733,8.269,12.919,1705.375,0.874,399.516,26.982,14.418,3.806,0,0,0,0,0,5557.868,1.364,0,280.986,12.177,153.113,15.352,141.876,9.925,5.392,27.717,278.803,32.803,5.08,841.106,26.861,16.11,20.702,-22.769,15.985,18.282,8.357,0,0,4.155,2.216,1.72,-2.545,-2.708,0.003,0.003,17.597,15.989,16.955,18.314,18.533,18.443,16.767,16.131,16.396,18.226,18.136,18.315,15.891,14.863,14.909,17.045,19.35,3725,0
3760041062,0.096866663,25.821,11.846,13.157,17.731,8.238,12.92,1704.452,0.915,399.501,26.983,14.417,3.781,0,0,0,0,0,5580.448,1.36,0,280.839,12.175,153.095,15.338,141.932,9.937,5.366,27.69,278.898,32.816,5.12,839.943,26.834,16.094,20.697,-22.768,15.986,18.273,8.336,0,0,4.153,2.219,1.711,-2.533,-2.809,0.003,0.003,17.573,15.982,16.957,18.329,18.531,18.453,16.778,16.138,16.414,18.242,18.178,18.328,15.889,14.862,14.9,17.041,19.345,3725,0
3760041064,0.127866666,25.828,11.808,13.156,17.747,8.236,12.917,1697.36,0.914,399.484,26.975,14.417,3.73,0,0,0,0,0,5573.552,1.358,0,281.063,12.181,153.09,15.344,141.856,9.92,5.389,27.691,278.769,32.798,5.101,840.006,26.841,16.169,20.715,-22.768,15.969,18.267,8.347,0,0,4.157,2.193,1.708,-2.688,-2.839,0.003,0.003,17.59,15.967,16.954,18.328,18.524,18.452,16.774,16.134,16.411,18.228,18.158,18.323,15.884,14.854,14.906,17.04,19.366,3725,0
3760041065,0.159083327,25.819,11.845,13.274,17.724,8.26,12.919,1665.821,0.905,399.482,26.969,14.418,3.745,0,0,0,0,0,5570.405,1.371,0,281.002,12.179,153.118,15.303,141.809,9.91,5.358,27.707,279.073,32.839,5.125,841.099,26.881,16.166,20.716,-22.768,15.953,18.289,8.379,0,0,4.155,2.194,1.721,-2.539,-2.723,0.003,0.003,17.566,15.972,16.95,18.325,18.538,18.451,16.783,16.152,16.425,18.251,18.136,18.322,15.879,14.857,14.91,17.047,19.364,3725,0
3760041067,0.186966666,25.822,11.832,13.157,17.717,8.258,12.92,1686.132,0.868,399.524,26.947,14.418,3.578,0,0,0,0,0,5592.762,1.37,0,281.101,12.187,153.108,15.307,141.878,9.925,5.347,27.701,278.928,32.82,5.113,841.039,26.854,16.198,20.714,-22.768,16.004,18.292,8.366,0,0,4.156,2.146,1.714,-2.588,-2.718,0.003,0.003,17.564,15.969,16.954,18.316,18.52,18.452,16.78,16.137,16.418,18.236,18.13,18.323,15.894,14.866,14.92,17.062,19.351,3725,0
3760041069,0.210649999,25.842,11.847,13.157,17.722,8.253,12.919,1707.201,0.892,399.499,26.964,14.417,3.506,0,0,0,0,0,5591.632,1.371,0,280.924,12.184,153.144,15.282,141.714,9.89,5.357,27.704,278.682,32.786,5.076,841.112,26.859,16.173,20.714,-22.768,15.989,18.274,8.384,0,0,4.153,2.185,1.716,-2.565,-2.745,0.003,0.003,17.552,15.961,16.951,18.323,18.551,18.459,16.784,16.148,16.426,18.239,18.143,18.326,15.892,14.861,14.908,17.049,19.347,3725,0
3760041070,0.240699999,25.845,11.858,13.156,17.691,8.25,12.919,1690.303,0.917,399.483,26.99,14.418,3.577,0,0,0,0,0,5593.746,1.359,0,280.915,12.164,153.134,15.284,141.775,9.903,5.346,27.706,278.732,32.793,5.081,840.96,26.859,16.147,20.714,-22.767,15.986,18.292,8.389,0,0,4.153,2.222,1.715,-2.528,-2.707,0.003,0.003,17.548,15.964,16.96,18.345,18.535,18.468,16.792,16.136,16.412,18.246,18.138,18.341,15.886,14.859,14.919,17.049,19.367,3725,0
3760041072,0.26868333,25.839,11.856,13.156,17.711,8.238,12.92,1689.136,0.897,399.51,26.981,14.418,3.608,0,0,0,0,0,5570.413,1.354,0,281.001,12.179,153.034,15.283,141.868,9.923,5.324,27.688,278.828,32.806,5.112,841.261,26.848,16.116,20.719,-22.768,16.007,18.295,8.372,0,0,4.154,2.205,1.712,-2.526,-2.779,0.003,0.003,17.574,15.963,16.949,18.341,18.539,18.476,16.79,16.138,16.435,18.25,18.156,18.316,15.887,14.863,14.908,17.055,19.365,3725,0
3760041074,0.29636666,25.833,11.825,13.157,17.737,8.231,12.918,1696.129,0.896,399.525,26.974,14.418,3.662,0,0,0,0,0,5562.373,1.357,0,280.695,12.169,153.109,15.293,141.757,9.899,5.359,27.694,278.901,32.816,5.116,841.126,26.848,16.087,20.739,-22.768,16.024,18.286,8.387,0,0,4.15,2.187,1.706,-2.634,-2.844,0.003,0.003,17.578,15.981,16.918,18.332,18.549,18.472,16.772,16.123,16.421,18.238,18.158,18.316,15.889,14.856,14.911,17.052,19.365,3725,0
3760041075,0.32373333,25.846,11.843,13.157,17.744,8.248,12.92,1687.786,0.904,399.501,26.996,14.418,3.614,0,0,0,0,0,5568.223,1.362,0,281.007,12.171,153.058,15.297,141.832,9.915,5.347,27.694,278.853,32.809,5.11,840.929,26.874,16.103,20.725,-22.768,15.982,18.291,8.375,0,0,4.155,2.198,1.716,-2.586,-2.795,0.003,0.003,17.577,15.982,16.929,18.362,18.542,18.464,16.786,16.137,16.415,18.254,18.146,18.327,15.877,14.863,14.898,17.054,19.355,3725,0
3760041077,0.3511,25.858,11.816,13.155,17.72,8.239,12.919,1673.881,0.894,399.509,26.988,14.417,3.675,0,0,0,0,0,5577.335,1.368,0,280.725,12.16,153.068,15.309,141.876,9.925,5.349,27.707,278.659,32.783,5.07,841.042,26.852,16.101,20.729,-22.769,16.003,18.291,8.366,0,0,4.15,2.175,1.709,-2.705,-2.787,0.003,0.003,17.618,15.988,16.95,18.362,18.547,18.459,16.79,16.136,16.424,18.257,18.133,18.324,15.888,14.873,14.923,17.049,19.36,3725,0
