Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3759435411,0,28.011,13.652,17.135,21.521,10.738,17.094,1638.526,0.809,398.41,26.001,14.378,3.163,0,0,0,0,0,5727.484,1.432,0,303.961,14.411,164.253,18.605,154.454,12.556,6.012,26.636,274.229,32.178,5.536,1773.456,29.851,20.447,25.337,-21.979,23.911,21.988,9.432,0,0,4.574,1.834,2.657,0.792,-0.17,0.004,0.004,21.687,19.576,20.829,21.744,22.217,22.066,20.655,20.086,20.45,21.718,21.824,21.889,19.535,18.675,18.776,20.79,21.695,3725,2178
3759435413,0.035416667,28.008,13.7,17.136,21.53,10.747,17.094,1670.231,0.813,398.403,25.971,14.378,3.104,0,0,0,0,0,5778.742,1.39,0,304.019,14.427,164.305,18.58,154.447,12.554,5.988,26.653,274.155,32.168,5.509,1772.764,29.88,20.497,25.36,-21.98,23.944,21.991,9.436,0,0,4.574,1.867,2.659,0.967,-0.157,0.004,0.004,21.711,19.584,20.825,21.748,22.198,22.104,20.675,20.074,20.434,21.708,21.831,21.882,19.548,18.67,18.769,20.788,21.688,3725,2178
3759435415,0.064466667,28.015,13.685,17.136,21.497,10.754,17.094,1663.368,0.849,398.403,25.976,14.378,3.156,0,0,0,0,0,5703.512,1.398,0,303.862,14.414,164.388,18.599,154.422,12.549,6.012,26.658,274.225,32.178,5.513,1772.332,29.84,20.517,25.335,-21.979,23.902,22,9.451,0,0,4.572,1.888,2.649,0.904,-0.093,0.004,0.004,21.693,19.588,20.825,21.793,22.213,22.101,20.673,20.067,20.451,21.724,21.838,21.881,19.533,18.677,18.75,20.786,21.706,3725,2178
3759435417,0.093983332,27.993,13.674,17.136,21.505,10.778,17.095,1653.183,0.841,398.413,26.007,14.379,3.179,0,0,0,0,0,5717.717,1.401,0,303.976,14.415,164.318,18.592,154.449,12.555,6,26.649,274.384,32.199,5.544,1772.864,29.862,20.509,25.336,-21.979,23.874,21.999,9.444,0,0,4.573,1.858,2.663,0.895,-0.033,0.004,0.004,21.709,19.592,20.817,21.775,22.197,22.085,20.66,20.05,20.438,21.703,21.839,21.893,19.538,18.678,18.773,20.785,21.694,3725,2178
3759435419,0.123300004,27.989,13.674,17.135,21.506,10.765,17.095,1621.889,0.83,398.426,26.009,14.379,3.062,0,0,0,0,0,5723.838,1.414,0,304.129,14.422,164.322,18.603,154.501,12.566,5.999,26.64,274.118,32.163,5.517,1773.456,29.832,20.488,25.356,-21.979,23.912,21.989,9.423,0,0,4.576,1.855,2.634,0.9,-0.073,0.004,0.004,21.696,19.581,20.815,21.753,22.198,22.112,20.667,20.057,20.441,21.697,21.835,21.889,19.527,18.674,18.768,20.782,21.696,3725,2178
3759435420,0.152150003,28.001,13.658,17.135,21.496,10.752,17.094,1611.213,0.795,398.428,25.986,14.378,3.173,0,0,0,0,0,5745.47,1.4,0,304.063,14.416,164.358,18.565,154.546,12.575,5.953,26.66,274.122,32.164,5.498,1773.542,29.848,20.52,25.322,-21.979,23.911,21.989,9.414,0,0,4.573,1.816,2.664,0.826,-0.1,0.004,0.004,21.694,19.584,20.837,21.752,22.203,22.113,20.662,20.068,20.44,21.714,21.836,21.882,19.535,18.675,18.764,20.779,21.687,3725,2178
3759435422,0.181850004,28.023,13.691,17.136,21.498,10.757,17.094,1610.683,0.783,398.412,25.969,14.378,3.306,0,0,0,0,0,5721.412,1.397,0,304.054,14.421,164.329,18.58,154.42,12.549,5.994,26.639,274.087,32.159,5.514,1773.417,29.878,20.464,25.335,-21.979,23.91,22,9.451,0,0,4.575,1.824,2.674,0.915,-0.087,0.004,0.004,21.704,19.565,20.795,21.775,22.222,22.112,20.66,20.059,20.454,21.744,21.861,21.884,19.544,18.678,18.783,20.778,21.686,3725,2178
3759435424,0.211366669,28.004,13.689,17.136,21.514,10.758,17.095,1649.705,0.782,398.392,26.004,14.378,3.165,0,0,0,0,0,5716.898,1.404,0,304.298,14.412,164.355,18.586,154.433,12.551,5.997,26.647,274.061,32.155,5.502,1773.425,29.841,20.484,25.358,-21.979,23.94,21.99,9.438,0,0,4.578,1.821,2.638,0.934,-0.103,0.004,0.004,21.704,19.592,20.814,21.751,22.226,22.085,20.649,20.059,20.45,21.729,21.846,21.902,19.533,18.663,18.78,20.78,21.701,3725,2178
3759435426,0.241100001,28.004,13.679,17.135,21.51,10.754,17.094,1649.646,0.826,398.395,26.008,14.377,3.185,0,0,0,0,0,5728.843,1.397,0,304.148,14.416,164.311,18.549,154.415,12.548,5.963,26.658,274.052,32.154,5.49,1772.352,29.84,20.498,25.346,-21.979,23.958,22.011,9.464,0,0,4.575,1.86,2.643,0.9,-0.108,0.004,0.004,21.703,19.58,20.81,21.764,22.206,22.1,20.652,20.068,20.427,21.72,21.842,21.909,19.544,18.686,18.799,20.779,21.694,3725,2178
3759435427,0.264983336,27.997,13.693,17.136,21.497,10.75,17.094,1641.866,0.825,398.372,26.003,14.378,3.187,0,0,0,0,0,5717.325,1.406,0,303.989,14.417,164.329,18.567,154.361,12.537,5.993,26.659,274.269,32.184,5.518,1773.094,29.842,20.513,25.338,-21.979,23.945,21.984,9.448,0,0,4.573,1.872,2.65,0.956,-0.104,0.004,0.004,21.705,19.588,20.811,21.755,22.216,22.106,20.65,20.063,20.424,21.701,21.845,21.919,19.534,18.681,18.787,20.783,21.677,3725,2178
