Time elapsed (s),Time elapsed (s),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3758405330,0,27.871,13.634,20.179,14.689,8.712,19.764,1644.381,0.813,395.83,24.941,14.286,10.539,0,0,0,0,0,5970.611,1.582,0,262.13,10.213,143.794,14.393,133.171,7.973,6.386,25.962,258.949,30.042,4.073,2.457,26.113,16.975,25.403,-3.704,0,12.45,4.477,1,0,3.949,3.076,0.001,1.042,2.801,0.004,0.005,15.201,12.353,12.584,13.358,12.778,12.614,14.099,13.026,14.676,13.105,12.314,12.503,12.468,11.127,11.144,12.875,15.543,0,0
3758405332,0.031400005,27.873,13.658,20.178,14.685,8.736,19.842,1658.093,0.846,395.863,24.941,14.284,10.681,0,0,0,0,0,5946.089,1.574,0,262.648,10.209,143.854,14.335,133.337,8.011,6.29,25.968,258.974,30.046,4.072,2.457,26.104,16.975,25.439,-3.704,0,12.464,4.453,1,0,3.954,3.134,0.001,1.129,2.87,0.004,0.005,15.181,12.351,12.594,13.366,12.803,12.616,14.118,13.02,14.682,13.115,12.332,12.518,12.478,11.144,11.16,12.882,15.548,0,0
3758405334,0.067866667,27.866,13.653,20.179,14.656,8.74,19.88,1643.992,0.862,395.799,24.927,14.286,10.61,0,0,0,0,0,5933.248,1.583,0,261.872,10.22,143.835,14.32,133.333,8.009,6.276,25.942,259.203,30.078,4.13,2.457,26.102,16.975,25.417,-3.704,0,12.459,4.45,1,0,3.943,3.155,0.001,1.118,2.913,0.004,0.005,15.139,12.344,12.594,13.355,12.781,12.626,14.102,13.019,14.657,13.118,12.322,12.518,12.48,11.145,11.154,12.884,15.531,0,0
3758405337,0.106766669,27.881,13.629,20.178,14.667,8.742,19.879,1657.961,0.846,395.841,24.933,14.284,10.506,0,0,0,0,0,5948.105,1.57,0,262.53,10.25,143.889,14.272,133.442,8.034,6.203,25.961,258.936,30.04,4.073,2.457,26.125,16.975,25.434,-3.704,0,12.457,4.423,1,0,3.951,3.11,0.001,1.017,2.906,0.004,0.005,15.141,12.373,12.611,13.364,12.795,12.629,14.125,13.021,14.674,13.118,12.335,12.524,12.482,11.162,11.167,12.873,15.525,0,0
3758405338,0.13718334,27.885,13.672,20.18,14.658,8.737,19.88,1638.826,0.862,395.808,24.934,14.284,10.386,0,0,0,0,0,5927.349,1.584,0,262.714,10.24,144.026,14.234,133.491,8.045,6.155,25.976,258.941,30.041,4.058,2.457,26.101,16.975,25.427,-3.704,0,12.463,4.418,1,0,3.952,3.17,0.001,1.161,2.905,0.004,0.005,15.136,12.34,12.596,13.35,12.787,12.603,14.117,12.999,14.673,13.134,12.308,12.513,12.487,11.145,11.148,12.878,15.529,0,0
3758405341,0.17348334,27.886,13.667,20.18,14.696,8.735,19.879,1628.992,0.84,395.808,24.931,14.285,10.245,0,0,0,0,0,5950.448,1.571,0,262.55,10.247,143.981,14.207,133.666,8.084,6.089,25.977,259.175,30.074,4.09,2.457,26.084,16.975,25.421,-3.704,0,12.473,4.389,1,0,3.948,3.13,0.001,1.141,2.855,0.004,0.005,15.146,12.342,12.596,13.363,12.802,12.616,14.113,13.004,14.652,13.13,12.327,12.505,12.482,11.151,11.161,12.887,15.552,0,0
3758405343,0.208350007,27.877,13.635,20.18,14.658,8.735,19.88,1639.152,0.828,395.825,24.954,14.285,10.202,0,0,0,0,0,5928.014,1.576,0,262.172,10.252,144.012,14.178,133.66,8.083,6.061,25.943,258.967,30.044,4.095,2.457,26.081,16.975,25.423,-3.704,0,12.491,4.408,1,0,3.943,3.09,0.001,1.042,2.898,0.004,0.005,15.144,12.338,12.591,13.358,12.788,12.611,14.104,13.001,14.634,13.135,12.328,12.513,12.489,11.15,11.15,12.892,15.547,0,0
3758405345,0.240833338,27.887,13.651,20.179,14.676,8.747,19.879,1604.625,0.84,395.832,24.931,14.285,10.101,0,0,0,0,0,5936.265,1.577,0,263.041,10.263,144.036,14.118,133.639,8.078,6.006,25.957,258.944,30.041,4.078,2.457,26.109,16.975,25.432,-3.704,0,12.507,4.429,1,0,3.954,3.112,0.001,1.083,2.909,0.004,0.005,15.12,12.339,12.58,13.36,12.783,12.627,14.105,12.997,14.635,13.133,12.325,12.515,12.481,11.147,11.151,12.894,15.546,0,0
3758405346,0.270316672,27.881,13.665,20.18,14.683,8.735,19.878,1636.049,0.801,395.832,24.926,14.283,10.084,0,0,0,0,0,5938.002,1.565,0,262.132,10.265,144.086,14.07,133.627,8.076,5.96,25.955,258.819,30.023,4.062,2.457,26.102,16.975,25.426,-3.704,0,12.509,4.433,1,0,3.94,3.063,0.001,1.142,2.871,0.004,0.005,15.117,12.326,12.573,13.355,12.797,12.624,14.108,13.003,14.657,13.124,12.328,12.508,12.485,11.129,11.137,12.914,15.557,0,0
3758405348,0.298133334,27.855,13.655,20.18,14.675,8.74,19.879,1647.242,0.836,395.777,24.929,14.284,10.084,0,0,0,0,0,5918.025,1.562,0,263.714,10.287,144.096,14.034,133.605,8.07,5.929,25.968,259.277,30.088,4.114,2.457,26.128,16.975,25.398,-3.704,0,12.517,4.447,1,0,3.962,3.114,0.001,1.141,2.891,0.004,0.005,15.108,12.338,12.565,13.343,12.789,12.614,14.129,13.012,14.609,13.134,12.322,12.513,12.497,11.147,11.148,12.908,15.545,0,0
3758405350,0.33478334,27.885,13.701,20.18,14.667,8.759,19.88,1614.935,0.849,395.809,24.926,14.286,10.134,0,0,0,0,0,5913.75,1.581,0,261.645,10.276,144.203,14.033,133.506,8.048,5.951,25.965,258.96,30.043,4.072,2.457,26.113,16.975,25.415,-3.704,0,12.514,4.465,1,0,3.932,3.157,0.001,1.258,2.949,0.004,0.005,15.107,12.319,12.571,13.336,12.782,12.611,14.094,12.984,14.588,13.135,12.315,12.522,12.491,11.131,11.142,12.91,15.546,0,0
3758405352,0.364266674,27.852,13.624,20.18,14.676,8.743,19.88,1662.361,0.813,395.848,24.943,14.286,10.238,0,0,0,0,0,5944.437,1.564,0,262.545,10.267,144.151,14.023,133.532,8.054,5.934,25.97,259.127,30.067,4.091,2.457,26.114,16.975,25.424,-3.704,0,12.508,4.453,1,0,3.945,3.05,0.001,1.036,2.9,0.004,0.005,15.112,12.335,12.58,13.34,12.785,12.609,14.115,12.991,14.594,13.129,12.329,12.522,12.493,11.145,11.157,12.904,15.555,0,0
3758405354,0.401616669,27.882,13.677,20.18,14.699,8.746,19.88,1626.853,0.867,395.848,24.919,14.285,10.27,0,0,0,0,0,5916.661,1.584,0,262.618,10.271,144.105,13.986,133.427,8.031,5.921,25.958,259.22,30.08,4.116,2.457,26.135,16.975,25.443,-3.704,0,12.514,4.484,1,0,3.946,3.176,0.001,1.179,2.878,0.004,0.005,15.092,12.336,12.578,13.371,12.805,12.626,14.111,12.997,14.561,13.142,12.324,12.522,12.497,11.139,11.157,12.918,15.551,0,0
3758405356,0.429550004,27.875,13.668,20.18,14.681,8.735,19.88,1622.633,0.826,395.817,24.916,14.285,10.209,0,0,0,0,0,5950.518,1.569,0,262.641,10.283,144.123,13.976,133.419,8.029,5.913,25.982,258.97,30.045,4.057,2.457,26.091,16.975,25.429,-3.704,0,12.521,4.492,1,0,3.945,3.109,0.001,1.16,2.871,0.004,0.005,15.068,12.326,12.576,13.352,12.774,12.606,14.106,12.983,14.535,13.137,12.322,12.526,12.49,11.138,11.149,12.904,15.541,0,0
3758405358,0.45933334,27.864,13.66,20.18,14.691,8.734,19.879,1593.245,0.821,395.824,24.925,14.285,10.102,0,0,0,0,0,5924.561,1.585,0,264.282,10.273,144.18,13.958,133.507,8.049,5.876,25.975,259.081,30.061,4.079,2.457,26.105,16.975,25.396,-3.704,0,12.524,4.475,1,0,3.969,3.096,0.001,1.145,2.856,0.004,0.005,15.063,12.346,12.586,13.356,12.785,12.62,14.118,12.99,14.512,13.14,12.328,12.527,12.484,11.155,11.161,12.907,15.559,0,0
3758405360,0.496000004,27.896,13.679,20.18,14.713,8.743,19.88,1627.428,0.788,395.831,24.948,14.286,9.969,0,0,0,0,0,5951.928,1.57,0,260.613,10.277,144.132,13.934,133.624,8.075,5.825,25.994,259.114,30.065,4.065,2.457,26.129,16.975,25.427,-3.704,0,12.528,4.453,1,0,3.912,3.047,0.001,1.168,2.853,0.004,0.005,15.057,12.354,12.597,13.363,12.805,12.64,14.125,12.988,14.495,13.156,12.338,12.544,12.5,11.169,11.17,12.912,15.548,0,0
