Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3759857495,0,22.253,13.035,31.312,31.533,15.739,30.911,1782.603,0.895,388.875,22.042,14.033,0,0,1,0,0,0,6417.737,1.646,0,105.419,25.82,230.599,22.762,210.95,22.801,-0.08,22.915,211.084,22.708,-0.213,1764.336,37.802,21.274,33.079,-22.015,25.943,34.676,11.875,0,1,-0.002,-2.024,2.764,5.88,3.864,0.006,0.005,32.003,32.91,33.344,33.73,34.448,34.627,31.623,32.293,32.108,33.722,34.507,34.417,31.085,31.955,31.401,32.943,31.406,0,0
3759857497,0.035349997,22.27,13.017,31.312,31.528,15.746,30.913,1757.693,0.88,388.837,22.028,14.034,0,0,1,0,0,0,6462.027,1.622,0,104.836,25.811,230.643,22.751,210.977,22.806,-0.095,22.928,211.087,22.709,-0.226,1764.458,37.821,21.322,33.099,-22.015,25.914,34.686,11.88,0,1,-0.002,-2.029,2.764,5.818,3.892,0.006,0.005,32.019,32.929,33.353,33.726,34.449,34.625,31.611,32.287,32.11,33.728,34.495,34.425,31.088,31.955,31.41,32.952,31.399,0,0
3759857499,0.065083329,22.268,12.977,31.312,31.536,15.742,30.913,1796.3,0.852,388.858,22.029,14.034,0.07,0,1,0,0,0,6421.92,1.636,0,106.687,25.808,230.591,22.744,210.929,22.798,-0.094,22.941,211.095,22.71,-0.237,1764.455,37.85,21.344,33.088,-22.015,25.906,34.689,11.891,0,1,-0.002,-2.026,2.788,5.72,3.871,0.006,0.005,32.033,32.917,33.339,33.741,34.461,34.631,31.63,32.299,32.112,33.738,34.495,34.437,31.097,31.966,31.413,32.952,31.417,0,0
3759857501,0.101616661,22.258,13.015,31.312,31.554,15.747,30.912,1781.675,0.896,388.857,22.039,14.034,0,0,1,0,0,0,6446.066,1.621,0,104.905,25.802,230.571,22.754,211.064,22.82,-0.107,22.918,211.09,22.709,-0.215,1763.497,37.843,21.268,33.083,-22.016,25.914,34.699,11.879,0,1,-0.002,-2.046,2.785,5.825,3.865,0.006,0.005,32.03,32.918,33.338,33.743,34.469,34.637,31.618,32.294,32.122,33.731,34.508,34.432,31.086,31.957,31.416,32.956,31.393,0,0
3759857503,0.132149998,22.275,13.006,31.311,31.523,15.75,30.912,1822.846,0.879,388.859,22.042,14.034,0.015,0,1,0,0,0,6420.804,1.633,0,105.27,25.811,230.532,22.765,211.015,22.812,-0.087,22.932,210.997,22.694,-0.244,1764.413,37.83,21.357,33.104,-22.016,25.902,34.673,11.861,0,1,-0.002,-2.039,2.766,5.786,3.91,0.006,0.005,32.023,32.931,33.329,33.744,34.468,34.633,31.63,32.294,32.122,33.722,34.509,34.432,31.084,31.957,31.403,32.944,31.4,0,0
3759857505,0.164216661,22.258,13.041,31.312,31.513,15.761,30.912,1786.047,0.926,388.861,22.022,14.033,0.006,0,1,0,0,0,6440.377,1.63,0,105.022,25.796,230.591,22.762,210.991,22.808,-0.087,22.925,211.036,22.701,-0.231,1763.504,37.833,21.312,33.07,-22.016,25.895,34.687,11.878,0,1,-0.002,-2.07,2.786,5.888,3.955,0.006,0.005,32.032,32.935,33.345,33.733,34.457,34.633,31.625,32.292,32.115,33.723,34.513,34.449,31.092,31.968,31.417,32.95,31.394,0,0
3759857507,0.200349998,22.267,13.009,31.31,31.525,15.727,30.911,1767.991,0.884,388.848,22.042,14.033,0,0,1,0,0,0,6435.474,1.652,0,105.717,25.804,230.49,22.734,211.061,22.82,-0.126,22.906,211.076,22.707,-0.206,1764.119,37.824,21.266,33.075,-22.015,25.9,34.672,11.853,0,1,-0.002,-2.024,2.779,5.801,3.838,0.006,0.005,32.029,32.93,33.347,33.743,34.462,34.635,31.625,32.295,32.109,33.724,34.495,34.448,31.094,31.957,31.402,32.942,31.406,0,0
3759857509,0.230916667,22.269,13.024,31.312,31.526,15.741,30.912,1761.099,0.864,388.85,22.046,14.034,0,0,1,0,0,0,6473.007,1.63,0,105.601,25.818,230.545,22.755,210.975,22.805,-0.091,22.902,211.021,22.698,-0.21,1762.945,37.842,21.331,33.081,-22.015,25.875,34.7,11.895,0,1,-0.002,-2.004,2.784,5.836,3.878,0.006,0.005,32.028,32.913,33.334,33.736,34.456,34.636,31.618,32.275,32.108,33.721,34.504,34.431,31.078,31.956,31.401,32.952,31.39,0,0
3759857511,0.26133333,22.245,13.003,31.311,31.514,15.749,30.912,1794.284,0.856,388.859,22.03,14.034,0.028,0,1,0,0,0,6434.728,1.624,0,104.493,25.801,230.635,22.738,210.949,22.801,-0.104,22.905,210.983,22.692,-0.219,1764.395,37.858,21.339,33.088,-22.016,25.878,34.697,11.896,0,1,-0.002,-2.017,2.792,5.808,3.915,0.006,0.005,32.02,32.907,33.343,33.732,34.461,34.629,31.604,32.283,32.104,33.719,34.499,34.444,31.076,31.951,31.405,32.951,31.396,0,0
3759857513,0.299066663,22.237,13.006,31.311,31.498,15.744,30.912,1782.929,0.894,388.858,22.036,14.034,0.043,0,1,0,0,0,6424.086,1.632,0,104.93,25.796,230.523,22.78,210.936,22.799,-0.06,22.895,211.071,22.706,-0.195,1763.768,37.861,21.366,33.054,-22.015,25.878,34.708,11.909,0,1,-0.001,-2.05,2.813,5.821,3.92,0.006,0.005,32.028,32.925,33.348,33.741,34.462,34.639,31.618,32.299,32.109,33.728,34.498,34.436,31.078,31.967,31.401,32.95,31.39,0,0
