Time elapsed (s),Time Elapsed(min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3760117988,0,22.657,11.072,15.5,33.961,14.486,15.01,1728.545,0.843,400.156,23.403,14.443,0,0,1,0,0,0,4951.591,1.415,0,9.846,26.172,232.538,23.46,220.329,24.384,-0.965,23.958,220.775,24.339,0.375,1763.082,40.865,20.661,35.267,-21.991,30.054,37.125,12.741,0,1,-0.001,-2.331,3.274,-0.695,-4.967,0.004,0.003,34.017,35.095,35.591,36.046,36.922,37.143,33.594,34.37,34.16,36.028,36.935,36.871,32.852,33.911,33.303,35.114,32.333,0,0
3760117990,0.035416667,22.654,11.066,15.5,33.977,14.494,15.01,1738.505,0.855,400.198,23.407,14.441,0,0,1,0,0,0,4939.776,1.402,0,10.077,26.174,232.531,23.473,220.356,24.388,-0.957,23.961,220.837,24.349,0.382,1763.382,40.869,20.725,35.284,-21.991,30.092,37.103,12.715,0,1,-0.001,-2.354,3.267,-0.71,-4.956,0.004,0.003,34.034,35.099,35.591,36.039,36.921,37.127,33.575,34.37,34.158,36.015,36.931,36.875,32.865,33.924,33.303,35.101,32.324,0,0
3760117992,0.065016667,22.679,11.106,15.5,33.973,14.484,15.01,1743.089,0.866,400.156,23.395,14.442,0,0,1,0,0,0,4918.05,1.413,0,10.139,26.174,232.539,23.507,220.361,24.389,-0.923,23.942,220.875,24.355,0.406,1762.322,40.884,20.665,35.273,-21.991,30.097,37.102,12.713,0,1,-0.001,-2.334,3.28,-0.617,-5.001,0.004,0.003,34.016,35.083,35.58,36.026,36.908,37.134,33.565,34.37,34.147,36.017,36.931,36.866,32.855,33.906,33.297,35.1,32.346,0,0
3760117994,0.099650002,22.671,11.084,15.5,33.959,14.509,15.01,1693.821,0.871,400.175,23.406,14.441,0,0,1,0,0,0,4936.796,1.427,0,10.088,26.171,232.54,23.495,220.397,24.395,-0.941,23.952,220.77,24.338,0.38,1764.235,40.881,20.673,35.271,-21.991,30.132,37.106,12.712,0,1,-0.001,-2.374,3.283,-0.676,-4.847,0.004,0.003,34.037,35.097,35.601,36.029,36.906,37.133,33.581,34.366,34.157,36.018,36.935,36.878,32.865,33.922,33.304,35.112,32.348,0,0
3760117996,0.134449999,22.678,11.126,15.499,33.956,14.486,15.01,1734.722,0.816,400.141,23.401,14.442,0,0,1,0,0,0,4961.091,1.412,0,9.836,26.159,232.524,23.459,220.42,24.398,-0.98,23.948,220.804,24.344,0.39,1763.275,40.891,20.681,35.271,-21.991,30.138,37.114,12.716,0,1,-0.001,-2.262,3.287,-0.552,-4.959,0.004,0.003,34.037,35.104,35.604,36.033,36.909,37.136,33.582,34.374,34.158,36.031,36.934,36.871,32.858,33.926,33.304,35.114,32.343,0,0
3760117998,0.163999995,22.672,11.108,15.5,33.951,14.49,15.01,1757.241,0.862,400.18,23.396,14.441,0,0,1,0,0,0,4934.706,1.41,0,10.093,26.178,232.447,23.46,220.356,24.388,-0.969,23.93,220.797,24.343,0.407,1763.592,40.868,20.666,35.278,-21.991,30.103,37.121,12.733,0,1,-0.001,-2.332,3.27,-0.599,-4.924,0.004,0.003,34.037,35.092,35.606,36.032,36.902,37.126,33.567,34.367,34.138,36.007,36.912,36.865,32.863,33.919,33.301,35.111,32.353,0,0
3760118000,0.199883334,22.662,11.132,15.5,33.949,14.497,15.009,1741.571,0.887,400.139,23.408,14.441,0,0,1,0,0,0,4932.387,1.422,0,10.11,26.178,232.566,23.469,220.306,24.38,-0.952,23.935,220.853,24.351,0.41,1764.315,40.891,20.703,35.255,-21.99,30.097,37.115,12.735,0,1,-0.001,-2.351,3.298,-0.51,-4.888,0.004,0.003,34.013,35.084,35.59,36.019,36.896,37.11,33.575,34.365,34.144,36.001,36.917,36.842,32.847,33.909,33.29,35.109,32.343,0,0
3760118003,0.237299999,22.657,11.102,15.5,33.95,14.498,15.01,1720.705,0.869,400.138,23.393,14.442,0,0,1,0,0,0,4952.718,1.435,0,9.991,26.176,232.57,23.485,220.301,24.379,-0.936,23.961,220.825,24.347,0.38,1765.022,40.87,20.771,35.271,-21.99,30.1,37.116,12.736,0,1,-0.001,-2.351,3.278,-0.599,-4.887,0.004,0.003,34.022,35.073,35.604,36.03,36.893,37.101,33.567,34.357,34.143,35.997,36.915,36.855,32.843,33.914,33.285,35.119,32.35,0,0
3760118004,0.263233328,22.651,11.067,15.499,33.962,14.483,15.01,1720.763,0.846,400.181,23.389,14.442,0,0,1,0,0,0,4974.345,1.424,0,9.981,26.169,232.554,23.492,220.378,24.392,-0.941,23.954,220.819,24.346,0.386,1764.459,40.856,20.728,35.261,-21.991,30.076,37.132,12.74,0,1,-0.001,-2.335,3.275,-0.703,-4.985,0.004,0.003,34.02,35.084,35.597,36.019,36.893,37.101,33.565,34.364,34.132,36.002,36.908,36.845,32.852,33.912,33.295,35.119,32.345,0,0
3760118006,0.300333333,22.671,11.09,15.5,33.957,14.504,15.009,1735.224,0.874,400.189,23.412,14.441,0,0,1,0,0,0,4974.464,1.428,0,10.024,26.171,232.506,23.475,220.393,24.394,-0.96,24.004,220.85,24.351,0.341,1764.441,40.877,20.731,35.284,-21.99,30.075,37.121,12.727,0,1,-0.001,-2.335,3.273,-0.654,-4.871,0.004,0.003,34.016,35.073,35.59,36.018,36.877,37.112,33.566,34.35,34.125,35.995,36.906,36.836,32.835,33.91,33.283,35.114,32.342,0,0
