Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3760033676,0,26.008,12.329,12.687,19.257,8.822,12.687,1718.574,0.929,399.229,25.144,14.407,3.372,0,0,0,0,0,5637.069,1.362,0,290.626,12.911,156.679,16.451,146.577,10.927,5.488,26.222,268.711,31.426,5.197,1773.233,26.847,19.829,22.959,-21.991,21.143,19.837,8.91,0,0,4.365,2.224,2.289,-1.07,-3.202,0.004,0.003,19.169,17.571,18.683,19.717,19.981,19.959,18.67,18.106,18.424,19.647,19.684,19.754,17.618,16.799,16.872,18.712,20.671,3725,0
3760033678,0.026883332,26.029,12.352,12.686,19.287,8.808,12.687,1719.228,0.921,399.208,25.142,14.406,3.403,0,0,0,0,0,5605.394,1.387,0,290.474,12.906,156.716,16.483,146.504,10.911,5.535,26.239,268.581,31.408,5.163,1772.161,26.867,19.893,22.95,-21.99,21.139,19.836,8.924,0,0,4.363,2.24,2.304,-1.019,-3.298,0.004,0.003,19.182,17.591,18.696,19.731,19.977,19.952,18.684,18.104,18.441,19.626,19.684,19.75,17.632,16.798,16.881,18.717,20.658,3725,0
3760033679,0.05411667,26.007,12.322,12.569,19.279,8.783,12.57,1695.329,0.922,399.17,25.148,14.406,3.409,0,0,0,0,0,5649.979,1.365,0,290.285,12.907,156.691,16.48,146.593,10.93,5.514,26.249,268.626,31.414,5.158,1772.138,26.84,19.921,22.967,-21.991,21.144,19.829,8.899,0,0,4.359,2.235,2.278,-1.092,-3.375,0.004,0.003,19.191,17.573,18.702,19.702,19.972,19.979,18.71,18.119,18.436,19.631,19.69,19.753,17.623,16.797,16.891,18.71,20.649,3725,0
3760033681,0.084366671,26,12.315,12.686,19.256,8.808,12.684,1699.613,0.894,399.183,25.132,14.407,3.506,0,0,0,0,0,5610.411,1.361,0,290.175,12.889,156.698,16.473,146.436,10.897,5.54,26.252,268.359,31.377,5.119,1773.036,26.861,19.88,22.946,-21.991,21.154,19.82,8.923,0,0,4.358,2.185,2.304,-1.106,-3.249,0.004,0.003,19.183,17.587,18.69,19.684,19.961,19.978,18.695,18.096,18.432,19.636,19.684,19.724,17.622,16.785,16.875,18.71,20.66,3725,0
3760033683,0.116633336,26.01,12.307,12.686,19.279,8.817,12.687,1705.079,0.899,399.212,25.146,14.406,3.421,0,0,0,0,0,5603.299,1.368,0,290.103,12.901,156.609,16.46,146.598,10.931,5.492,26.251,268.561,31.405,5.147,1773.077,26.875,19.89,22.953,-21.991,21.175,19.815,8.883,0,0,4.356,2.18,2.309,-1.148,-3.254,0.004,0.003,19.177,17.599,18.697,19.684,19.968,19.98,18.683,18.111,18.433,19.624,19.683,19.739,17.63,16.806,16.877,18.71,20.655,3725,0
3760033685,0.147599999,26.039,12.305,12.686,19.257,8.796,12.685,1698.919,0.905,399.194,25.12,14.405,3.374,0,0,0,0,0,5615.287,1.366,0,290.251,12.901,156.666,16.49,146.598,10.931,5.523,26.257,268.818,31.44,5.177,1773.184,26.867,19.868,22.95,-21.992,21.175,19.822,8.891,0,0,4.359,2.197,2.305,-1.195,-3.293,0.004,0.003,19.185,17.59,18.708,19.69,19.968,19.985,18.684,18.124,18.434,19.633,19.679,19.727,17.623,16.796,16.88,18.703,20.662,3725,0
3760033687,0.182650002,26.017,12.315,12.676,19.276,8.806,12.686,1698.121,0.898,399.161,25.14,14.406,3.431,0,0,0,0,0,5613.125,1.361,0,290.657,12.9,156.668,16.466,146.542,10.919,5.511,26.271,269.092,31.478,5.201,1772.574,26.871,19.8,22.942,-21.991,21.175,19.841,8.921,0,0,4.364,2.19,2.312,-1.13,-3.289,0.004,0.003,19.19,17.584,18.669,19.644,19.987,19.96,18.703,18.117,18.446,19.628,19.683,19.717,17.624,16.788,16.871,18.715,20.66,3725,0
3760033689,0.213583334,26.023,12.343,12.57,19.256,8.809,12.686,1695.125,0.897,399.186,25.105,14.406,3.419,0,0,0,0,0,5602.653,1.381,0,291.109,12.894,156.663,16.469,146.35,10.879,5.554,26.242,268.975,31.462,5.214,1773.391,26.878,19.864,22.959,-21.991,21.116,19.856,8.978,0,0,4.373,2.206,2.307,-1.044,-3.245,0.004,0.003,19.178,17.599,18.678,19.641,19.985,19.958,18.692,18.128,18.429,19.622,19.668,19.734,17.619,16.794,16.867,18.71,20.653,3725,0
3760033691,0.249000001,26.028,12.327,12.686,19.278,8.793,12.687,1707.636,0.894,399.195,25.133,14.407,3.415,0,0,0,0,0,5638.592,1.375,0,290.875,12.906,156.636,16.481,146.469,10.904,5.541,26.263,269.084,31.477,5.208,1773.891,26.878,19.836,22.959,-21.991,21.137,19.848,8.944,0,0,4.368,2.201,2.308,-1.105,-3.338,0.004,0.003,19.184,17.585,18.677,19.647,19.975,19.964,18.691,18.119,18.435,19.604,19.665,19.735,17.625,16.783,16.871,18.712,20.653,3725,0
3760033693,0.284950002,26.032,12.346,12.686,19.282,8.815,12.615,1680.691,0.908,399.201,25.132,14.406,3.418,0,0,0,0,0,5627.765,1.36,0,291.105,12.9,156.692,16.486,146.504,10.911,5.538,26.27,269.046,31.472,5.196,1773.494,26.888,19.817,22.952,-21.991,21.1,19.835,8.924,0,0,4.372,2.217,2.317,-1.044,-3.267,0.004,0.003,19.197,17.582,18.681,19.636,19.974,19.959,18.693,18.107,18.444,19.609,19.675,19.759,17.644,16.793,16.893,18.71,20.657,3725,0
3760033695,0.315816665,26.014,12.313,12.569,19.262,8.799,12.686,1716.528,0.877,399.184,25.136,14.406,3.417,0,0,0,0,0,5602.356,1.369,0,291.363,12.906,156.663,16.514,146.605,10.933,5.545,26.22,269.107,31.48,5.254,1775.209,26.859,19.82,22.954,-21.991,21.112,19.856,8.924,0,0,4.378,2.169,2.301,-1.133,-3.29,0.004,0.003,19.189,17.586,18.692,19.65,19.948,19.973,18.701,18.124,18.43,19.617,19.685,19.76,17.633,16.804,16.891,18.711,20.668,3725,0
3760033697,0.345066667,26.003,12.291,12.569,19.253,8.798,12.687,1682.099,0.919,399.192,25.131,14.406,3.444,0,0,0,0,0,5618.25,1.365,0,291.223,12.911,156.694,16.513,146.567,10.925,5.552,26.229,269.099,31.479,5.244,1773.317,26.887,19.849,22.942,-21.991,21.112,19.862,8.937,0,0,4.375,2.202,2.322,-1.192,-3.279,0.004,0.003,19.21,17.591,18.693,19.655,19.968,19.985,18.705,18.113,18.415,19.647,19.683,19.76,17.633,16.791,16.899,18.714,20.66,3725,0
3760033698,0.369050002,26.023,12.284,12.569,19.292,8.78,12.687,1682.275,0.878,399.175,25.125,14.407,3.415,0,0,0,0,0,5610.414,1.361,0,291.211,12.904,156.716,16.519,146.55,10.921,5.562,26.234,269.046,31.472,5.231,1773.806,26.887,19.833,22.942,-21.991,21.167,19.863,8.942,0,0,4.375,2.163,2.323,-1.244,-3.407,0.003,0.003,19.196,17.581,18.68,19.63,19.963,19.994,18.691,18.122,18.414,19.649,19.677,19.756,17.629,16.799,16.871,18.711,20.65,3725,0
3760033700,0.400566665,26.028,12.346,12.569,19.244,8.819,12.687,1698.271,0.908,399.204,25.138,14.406,3.426,0,0,0,0,0,5611.049,1.365,0,291.169,12.895,156.683,16.516,146.477,10.906,5.574,26.189,269.08,31.477,5.282,1774.419,26.844,19.862,22.96,-21.99,21.065,19.861,8.956,0,0,4.377,2.181,2.288,-1.038,-3.188,0.004,0.003,19.2,17.579,18.675,19.645,19.976,19.973,18.693,18.115,18.407,19.646,19.667,19.749,17.643,16.787,16.89,18.708,20.662,3725,0
3760033702,0.428500001,26.046,12.321,12.686,19.285,8.804,12.57,1720.328,0.897,399.167,25.13,14.405,3.399,0,0,0,0,0,5610.309,1.368,0,291.484,12.896,156.639,16.528,146.531,10.917,5.575,26.233,269.306,31.508,5.269,1773.478,26.846,19.884,22.936,-21.991,21.089,19.849,8.932,0,0,4.38,2.195,2.302,-1.147,-3.309,0.004,0.003,19.208,17.592,18.659,19.646,19.976,19.965,18.673,18.115,18.421,19.644,19.662,19.764,17.63,16.798,16.891,18.71,20.651,3725,0
3760033704,0.456183338,26.017,12.314,12.57,19.254,8.834,12.685,1672.35,0.923,399.16,25.138,14.405,3.507,0,0,0,0,0,5616.96,1.382,0,291.053,12.909,156.645,16.535,146.575,10.926,5.573,26.19,268.825,31.441,5.245,1773.597,26.854,19.837,22.984,-21.991,21.089,19.839,8.913,0,0,4.375,2.2,2.279,-1.134,-3.15,0.004,0.003,19.194,17.591,18.68,19.623,19.959,19.948,18.681,18.085,18.412,19.636,19.67,19.75,17.641,16.8,16.867,18.702,20.66,3725,0
