Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3759434031,0,28.014,13.664,17.136,20.017,10.127,17.094,1638.787,0.808,398.372,25.529,14.376,4.554,0,0,0,0,0,5720.387,1.415,0,295.227,13.41,159.291,16.927,149.109,11.453,5.438,26.259,270.275,31.637,5.372,1773.925,26.842,20.244,23.326,-21.985,19.028,20.131,8.679,0,0,4.435,2.195,2.07,0.835,-0.062,0.004,0.004,19.56,18.015,19.102,19.978,20.313,20.209,19.161,18.535,18.752,19.952,19.973,20.029,18.083,17.229,17.309,19.081,20.256,3725,2178
3759434033,0.028483327,28.013,13.633,17.135,20.021,10.135,17.093,1626.027,0.821,398.355,25.516,14.377,4.541,0,0,0,0,0,5722.972,1.403,0,295.309,13.425,159.232,16.924,149.069,11.444,5.444,26.244,270.461,31.663,5.412,1774.38,26.841,20.174,23.34,-21.985,19.009,20.129,8.685,0,0,4.437,2.184,2.062,0.726,-0.045,0.004,0.004,19.566,18.008,19.101,19.995,20.312,20.239,19.162,18.537,18.748,19.953,19.964,20.041,18.084,17.231,17.317,19.078,20.254,3725,2178
3759434035,0.057599998,28.004,13.664,17.136,20.023,10.162,17.094,1655.14,0.806,398.364,25.537,14.378,4.396,0,0,0,0,0,5702.691,1.423,0,295.748,13.427,159.311,16.94,148.976,11.425,5.479,26.244,270.463,31.663,5.413,1773.957,26.86,20.168,23.37,-21.985,19.009,20.138,8.713,0,0,4.444,2.171,2.055,0.846,0.036,0.004,0.004,19.571,18.012,19.096,19.986,20.32,20.226,19.157,18.535,18.754,19.957,19.982,20.03,18.078,17.237,17.313,19.083,20.256,3725,2178
3759434036,0.086799995,28.007,13.658,17.134,20.017,10.116,17.094,1626.608,0.839,398.389,25.535,14.378,4.342,0,0,0,0,0,5736.873,1.397,0,295.502,13.439,159.322,16.92,149.161,11.463,5.42,26.274,270.436,31.659,5.379,1774.578,26.825,20.141,23.358,-21.985,19.035,20.136,8.672,0,0,4.438,2.234,2.043,0.822,-0.095,0.004,0.004,19.595,18.012,19.095,19.986,20.323,20.226,19.154,18.524,18.758,19.949,19.981,20.042,18.097,17.238,17.303,19.087,20.272,3725,2178
3759434038,0.115866661,27.97,13.628,17.135,20.017,10.139,17.094,1630.675,0.807,398.389,25.521,14.376,4.39,0,0,0,0,0,5692.091,1.412,0,295.49,13.431,159.377,16.933,149.029,11.436,5.461,26.265,270.644,31.688,5.417,1773.38,26.844,20.216,23.341,-21.986,19.042,20.14,8.704,0,0,4.439,2.162,2.062,0.768,-0.026,0.004,0.004,19.587,18.007,19.107,19.973,20.331,20.245,19.15,18.537,18.749,19.954,20,20.039,18.097,17.227,17.298,19.09,20.262,3725,2178
3759434040,0.144833326,28.008,13.664,17.136,20.039,10.122,17.093,1616.591,0.812,398.341,25.55,14.375,4.346,0,0,0,0,0,5718.032,1.382,0,295.379,13.425,159.337,16.945,149.086,11.447,5.461,26.26,270.44,31.66,5.394,1773.502,26.869,20.205,23.35,-21.985,19.029,20.122,8.675,0,0,4.438,2.202,2.071,0.844,-0.103,0.004,0.004,19.6,17.997,19.103,19.951,20.331,20.228,19.154,18.516,18.759,19.955,19.996,20.037,18.093,17.231,17.308,19.092,20.26,3725,2178
3759434042,0.179483326,28.018,13.674,17.136,20.008,10.137,17.093,1630.94,0.796,398.327,25.512,14.376,4.366,0,0,0,0,0,5666.565,1.402,0,295.637,13.439,159.311,16.905,149.152,11.461,5.407,26.276,270.505,31.668,5.386,1773.138,26.869,20.221,23.35,-21.985,19.014,20.128,8.666,0,0,4.439,2.18,2.071,0.865,-0.021,0.004,0.004,19.602,17.994,19.077,19.944,20.306,20.249,19.128,18.502,18.746,19.947,19.971,20.04,18.079,17.217,17.29,19.082,20.255,3725,2178
3759434044,0.208616662,28.017,13.655,17.136,20.008,10.146,17.094,1636.257,0.812,398.333,25.55,14.376,4.399,0,0,0,0,0,5700.818,1.408,0,295.721,13.432,159.381,16.965,149.104,11.451,5.478,26.267,270.163,31.621,5.348,1772.969,26.836,20.218,23.357,-21.986,19.051,20.131,8.68,0,0,4.443,2.181,2.047,0.798,0.004,0.004,0.004,19.599,17.998,19.089,19.96,20.332,20.22,19.152,18.52,18.757,19.977,19.981,20.032,18.084,17.237,17.303,19.082,20.267,3725,2178
3759434045,0.238866663,28.007,13.656,17.136,20.006,10.122,17.093,1642.357,0.818,398.342,25.534,14.378,4.327,0,0,0,0,0,5711.814,1.43,0,295.284,13.439,159.344,16.937,149.118,11.454,5.447,26.276,270.65,31.689,5.406,1772.929,26.831,20.243,23.356,-21.985,19.005,20.153,8.699,0,0,4.435,2.204,2.045,0.814,-0.065,0.004,0.004,19.59,18.006,19.089,19.968,20.329,20.216,19.13,18.503,18.765,19.966,19.973,20.061,18.094,17.243,17.32,19.086,20.262,3725,2178
3759434048,0.274166663,28.014,13.653,17.136,20.017,10.157,17.095,1637.923,0.825,398.405,25.507,14.377,4.444,0,0,0,0,0,5749.318,1.411,0,295.565,13.426,159.381,16.943,149.149,11.461,5.446,26.254,270.517,31.671,5.41,1773.852,26.832,20.156,23.374,-21.985,19.056,20.172,8.711,0,0,4.44,2.189,2.036,0.796,0.027,0.004,0.004,19.59,18.007,19.075,19.979,20.332,20.231,19.162,18.52,18.766,19.981,19.997,20.059,18.086,17.228,17.315,19.091,20.265,3725,2178
