.,Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3759437931,0,27.92,13.623,17.136,19.805,9.983,16.979,1629.285,0.811,398.72,26.511,14.39,4.095,0,0,0,0,0,5691.109,1.413,0,292.682,13.382,159.094,17.1,148.228,11.271,5.793,26.994,275.906,32.408,5.408,835.322,29.884,16.902,22.686,-22.772,18.783,20.208,8.937,0,0,4.376,2.254,1.995,0.799,-0.225,0.004,0.004,19.842,17.706,18.781,20.246,20.548,20.381,18.569,17.751,17.979,20.121,20.081,20.277,17.449,16.389,16.453,18.84,20.061,3725,2178
3759437933,0.030016669,27.916,13.661,17.136,19.814,9.996,17.095,1615.057,0.812,398.737,26.495,14.391,4.098,0,0,0,0,0,5713.051,1.411,0,292.709,13.383,159.08,17.11,148.179,11.261,5.813,26.974,275.702,32.38,5.4,835.652,29.896,16.905,22.724,-22.771,18.712,20.204,8.943,0,0,4.378,2.273,1.989,0.935,-0.2,0.004,0.004,19.841,17.714,18.794,20.246,20.559,20.405,18.576,17.753,17.973,20.123,20.078,20.257,17.451,16.393,16.443,18.834,20.065,3725,2178
3759437935,0.059866667,27.919,13.654,17.137,19.808,10.012,17.095,1621.464,0.796,398.753,26.483,14.391,4.129,0,0,0,0,0,5708.073,1.405,0,292.71,13.376,159.086,17.124,148.155,11.256,5.832,26.98,275.639,32.372,5.385,835.027,29.877,16.917,22.716,-22.772,18.711,20.233,8.977,0,0,4.378,2.24,1.984,0.908,-0.146,0.004,0.004,19.862,17.711,18.819,20.231,20.557,20.387,18.561,17.743,17.994,20.121,20.068,20.26,17.462,16.394,16.458,18.833,20.058,3725,2178
3759437936,0.089383332,27.905,13.638,17.135,19.802,10,17.095,1646.445,0.804,398.751,26.483,14.391,4.226,0,0,0,0,0,5698.136,1.398,0,292.728,13.373,159.051,17.119,148.171,11.259,5.824,26.962,275.571,32.362,5.394,834.884,29.89,16.846,22.709,-22.772,18.744,20.231,8.972,0,0,4.379,2.245,1.99,0.871,-0.174,0.004,0.004,19.847,17.707,18.792,20.249,20.573,20.373,18.552,17.741,17.96,20.127,20.073,20.255,17.455,16.403,16.459,18.833,20.062,3725,2178
3759437939,0.124683332,27.899,13.643,17.137,19.83,9.987,17.095,1612.089,0.832,398.759,26.492,14.39,4.236,0,0,0,0,0,5685.837,1.398,0,292.386,13.365,159.035,17.106,148.094,11.243,5.827,26.986,275.641,32.372,5.379,835.907,29.888,16.9,22.7,-22.772,18.764,20.239,8.996,0,0,4.373,2.29,1.994,0.897,-0.244,0.004,0.004,19.851,17.735,18.795,20.25,20.577,20.389,18.572,17.775,17.966,20.121,20.086,20.257,17.465,16.387,16.456,18.837,20.055,3725,2178
3759437940,0.149000001,27.919,13.654,17.136,19.806,9.986,16.979,1616.753,0.793,398.721,26.51,14.391,4.244,0,0,0,0,0,5686.142,1.398,0,292.561,13.381,158.993,17.115,148.135,11.251,5.828,26.971,275.887,32.405,5.428,835.678,29.91,16.932,22.705,-22.771,18.763,20.208,8.957,0,0,4.376,2.251,1.998,0.907,-0.219,0.004,0.004,19.838,17.715,18.784,20.238,20.568,20.361,18.572,17.754,17.968,20.131,20.084,20.258,17.454,16.389,16.441,18.832,20.047,3725,2178
3759437942,0.184999998,27.895,13.654,17.136,19.813,10.012,17.092,1622.408,0.798,398.752,26.497,14.391,4.179,0,0,0,0,0,5685.654,1.4,0,292.533,13.384,159.075,17.141,148.211,11.268,5.837,26.973,275.744,32.386,5.407,835.098,29.853,16.877,22.692,-22.772,18.722,20.185,8.917,0,0,4.376,2.242,1.985,0.939,-0.151,0.004,0.004,19.85,17.723,18.804,20.271,20.579,20.379,18.568,17.764,17.977,20.14,20.088,20.234,17.464,16.398,16.452,18.828,20.059,3725,2178
3759437944,0.21486667,27.915,13.635,17.136,19.814,9.98,17.094,1614.559,0.805,398.761,26.5,14.391,4.139,0,0,0,0,0,5688.8,1.415,0,292.185,13.369,159.089,17.122,148.175,11.26,5.825,26.98,275.547,32.359,5.373,835.405,29.878,16.888,22.716,-22.772,18.729,20.195,8.934,0,0,4.37,2.256,1.985,0.846,-0.247,0.004,0.004,19.835,17.722,18.798,20.267,20.551,20.354,18.564,17.759,17.971,20.132,20.094,20.214,17.462,16.389,16.441,18.83,20.042,3725,2178
3759437946,0.251766666,27.922,13.65,17.136,19.813,9.969,16.979,1609.998,0.796,398.769,26.492,14.392,4.163,0,0,0,0,0,5715.844,1.42,0,292.76,13.374,159.014,17.131,148.21,11.267,5.827,26.972,275.659,32.374,5.396,835.748,29.888,16.901,22.707,-22.772,18.746,20.181,8.913,0,0,4.379,2.261,1.992,0.888,-0.278,0.004,0.004,19.851,17.711,18.804,20.256,20.56,20.371,18.563,17.741,17.956,20.121,20.065,20.243,17.47,16.406,16.444,18.824,20.051,3725,2178
3759437948,0.286199999,27.924,13.673,17.136,19.812,9.964,16.979,1607.501,0.791,398.799,26.508,14.39,4.254,0,0,0,0,0,5724.284,1.413,0,292.28,13.364,159.042,17.127,148.176,11.26,5.831,26.983,275.542,32.359,5.37,834.597,29.888,16.902,22.707,-22.771,18.694,20.192,8.932,0,0,4.371,2.273,1.989,0.969,-0.291,0.004,0.004,19.851,17.719,18.786,20.232,20.543,20.353,18.562,17.749,17.959,20.116,20.054,20.255,17.459,16.394,16.456,18.832,20.064,3725,2178
3759437950,0.310050003,27.907,13.684,17.136,19.808,10.011,17.095,1613.032,0.788,398.738,26.497,14.391,4.166,0,0,0,0,0,5711.845,1.396,0,292.675,13.39,158.99,17.101,148.274,11.28,5.784,26.97,275.618,32.369,5.392,834.755,29.853,16.869,22.694,-22.772,18.695,20.206,8.926,0,0,4.377,2.25,1.983,1.031,-0.148,0.004,0.004,19.867,17.727,18.805,20.234,20.553,20.364,18.579,17.738,17.972,20.103,20.055,20.262,17.476,16.409,16.452,18.833,20.056,3725,2178
3759437951,0.339933332,27.888,13.642,17.135,19.808,10.003,17.095,1623.565,0.794,398.753,26.497,14.39,4.21,0,0,0,0,0,5682.866,1.413,0,292.553,13.373,159.119,17.093,148.289,11.284,5.773,26.978,275.509,32.354,5.37,835.294,29.832,16.856,22.699,-22.772,18.694,20.187,8.904,0,0,4.374,2.234,1.977,0.909,-0.17,0.004,0.004,19.869,17.704,18.784,20.237,20.55,20.359,18.573,17.768,17.965,20.097,20.05,20.25,17.463,16.394,16.448,18.823,20.05,3725,2178
3759437953,0.369900004,27.899,13.627,17.136,19.818,9.999,17.095,1634.356,0.806,398.745,26.507,14.389,4.268,0,0,0,0,0,5712.033,1.39,0,292.391,13.386,159.034,17.095,148.14,11.253,5.806,26.994,276.006,32.421,5.422,835.709,29.877,16.877,22.68,-22.772,18.748,20.2,8.948,0,0,4.372,2.241,1.996,0.843,-0.193,0.004,0.004,19.843,17.697,18.781,20.23,20.537,20.376,18.588,17.755,17.967,20.122,20.079,20.243,17.456,16.391,16.436,18.827,20.067,3725,2178
3759437955,0.394800003,27.915,13.646,17.135,19.816,9.957,17.095,1634.347,0.818,398.703,26.488,14.39,4.301,0,0,0,0,0,5672.346,1.419,0,292.666,13.358,159.101,17.095,148.089,11.242,5.817,26.984,275.629,32.37,5.379,835.428,29.867,16.857,22.686,-22.772,18.717,20.209,8.967,0,0,4.377,2.294,1.991,0.886,-0.317,0.004,0.004,19.854,17.71,18.784,20.234,20.525,20.376,18.58,17.752,17.945,20.122,20.078,20.242,17.463,16.398,16.44,18.832,20.059,3725,2178
3759437957,0.43245,27.899,13.662,17.137,19.812,9.985,16.979,1657.487,0.834,398.741,26.496,14.39,4.329,0,0,0,0,0,5672.309,1.419,0,292.692,13.365,158.96,17.111,148.159,11.256,5.818,26.976,275.878,32.404,5.422,835.573,29.856,16.923,22.697,-22.772,18.713,20.18,8.923,0,0,4.378,2.288,1.985,0.964,-0.231,0.004,0.004,19.855,17.686,18.803,20.246,20.518,20.398,18.58,17.745,17.966,20.119,20.086,20.247,17.462,16.404,16.436,18.817,20.056,3725,2178
