Test File,Tdb_in (°C),Twb_in(°C),RH_in (%),Tdb_out(°C),Q_dot_air (CFM),delta_P_nozzle (in W.G.),P_in_nozzle (in W.G.),P_atm (psi),T_w_in (°C),P_w_in (PSIG),T_w_out (°C),dp_w (in W.G.),m_w (kg/h),T_exv_in (°C),P_exv_in (PSIG),T_evap_in(°C),T_evap_out(°C),P_evap_out (PSIG),m_r (kg/hr_),Q_a (kW),un_Q_a (kW),Q_a_sens (kW),un_Q_a_sens (kW),Q_w (kW),un_Q_w (kW),Q_r (kW),un_Q_r (kW),air-water  (%),air-refr (%),water-refr (%),air+water - refr (%)
TriCoil_D1.csv,17.57127445,11.06158675,44.73923344,37.3189306,838.7126079,1.117299685,-0.001134251,13.92025868,40.87541009,22.22146057,36.67911041,-22.02864984,1762.838798,20.56067192,203.420918,23.20306625,20.37206309,203.2376372,1.83051735,5.779818691,0.286729028,8.986668767,0.405925994,-8.589484653,0.353920561,0.000158996,0.000213358,4.51957951,199.9929231,199.9925959,199.9963816
Tricoil_D2.csv,17.53965615,11.33842271,46.29628076,34.76487697,839.9870783,1.120949527,-0.000451653,13.92839748,37.880653,21.87104101,34.21747319,-22.02914826,1763.220274,20.96776025,204.0464669,21.6744164,20.63643218,203.8204479,1.3489653,5.17257433,0.271870365,7.854635159,0.342231833,-7.500019734,0.29700867,0.000206345,0.000139931,4.618995707,199.9894921,199.9889953,199.9946246
Tricoil_D3.csv,21.70894065,12.33792582,35.07954599,37.9647003,843.0236053,1.113735905,0.000367398,13.91769733,40.86117211,22.33550742,37.45164392,-22.0278724,1762.331786,20.95950148,204.0375134,25.74369733,20.90724926,204.2685668,8.732649852,4.924475801,0.398806395,7.337068095,0.325784329,-6.977496613,0.257541758,0.000212499,0.001233772,5.023854924,199.9884154,199.9878184,199.9940621
Tricoil_D4.csv,21.63835577,12.28698077,34.12214744,35.46453205,840.9645658,1.108323718,0.000451308,13.91390705,37.94288782,22.09853526,35.04060577,-22.02704487,1762.486817,21.72528205,205.3805353,25.59425321,21.40057051,204.6809712,148.5842596,4.338826941,0.239456507,6.227586993,0.302218032,-5.940165726,0.486588533,7.934107501,5.704552788,4.72431145,-24.10051295,-28.74300863,42.12192475
Tricoil_D5.csv,22.70808228,11.10971519,15.50662025,35.11587342,1723.381949,0.865759494,0.022522289,14.44228481,40.8694557,20.74225316,35.27153797,-21.99112658,1764.286962,23.94328481,220.7809684,26.19684177,23.47616456,220.3250316,10.03246835,8.10926402,0.349698097,11.8849961,0.436197985,-11.46707081,0.243943083,0.00219984,0.000742514,3.579342988,199.9259762,199.9232788,199.9623223
Tricoil_D6.csv,20.61308917,11.80677707,30.8393949,32.44499363,1759.432829,0.88211465,0.023002691,14.05719108,37.91082166,21.13580892,32.60921019,-22.0193758,1766.096713,22.38373885,210.4608153,24.60684713,22.18048408,210.4566306,12.30541401,7.858041676,0.338313521,11.31189166,0.403757801,-10.87129065,0.25584822,0.001166266,0.00106775,3.972387745,199.9587639,199.9570928,199.9789714
Tricoil_D7.csv,20.49078313,10.14154819,17.41068675,29.86922892,1728.250087,0.879246988,0.019521372,14.47778313,37.875,17.04360843,28.6675,-22.76762048,835.9531386,24.5386988,223.4817048,24.66450602,24.18260843,223.6866988,41.78483133,5.457287296,0.299770341,9.107995857,0.393112923,-8.936541542,0.149316421,0.007034984,0.006426752,1.900345919,199.6912798,199.6853615,199.8441137
Tricoil_D8.csv,20.64408589,10.0943865,17.14314724,31.66381595,1720.636152,0.870564417,0.019208157,14.46628834,40.86090798,17.38917791,30.17317178,-22.76803681,834.2961902,24.41719018,222.3396871,24.50276074,23.56934969,222.296411,7.627515337,7.012324781,0.309579984,10.63656727,0.39615596,-10.35222414,0.12727626,0.003046322,0.000856404,2.709476,199.8854725,199.8823277,199.9419523
Tricoil_D9.csv,22.684775,13.04126875,30.170575,35.19938125,1750.930418,0.865825,0.022240935,14.0369125,40.85769375,21.72024375,35.33351875,-22.0165375,1764.141,23.03455,210.9218812,26.28885625,23.57056875,222.2988,131.0472937,8.234168309,0.372718867,11.79594894,0.434291228,-11.3150845,0.244559019,6.889071288,1.66583274,4.161340882,52.52204805,48.62640445,108.1460368
ricoil_D10.csv,22.22838854,13.00538854,31.46124841,32.94217834,1754.536084,0.870235669,0.021311351,14.03284713,37.84543949,21.29175159,33.07312102,-22.01547771,1764.747089,22.86158599,211.0854586,25.73844586,22.75036943,210.980828,89.15598089,6.988886702,0.340333634,10.13439122,0.399310665,-9.778672109,0.241605447,0.003305583,0.007696872,3.572721157,199.8695726,199.8648297,199.9336107
ricoil_D11.csv,22.6236646,11.06079503,15.73295652,30.92347205,1729.955769,0.872720497,0.02396688,14.44418634,37.86003727,17.2916646,29.82438509,-22.7675528,835.2001056,24.00822981,220.8934472,25.19768944,23.57403106,220.6301118,7.305378882,4.650443572,0.299887965,7.995053205,0.375306581,-7.79216275,0.122176402,0.001490816,0.000542925,2.570313295,199.925427,199.9234857,199.9622308
ricoil_D12.csv,22.6602716,11.04925926,15.57767901,32.60803704,1726.076144,0.868932099,0.023029124,14.44704938,40.8537716,17.53270988,31.2468642,-22.76831481,833.5610926,24.19282099,221.7915741,24.8131358,23.82067284,221.5991605,13.37153704,6.007568334,0.311851214,9.555489087,0.397383798,-9.297163887,0.12140374,0.002342453,0.00101728,2.740465233,199.9019672,199.899244,199.950306
